编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,,smiles,inchi,inchikey,药材名称
HJT-89,鞣花酸,Ellagic acid,476-66-4,302.193,C14H6O8,,酚酸,O=C1C2=CC(O)=C(O)C(O3)=C2C4=C(O1)C(O)=C(O)C=C4C3=O,"InChI=1S/C14H6O8/c15-5-1-3-7-8-4(14(20)22-11(7)9(5)17)2-6(16)10(18)12(8)21-13(3)19/h1-2,15-18H",AFSDNFLWKVMVRB-UHFFFAOYSA-N,红景天
HJT-90,没食子酸甲酯,Methyl gallate,99-24-1,184.146,C8H8O5,,酚酸,O=C(OC)C1=CC(O)=C(O)C(O)=C1,"InChI=1S/C8H8O5/c1-13-8(12)4-2-5(9)7(11)6(10)3-4/h2-3,9-11H,1H3",FBSFWRHWHYMIOG-UHFFFAOYSA-N,红景天
HJT-91,没食子酸甲,Gallic acid,149-91-7,170.12,C7H6O5,,酚酸,O=C(O)C1=CC(O)=C(O)C(O)=C1,"InChI=1S/C7H6O5/c8-4-1-3(7(11)12)2-5(9)6(4)10/h1-2,8-10H,(H,11,12)",LNTHITQWFMADLM-UHFFFAOYSA-N,红景天
HJT-92,"3,4-二羟基-5-甲氧基苯甲酸",3-Methoxygallic acid,3934-84-7,184.146,C8H8O5,,酚酸,O=C(O)C1=CC(OC)=C(O)C(O)=C1,"InChI=1S/C8H8O5/c1-13-6-3-4(8(11)12)2-5(9)7(6)10/h2-3,9-10H,1H3,(H,11,12)",KWCCUYSXAYTNKA-UHFFFAOYSA-N,红景天
HJT-93,没食子酸3-O-Β-D-吡喃葡萄糖苷,"Gallic acid 3-O-beta-D-glucopyranoside, Min.",91984-84-8,332.264,C13H16O10,,糖苷,OC(C(O[C@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O)=CC(C(O)=O)=C2)=C2O,"InChI=1S/C13H16O10/c14-3-7-9(17)10(18)11(19)13(23-7)22-6-2-4(12(20)21)1-5(15)8(6)16/h1-2,7,9-11,13-19H,3H2,(H,20,21)/t7-,9-,10+,11-,13-/m1/s1",XRCRYNCPNYQMOB-JEUROIALSA-N,红景天
HJT-94,(-)-表没食子儿茶素没食子酸酯,EGCG,989-51-5,458.372,C22H18O11,,黄酮,O=C(O[C@H]1[C@@H](C2=CC(O)=C(O)C(O)=C2)OC3=C(C(O)=CC(O)=C3)C1)C4=CC(O)=C(O)C(O)=C4,"InChI=1S/C22H18O11/c23-10-5-12(24)11-7-18(33-22(31)9-3-15(27)20(30)16(28)4-9)21(32-17(11)6-10)8-1-13(25)19(29)14(26)2-8/h1-6,18,21,23-30H,7H2/t18-,21-/m1/s1",WMBWREPUVVBILR-WIYYLYMNSA-N,红景天
HJT-95,8-甲氧基山奈酚,8-Methoxykaempferol,571-74-4,316.262,C16H12O7,,黄酮,O=C1C(O)=C(C2=CC=C(O)C=C2)OC3=C1C(O)=CC(O)=C3OC,"InChI=1S/C16H12O7/c1-22-15-10(19)6-9(18)11-12(20)13(21)14(23-16(11)15)7-2-4-8(17)5-3-7/h2-6,17-19,21H,1H3",AZFYHRHUTXBGJS-UHFFFAOYSA-N,红景天
HJT-96,缎木素,Ayanin,572-32-7,344.315,C18H16O7,,黄酮,O=C1C(OC)=C(C2=CC=C(OC)C(O)=C2)OC3=C1C(O)=CC(OC)=C3,"InChI=1S/C18H16O7/c1-22-10-7-12(20)15-14(8-10)25-17(18(24-3)16(15)21)9-4-5-13(23-2)11(19)6-9/h4-8,19-20H,1-3H3",KPCRYSMUMBNTCK-UHFFFAOYSA-N,红景天
HJT-97,/,sachaliside 1,132294-76-9,312.315,C15H20O7,,糖苷,O[C@@H]1[C@@H](CO)O[C@@H](OC/C=C/C2=CC=C(O)C=C2)[C@H](O)[C@H]1O,"InChI=1S/C15H20O7/c16-8-11-12(18)13(19)14(20)15(22-11)21-7-1-2-9-3-5-10(17)6-4-9/h1-6,11-20H,7-8H2/b2-1+/t11-,12-,13+,14-,15-/m1/s1",CNNXMGXBAZQZDE-HHMSBIESSA-N,红景天
,,,,,,,,,,,
