编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,,化合物分类,SMILES,InChI,InChIKey,药材种类
YJ-095,/,Guaidiol,?217817-10-2,238.1933,C15H26O2,,,萜类,CC1CCC2C13CC(=C(C)C)C(O3)(C=C2C)O,"InChI=1S/C15H22O2/c1-9(2)13-8-14-11(4)5-6-12(14)10(3)7-15(13,16)17-14/h7,11-12,16H,5-6,8H2,1-4H3/t11-,12+,14+,15-/m1/s1",RQHOQQOEZPFYTD-QTVXIADOSA-N,郁金
YJ-096,/,Isozedoarondiol,,238.1569,C14H22O3,,,挥发油,[H][C@@]1(C/C2=C/C)[C@](O)(C)CC[C@]1([H])[C@@](C)(O)CC2=O,"InChI=1S/C14H22O3/c1-4-9-7-11-10(5-6-13(11,2)16)14(3,17)8-12(9)15/h4,10-11,16-17H,5-8H2,1-3H3/b9-4-/t10-,11-,13-,14-/m0/s1",OXBPNQKFMWAIHW-FLDZTGLKSA-N,郁金
YJ-097,/,Zedoarondiol,98644-24-7,252.1725,C15H24O3,,,萜类,CC1(C)C2CCC3(C)C4=C(CCC3C2C5C1C(CC5)C(O)C(C)C)C(O)CC6C4(C)C(CCC6(C)C)O[C@@H]7OC@HC@@HC@H[C@H]7O,"InChI=1S/C35H60O6/c1-20(2)31-17-19(37)16-36-35(9)18-30(8)15-29(7)13-27(5)14-28(6)12-26(4)11-25(3)10-24(34(40)41)33(39)43-32-23(38)22(21)29(35)42-32/h11,20-24,26-32,36-37H,10,12-18H2,1-9H3/t20-,21+,22+,23-,24+,26+,27+,28+,29+,30+,31+,32+,33-,34+,35-/m1/s1",TXIKNNOOLCGADE-PAPYEOQZSA-N,郁金
YJ-098,/,Methylzedoarondiol,/,250.1933,C16H26O2,,,挥发油,[H][C@@]1(C/C2=C(C)/C)[C@](O)(C)CC[C@@]1([H])C(C)(C)CC2=O,"InChI=1S/C16H26O2/c1-10(2)11-8-13-12(6-7-16(13,5)18)15(3,4)9-14(11)17/h12-13,18H,6-9H2,1-5H3/t12-,13+,16+/m1/s1",GYTLQRSMNLMFQN-WWGRRREGSA-N,郁金
YJ-099,/,"(1S,4S,5S,10R)-zedoarondiol",/,252.1725,C15H24O3,,,萜类,[H][C@@]1(C/C2=C(C)/C)[C@](O)(C)CC[C@]1([H])[C@](C)(O)CC2=O,"InChI=1S/C15H24O3/c1-9(2)10-7-12-11(5-6-14(12,3)17)15(4,18)8-13(10)16/h11-12,17-18H,5-8H2,1-4H3/t11-,12-,14-,15+/m0/s1",TXIKNNOOLCGADE-NZBPQXDJSA-N,郁金
YJ-100,/,Neozedoarondiol,/,252.1725,C15H24O3,,,萜类,[H][C@@]1(C/C2=C(C)/C)[C@](O)(C)CC[C@]1([H])[C@@](O)(C)CC2=O,"InChI=1S/C15H24O3/c1-9(2)10-7-12-11(5-6-14(12,3)17)15(4,18)8-13(10)16/h11-12,17-18H,5-8H2,1-4H3/t11-,12-,14-,15+/m0/s1",TXIKNNOOLCGADE-NZBPQXDJSA-N,郁金
YJ-101,/,Epiprocurcumenol,/,234.162,C15H22O2,,,萜类,CC([C@]1([H])[C@@](C/C2=C(C)/C)([H])[C@](O)(C)CC1)=CC2=O,"InChI=1S/C15H22O2/c1-9(2)12-8-13-11(5-6-15(13,4)17)10(3)7-14(12)16/h7,11,13,17H,5-6,8H2,1-4H3/t11-,13+,15+/m1/s1",RHBOHEXDGUVIIY-ZLDLUXBVSA-N,郁金
YJ-102,原莪述烯醇,Procurcumenol,21698-40-8,234.162,C15H22O2,,,萜类,CC1(C)C2CCC3(C)C4=C(CCC3C2C5C1C(CC5)C(O)C(C)C)C(O)CC6C4(C)C(CCC6(C)C)O[C@@H]7OC@HC@@HC@H[C@H]7O,"InChI=1S/C35H60O6/c1-20(2)31-17-19(37)16-36-35(9)18-30(8)15-29(7)13-27(5)14-28(6)12-26(4)11-25(3)10-24(34(40)41)33(39)43-32-23(38)22(21)29(35)42-32/h11,20-24,26-32,36-37H,10,12-18H2,1-9H3/t20-,21+,22+,23-,24+,26+,27+,28+,29+,30+,31+,32+,33-,34+,35-/m1/s1",RHBOHEXDGUVIIY-WHOFXGATSA-N,郁金
YJ-103,莪术二醇,Aerugidiol,116425-35-5,250.1569,C15H22O3,,,萜类,CC1=CC(=O)C(=C(C)C)C[C@H]2[C@@]1(CC[C@]2(C)O)O,"InChI=1S/C15H22O3/c1-9(2)11-8-13-14(4,17)5-6-15(13,18)10(3)7-12(11)16/h7,13,17-18H,5-6,8H2,1-4H3/t13-,14+,15+/m1/s1",IXQJBPRUTQTCMW-ILXRZTDVSA-N?,郁金
YJ-104,/,Procurcumadiol,/,234.162,C15H22O2,,,萜类,[H][C@@]1(C/C2=C(C)/C)[C@](O)(C)CC[C@@]1([H])C(C)=CC2=O,"InChI=1S/C15H22O2/c1-9(2)12-8-13-11(5-6-15(13,4)17)10(3)7-14(12)16/h7,11,13,17H,5-6,8H2,1-4H3/t11-,13-,15-/m0/s1",RHBOHEXDGUVIIY-WHOFXGATSA-N,郁金
