编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,,化合物分类,SMILES,InChI,InChIKey,药材种类
YJ-138,/,β-Turmerone,/,218.1671,C15H22O,,,萜类,C=C(CC1)C=C[C@@]1([H])[C@@H](C)CC(/C=C(C)\C)=O,"InChI=1S/C15H22O/c1-11(2)9-15(16)10-13(4)14-7-5-12(3)6-8-14/h5,7,9,13-14H,3,6,8,10H2,1-2,4H3/t13-,14+/m0/s1",JIJQKFPGBBEJNF-UONOGXRCSA-N,郁金
YJ-139,甜没药姜黄醇,Bisacurone,120681-81-4,252.1725,C15H24O3,,,萜类,CC(CC(=O)C=C(C)C)C1CC(C(C=C1)(C)O)O,"InChI=1S/C15H24O3/c1-10(2)7-13(16)8-11(3)12-5-6-15(4,18)14(17)9-12/h5-7,11-12,14,17-18H,8-9H2,1-4H3/t11-,12+,14-,15-/m0/s1",QJOWFYQIUZMPRY-NEBZKDRISA-N,郁金
YJ-140,/,Bisacurone B,,252.1725,C15H24O3,,,萜类,C/C(C)=C\C(C[C@H](C)[C@@]1([H])C[C@@H](O)[C@@](C)(O)C=C1)=O,"InChI=1S/C15H24O3/c1-10(2)7-13(16)8-11(3)12-5-6-15(4,18)14(17)9-12/h5-7,11-12,14,17-18H,8-9H2,1-4H3/t11-,12+,14+,15-/m0/s1",QJOWFYQIUZMPRY-MXYBEHONSA-N,郁金
YJ-141,/,Ar-turmerone,38142-58-4,216.1514,C15H20O,,,萜类,CC(CC(=O)C=C(C)C)C1CCC(C=C1)(C)C,"InChI=1S/C15H20O/c1-11(2)9-15(16)10-13(4)14-7-5-12(3)8-6-14/h5-9,13H,10H2,1-4H3/t13-/m1/s1",NAAJVHHFAXWBOK-ZDUSSCGKSA-N,郁金
YJ-142,/,Turmeronol A,131651-37-1,232.1463,C15H20O2,,,萜类,CC1=C(C=C(C=C1)C(C)CC(=O)C=C(C)C)O,"InChI=1S/C15H20O2/c1-10(2)7-14(16)8-12(4)13-6-5-11(3)15(17)9-13/h5-7,9,12,17H,8H2,1-4H3/t12-/m0/s1",OSIFVLKZUWRNBN-LBPRGKRZSA-N,郁金
YJ-143,/,Turmeronol B,131651-38-2,232.1463,C15H20O2,,,萜类,C/C(C)=C\C(C[C@H](C)C1=C(O)C=C(C)C=C1)=O,"InChI=1S/C15H20O2/c1-10(2)7-13(16)9-12(4)14-6-5-11(3)8-15(14)17/h5-8,12,17H,9H2,1-4H3/t12-/m0/s1",WYIJOOQDLOBLCP-LBPRGKRZSA-N,郁金
YJ-144,/,Bisacumol,/,218.1671,C15H22O,,,萜类,C/C(C)=C\[C@H](O)C[C@H](C)C1=CC=C(C)C=C1,"InChI=1S/C15H22O/c1-11(2)9-15(16)10-13(4)14-7-5-12(3)6-8-14/h5-9,13,15-16H,10H2,1-4H3/t13-,15-/m0/s1",NRBFEAZFHRHFFQ-ZFWWWQNUSA-N,郁金
YJ-145,/,"4-Methoxy-5-hydroxy-bisabola-2,10-diene-9-one",/,266.1882,C16H26O3,,,萜类,C/C(C)=C\C(C[C@H](C)[C@@]1([H])C[C@H](O)[C@@](C=C1)(C)OC)=O,"InChI=1S/C16H26O3/c1-11(2)8-14(17)9-12(3)13-6-7-16(4,19-5)15(18)10-13/h6-8,12-13,15,18H,9-10H2,1-5H3/t12-,13+,15-,16?/m0/s1",XQXANAYBQDKOBU-CSOLROPVSA-N,郁金
YJ-146,/,Bisacurone C,/,252.1725,C15H24O3,,,萜类,C/C(C)=C\C(C[C@H](C)[C@@]1([H])C[C@@H](O)[C@@](O)(C)C=C1)=O,"InChI=1S/C15H24O3/c1-10(2)7-13(16)8-11(3)12-5-6-15(4,18)14(17)9-12/h5-7,11-12,14,17-18H,8-9H2,1-4H3/t11-,12+,14+,15+/m0/s1",QJOWFYQIUZMPRY-CTHBEMJXSA-N,郁金
YJ-147,/,Bisacurone epoxide,/,268.1675,C15H24O4,,,萜类,C/C(C)=C\C(C[C@H](C)[C@]1([H])C(O2)C2[C@](C)(O)[C@@H](O)C1)=O,"InChI=1S/C15H24O4/c1-8(2)5-10(16)6-9(3)11-7-12(17)15(4,18)14-13(11)19-14/h5,9,11-14,17-18H,6-7H2,1-4H3/t9-,11+,12-,13?,14?,15+/m0/s1",YFDIAFVTFRYMNI-BRJQXXFNSA-N,郁金
YJ-148,/,α-Turmerone,82508-15-4,218.1671,C15H22O,,,萜类,CC(=O)C1=CC=C(C=C1)C(C)CC(=O)C=C(C)C,"InChI=1S/C15H20O2/c1-10(2)7-14(16)8-12(4)13-6-5-11(3)15(17)9-13/h5-7,9,12,17H,8H2,1-4H3",XOCANRBEOZQNAQ-UONOGXRCSA-N,郁金
YJ-149,/,Bisacurol,/,220.1827,C15H24O,,,萜类,C/C(C)=C\[C@@H](O)C[C@H](C)[C@]1([H])CCC(C=C1)=C,"InChI=1S/C15H24O/c1-11(2)9-15(16)10-13(4)14-7-5-12(3)6-8-14/h5,7,9,13-16H,3,6,8,10H2,1-2,4H3/t13-,14-,15+/m0/s1",KRPZTCZJBVPGEM-SOUVJXGZSA-N,郁金
YJ-150,/,"4-Hydroxybiszbola-2,10-diene-9-one",/,252.1725,C15H24O3,,,萜类,C/C(C)=C\C(C[C@H](C)[C@@]1([H])C[C@H](O)[C@@](C)(O)C=C1)=O,"InChI=1S/C15H24O3/c1-10(2)7-13(16)8-11(3)12-5-6-15(4,18)14(17)9-12/h5-7,11-12,14,17-18H,8-9H2,1-4H3/t11-,12+,14-,15-/m0/s1",QJOWFYQIUZMPRY-NEBZKDRISA-N,郁金
YJ-151,"甜没药-3,10-二烯-2-酮","Bisabola-3,10,-dien-2-one",61432-71-1,220.1827,C15H24O,,,萜类,OC1=CC=C(C=C1)C(C)C,"InChI=1S/C15H24O/c1-11(2)15(16)13-7-5-12(3)8-14(13)9-10-15/h5,7,9,12,14H,6,8,10H2,1-4H3/t12-,14+/m0/s1",KNOUERLLBMJGLF-UONOGXRCSA-N,郁金
YJ-152,/,"2,5-Dihydroxybisabola-3,10-diene",/,224.1776,C14H24O2,,,萜类,C/C(C)=C\CC[C@H](C)[C@@]1([H])C[C@@H](O)C=C[C@H]1O,"InChI=1S/C14H24O2/c1-10(2)5-4-6-11(3)13-9-12(15)7-8-14(13)16/h5,7-8,11-16H,4,6,9H2,1-3H3/t11-,12-,13+,14+/m0/s1",QJOWFYQIUZMPRY-NEBZKDRISA-N,郁金
YJ-153,/,"4,5-Dihydroxybisabola-2,10-diene",/,238.1933,C15H26O2,,,萜类,C/C(C)=C\CC[C@H](C)[C@@]1([H])C[C@H](O)[C@@](C)(O)C=C1,"InChI=1S/C15H26O2/c1-11(2)6-5-7-12(3)13-8-9-15(4,17)14(16)10-13/h6,8-9,12-14,16-17H,5,7,10H2,1-4H3/t12-,13+,14-,15-/m0/s1",YRFJMOGROZTYPC-XGUBFFRZSA-N,郁金
YJ-154,/,Bisacurol B,/,220.1827,C15H24O,,,萜类,CC1=CC[C@@]([C@@H](C)CC(O)/C=C(C)\C)([H])C=C1,"InChI=1S/C15H24O/c1-11(2)9-15(16)10-13(4)14-7-5-12(3)6-8-14/h5-7,9,13-16H,8,10H2,1-4H3/t13-,14+,15?/m0/s1",NTYLAQFXJFFJSQ-SNTRVMSOSA-N,郁金
YJ-155,β-红没药烯,β-Bisabolene,/,204.1878,C15H24,,,萜类,C/C(C)=C/CCC(C1CCC(C)=CC1)=C,"InChI=1S/C15H24/c1-12(2)6-5-7-14(4)15-10-8-13(3)9-11-15/h6,8,15H,4-5,7,9-11H2,1-3H3",XZRVRYFILCSYSP-UHFFFAOYSA-N,郁金
YJ-156,芳-姜黄烯,Ar-curcumene,831446,202.1722,C15H22,,,萜类,C/C(C)=C/CC[C@H](C)C1=CC=C(C)C=C1,"InChI=1S/C15H22/c1-12(2)6-5-7-14(4)15-10-8-13(3)9-11-15/h6,8-11,14H,5,7H2,1-4H3/t14-/m0/s1",VMYXUZSZMNBRCN-AWEZNQCLSA-N,郁金
YJ-157,/,Ar-turmerol,/,218.1671,C15H22O,,,萜类,C/C(C)=C/C(O)C[C@H](C)C1=CC=C(C)C=C1,"InChI=1S/C15H22O/c1-11(2)9-15(16)10-13(4)14-7-5-12(3)6-8-14/h5-9,13,15-16H,10H2,1-4H3/t13-,15?/m0/s1",NRBFEAZFHRHFFQ-CFMCSPIPSA-N,郁金
YJ-158,Beta-榄香烯,β-Elemene,515-13-9,204.1878,C15H24,,,萜类,C=C1C(C)(C)C=C2C(C)(C)C=C3C(C)(C)C=C4C(C)(C)C=C(C1C2)C3C4,"InChI=1S/C15H24/c1-10-7-11(2)8-12(3)9-13(4)14(5)15(10,11)12-13-14-15/h7-9H,1-6H3/t10-,11+,12+,13-,14+,15-/m0/s1",OPFTUNCRGUEPRZ-UHFFFAOYSA-N,郁金
YJ-159,榄香烯,γ-Elemene,33880-83-0,204.1878,C15H24,,,萜类,CC(C)=C1C2C(C(C)C)C(C)(C)C1C(C)C2,"InChI=1S/C10H16/c1-7(2)9-5-8(3)4-6-10(9,3)4/h5H,6H2,1-4H3/t8-,9+,10+/m1/s1",MXDMETWAEGIFOE-UHFFFAOYSA-N,郁金
YJ-160,/,δ-Elemene,/,204.1878,C15H24,,,萜类,C=CC1(C)C(C/C(CC1)=C(C)/C)C(C)=C,"InChI=1S/C15H24/c1-7-15(6)9-8-13(11(2)3)10-14(15)12(4)5/h7,14H,1,4,8-10H2,2-3,5-6H3",BQSLMQNYHVFRDT-UHFFFAOYSA-N,郁金
YJ-161,莪术呋喃烯,Curzerene,17910-09-7,230.1671,C16H22O,,,萜类,CC=1C2=C(C\C@@(C=C)(C)\C@@H(C(C)=C)C2)OC1,"InChI=1S/C15H20O/c1-6-15(5)8-14-12(11(4)9-16-14)7-13(15)10(2)3/h6,9,13H,1-2,7-8H2,3-5H3/t13-,15+/m1/s1",HICAMHOOTMOHPA-HIFRSBDPSA-N?,郁金
YJ-162,表蓬莪术烯酮,Epicurzerenone,20085-85-2,230.1307,C15H18O2,,,萜类,CC(C)=CC(=O)C=C(C)C1=CC=C(O)C=C1,"InChI=1S/C15H18O2/c1-10(2)7-14(16)8-11(3)12-5-6-13(4)17-15(12)9-14/h5-9H,1-4H3",WYIJOOQDLOBLCP-UHFFFAOYSA-N,郁金
YJ-163,莪术呋喃烯酮,Curzerenone,20493-56-5,230.1307,C15H18O2,,,萜类,CC1=C2C(C)(C)CC=C(C)C2=C(C)C(=O)O1,"InChI=1S/C15H18O2/c1-9-5-4-6-10(2)13-12(8-7-9)14(3)15(16)17-13/h6-7,13H,4-5,8H2,1-3H3",SLGKCOCDZZQQLY-NXAIOARDSA-N?,郁金
YJ-164,郁金二酮,Curcumadione,116425-36-6,234.162,C15H22O2,,,萜类,O=C1/C(=C(\C)/C)/CC=C(CCC(C)=O)C(C)C1,"InChI=1S/C15H22O3/c1-10(2)14-8-7-13(6-5-12(4)16)11(3)9-15(14,18)10(1)17/h7,11H,5-6,8-9H2,1-4H3/t11-,15+/m0/s1",JWUVBGKPYDWLJC-UHFFFAOYSA-N,郁金
YJ-165,/,Curcumadionol,1235984-45-8,248.1412,C15H20O3,,,萜类,CC1=CC(=O)C(=CC=C1CCC(C)=O)C(C)(C)O,"InChI=1S/C15H20O3/c1-10-5-4-6-11(2)15(16)8-7-12(6)14(3,4)18-13(10)17/h5-8,17H,4H2,1-3H3",ZJOGLHNZNCCGQF-UHFFFAOYSA-N,郁金
YJ-166,/,Curzeone,104068-56-6,228.115,C15H16O2,,,萜类,CC1=C(C2=C(CC3C2C(=O)C=C4C3=C(C=C4)C)C=C1)C,"InChI=1S/C15H16O2/c1-11-7-8-13-12(2)6-5-12-13(8-7-11)14(3)15(16)17-14/h7-8,13H,5-6H2,1-3H3",VYVPIFXAYNIMKK-UHFFFAOYSA-N,郁金
YJ-167,莪术内酯,Curcumalactone,98263-92-4,236.1776,C15H24O2,,,萜类,CC(C)C1C(=O)OC2C(C)(C)C3C=C(C)CCC3C12C,"InChI=1S/C15H24O2/c1-9(2)11-7-13-14(8-15(16)17-13)12-6-10(3)4-5-11(12)15(13,5)6/h10-11,13H,4-8H2,1-3H3/t10-,11+,13-,15-/m0/s1",GAIBLDCXCZKKJE-QRYCCKSOSA-N,郁金
YJ-168,/,Curcumanolide A,/,234.162,C15H22O2,,,萜类,O=C(O1)/C(C[C@@]21[C@@H](C)CC[C@@]2([H])C(C)=C)=C(C)/C,"InChI=1S/C15H22O2/c1-9(2)12-8-15(17-14(12)16)11(5)6-7-13(15)10(3)4/h11,13H,3,6-8H2,1-2,4-5H3/t11-,13-,15+/m0/s1",KHOTZHZBHNDKOB-CORIIIEPSA-N,郁金
YJ-169,/,Curcumanolide B,/,234.162,C15H22O2,,,萜类,O=C(O1)/C(C[C@@]21[C@@H](C)CC[C@]2([H])C(C)=C)=C(C)/C,"InChI=1S/C15H22O2/c1-9(2)12-8-15(17-14(12)16)11(5)6-7-13(15)10(3)4/h11,13H,3,6-8H2,1-2,4-5H3/t11-,13+,15+/m0/s1",KHOTZHZBHNDKOB-NJZAAPMLSA-N,郁金
YJ-170,花薑酮,Zerumbone,471-05-6,218.1671,C15H22O,,,萜类,C/C(=C/CC/C=C(/C)CC/C=C(/C)C(=O)C)/C,"InChI=1S/C15H22O/c1-12-6-5-7-13(2)14(16)9-11-15(3,4)10-8-12/h7-9,11H,5-6,10H2,1-4H3/b11-9+,12-8+,13-7+",GIHNTRQPEMKFKO-SKTNYSRSSA-N?,郁金
YJ-171,ALPHA-律草烯,α-Humulene,6753-98-6,204.1878,C15H24,,,萜类,C/C(=C/CC/C=C(/C)CC/C=C(/C)C)/C,"InChI=1S/C15H24/c1-12-6-5-7-13(2)9-11-15(3,4)10-8-12/h7-9,11H,5-6,8,10H2,1-4H3/b11-9+,12-8+,13-7+",CRPUJAZIXJMDBK-UHFFFAOYSA-N?,郁金
YJ-172,焦蓬莪术酮,Pyrocurzerenone,20013-75-6,212.1201,C15H16O,,,萜类,CC1=C2C(CC3=C(C(=C(C=C3)O)C)C(=O)O2)C(C)=CC=C1,"InChI=1S/C15H16O3/c1-8-4-5-11-12(2)6-7-15-14(8)13(3)16-17-15/h4-5,11H,6-7H2,1-3H3",SLGKCOCDZZQQLY-NXAIOARDSA-N,郁金
YJ-173,/,Isofuranodienone,24268-42-6,230.1307,C15H18O2,,,萜类,CC1(C)C2CCC3(C)C4=C(CCC3C2C5C1C(CC5)C(O)C(C)C)C(O)CC6C4(C)C(CCC6(C)C)O[C@@H]7OC@HC@@HC@H[C@H]7O,"InChI=1S/C35H60O6/c1-20(2)31-17-19(37)16-36-35(9)18-30(8)15-29(7)13-27(5)14-28(6)12-26(4)11-25(3)10-24(34(40)41)33(39)43-32-23(38)22(21)29(35)42-32/h11,20-24,26-32,36-37H,10,12-18H2,1-9H3/t20-,21+,22+,23-,24+,26+,27+,28+,29+,30+,31+,32+,33-,34+,35-/m1/s1",OJOMZANEUGASBB-HEHNFKLWSA-N?,郁金
YJ-174,/,Gajutsulactone A,/,234.162,C15H22O2,,,萜类,O=C1O[C@@]2(C)CC[C@](C(C)=C)([H])[C@]2([H])C/C1=C(C)\C,"InChI=1S/C15H22O2/c1-9(2)11-6-7-15(5)13(11)8-12(10(3)4)14(16)17-15/h11,13H,1,6-8H2,2-5H3/t11-,13-,15-/m0/s1",ZZEKLJSJUUZCFB-WHOFXGATSA-N,郁金
YJ-175,/,Gajutsulactone B,/,234.162,C15H22O2,,,萜类,O=C1O[C@@]2(C)CC[C@@](C(C)=C)([H])[C@]2([H])C/C1=C(C)\C,"InChI=1S/C15H22O2/c1-9(2)11-6-7-15(5)13(11)8-12(10(3)4)14(16)17-15/h11,13H,1,6-8H2,2-5H3/t11-,13+,15+/m1/s1",ZZEKLJSJUUZCFB-ZLDLUXBVSA-N,郁金
YJ-176,/,"Germacrone-1,10-epoxide",/,234.162,C15H22O2,,,萜类,C[C@@]12C(O2)CC/C(C)=C/C/C(C(C1)=O)=C(C)/C,"InChI=1S/C15H22O2/c1-10(2)12-7-5-11(3)6-8-14-15(4,17-14)9-13(12)16/h5,14H,6-9H2,1-4H3/b11-5+/t14?,15-/m0/s1",BRHJBHVGLHMQCU-OTAOQXOKSA-N,郁金
YJ-177,/,Curcuminol G,/,264.1362,C15H20O4,,,萜类,C/C(CC(O1)(O)C(C2)=C(C)C1=O)=C/CCC(C)C2=O,"InChI=1S/C15H20O4/c1-9-5-4-6-10(2)13(16)7-12-11(3)14(17)19-15(12,18)8-9/h5,10,18H,4,6-8H2,1-3H3/b9-5-",SCOXWKWLFRIELY-UITAMQMPSA-N,郁金
YJ-178,党参内酯,Codonolactone,/,248.1412,C15H20O3,,,萜类,O=C1C(C)=C2CC3C(CCC[C@]3(C)C[C@]2(O)O1)=C,"InChI=1S/C15H20O3/c1-9-5-4-6-14(3)8-15(17)12(7-11(9)14)10(2)13(16)18-15/h11,17H,1,4-8H2,2-3H3/t11?,14-,15+/m1/s1",FBMORZZOJSDNRQ-JBAPVGOWSA-N,郁金
YJ-179,"1BETA,6ALPHA-二羟基-4(14)-桉叶烯",Voleneol,70389-88-7,238.1933,C15H26O2,,,萜类,OC1C2C(C(O)CCC2=C)(C)CCC1C(C)C,"InChI=1S/C15H26O2/c1-9(2)11-7-8-15(4)12(16)6-5-10(3)13(15)14(11)17/h9,11-14,16-17H,3,5-8H2,1-2,4H3",WKKJGHCXVKEJNU-UHFFFAOYSA-N,郁金
YJ-180,/,Wenyujinlactone A,/,296.1624,C16H24O5,,,挥发油,CC(C(O1)=O)=C2C[C@@]3([H])[C@](C)(O)CC[C@@H](O)[C@]3(C)C[C@@]21OC,"InChI=1S/C16H24O5/c1-9-10-7-11-14(2,12(17)5-6-15(11,3)19)8-16(10,20-4)21-13(9)18/h11-12,17,19H,5-8H2,1-4H3/t11-,12-,14-,15-,16?/m1/s1",UCRHLDZNLUWIMU-KGFCIHEASA-N,郁金
YJ-181,/,"(5R,6R,7αR)-5-isopropenyl-3,6-dimethyl-6-vi-nyl-5,6,7,7α-tetrahydro-4H-benzofuran-2-one",/,232.1463,C15H20O2,,,萜类,C=C[C@@]1(C)[C@@H](CC([C@H]2C1)=C(C)C(O2)=O)C(C)=C,"InChI=1S/C15H20O2/c1-6-15(5)8-13-11(7-12(15)9(2)3)10(4)14(16)17-13/h6,12-13H,1-2,7-8H2,3-5H3/t12-,13+,15+/m0/s1",IEOHWPUTLCTSCQ-GZBFAFLISA-N,郁金
YJ-182,/,"(5R,6R,7αS)-5-isopropenyl-3,6-dimethyl-6-vi-nyl-5,6,7,7α-tetrahydro-4H-benzofuran-2-one",/,232.1463,C15H20O2,,,萜类,C=C[C@@]1(C)[C@H](C(C)=C)CC([C@@H]2C1)=C(C)C(O2)=O,"InChI=1S/C15H20O2/c1-6-15(5)8-13-11(7-12(15)9(2)3)10(4)14(16)17-13/h6,12-13H,1-2,7-8H2,3-5H3/t12-,13-,15+/m0/s1",IEOHWPUTLCTSCQ-KCQAQPDRSA-N,郁金
YJ-183,/,(6R)-dehydroxysipanolinolide,/,248.1412,C15H20O3,,,萜类,CC(CC[C@H](/C=C/C1=C(COC1=O)C)C(C)=C)=O,"InChI=1S/C15H20O3/c1-10(2)13(6-5-12(4)16)7-8-14-11(3)9-18-15(14)17/h7-8,13H,1,5-6,9H2,2-4H3/b8-7+/t13-/m1/s1",PIPVGWJYWLNXKC-SBDDDAINSA-N,郁金
YJ-184,/,"4,8-dioxo-6β-hydroxyl-7β,11-epoxycarabrane",/,234.162,C15H22O2,,,萜类,CC(CC[C@@H]1[C@]([C@H](O)[C@]23OC3(C)C)([H])[C@@]1(C)CC2=O)=O,"InChI=1S/C15H22O4/c1-8(16)5-6-9-11-12(18)15(13(2,3)19-15)10(17)7-14(9,11)4/h9,11-12,18H,5-7H2,1-4H3/t9-,11+,12+,14+,15-/m1/s1",DMGNSFMDJVIRNG-WIAIPBKYSA-N,郁金
YJ-185,/,"4,8-dioxo-6β-hydroxyl-7α,11-epoxycarabrane",/,266.1518,C15H22O4,,,萜类,CC(CC[C@@H]1[C@]([C@H](O)C23OC3(C)C)([H])[C@@]1(C)CC2=O)=O,"InChI=1S/C15H22O4/c1-8(16)5-6-9-11-12(18)15(13(2,3)19-15)10(17)7-14(9,11)4/h9,11-12,18H,5-7H2,1-4H3/t9-,11+,12+,14+,15+/m1/s1",DMGNSFMDJVIRNG-GIEZYDSUSA-N,郁金
YJ-186,/,Wenyujinin Q,/,252.1725,C15H24O3,,,萜类,C[C@H]1CC[C@@]2([H])[C@]1(O)C/C(C(C[C@]2(O)C)=O)=C(C)\C,"InChI=1S/C15H24O3/c1-9(2)11-7-15(18)10(3)5-6-13(15)14(4,17)8-12(11)16/h10,13,17-18H,5-8H2,1-4H3/t10-,13+,14+,15-/m0/s1",VAAADAZKNZZKKY-QOWREQOWSA-N,郁金
YJ-187,/,Wenyujinin R,/,252.1725,C15H24O3,,,萜类,O[C@]1(C)CC[C@]2([H])[C@]1([H])C/C(C(C[C@]2(O)C)=O)=C(C)\C,"InChI=1S/C15H24O3/c1-9(2)10-7-12-11(5-6-14(12,3)17)15(4,18)8-13(10)16/h11-12,17-18H,5-8H2,1-4H3/t11-,12+,14-,15-/m1/s1",TXIKNNOOLCGADE-AYRXBEOTSA-N,郁金
YJ-188,/,Wenyujinin A,/,252.1725,C15H24O3,,,萜类,O=C1/C(C[C@@]2(O)[C@]([H])(CC[C@@H]2C)[C@@](C)(O)C1)=C(C)/C,"InChI=1S/C15H24O3/c1-9(2)11-7-15(18)10(3)5-6-13(15)14(4,17)8-12(11)16/h10,13,17-18H,5-8H2,1-4H3/t10-,13+,14-,15-/m0/s1",VAAADAZKNZZKKY-PUPMMZHASA-N,郁金
YJ-189,/,Wenyujinin B,/,252.1725,C15H24O3,,,萜类,O=C1/C(C[C@]2(O)[C@](CC[C@@H]2C)([H])[C@@](C)(O)C1)=C(C)/C,"InChI=1S/C15H24O3/c1-9(2)11-7-15(18)10(3)5-6-13(15)14(4,17)8-12(11)16/h10,13,17-18H,5-8H2,1-4H3/t10-,13-,14-,15+/m0/s1",VAAADAZKNZZKKY-FBUXBERBSA-N,郁金
YJ-190,/,Wenyujinin C,/,252.1725,C15H24O3,,,萜类,C[C@@]1(O)[C@@H](C/C(C(O)=O)=C(C)/C)[C@H](C(C)=C)CC1,"InChI=1S/C15H24O3/c1-9(2)11-6-7-15(5,18)13(11)8-12(10(3)4)14(16)17/h11,13,18H,1,6-8H2,2-5H3,(H,16,17)/t11-,13-,15-/m0/s1",ASZQRAIGXCXFGJ-WHOFXGATSA-N,郁金
YJ-191,/,Wenyujinin D,/,252.1725,C15H24O3,,,萜类,C[C@]1(O)CC[C@@H](C(C)=C)[C@@H]1C/C(C(O)=O)=C(C)/C,"InChI=1S/C15H24O3/c1-9(2)11-6-7-15(5,18)13(11)8-12(10(3)4)14(16)17/h11,13,18H,1,6-8H2,2-5H3,(H,16,17)/t11-,13-,15-/m0/s1",ASZQRAIGXCXFGJ-WHOFXGATSA-N,郁金
YJ-192,/,Wenyujinin E,/,252.1725,C15H24O3,,,萜类,C[C@@]1(O)[C@H](C/C(C(C)=O)=C(C)/C)[C@H](C(C)=O)CC1,"InChI=1S/C15H24O3/c1-9(2)13(11(4)17)8-14-12(10(3)16)6-7-15(14,5)18/h12,14,18H,6-8H2,1-5H3/t12-,14+,15-/m0/s1",KHIDUCRPJRTREO-CFVMTHIKSA-N,郁金
YJ-193,/,Wenyujinin F,/,262.1205,C15H28O4,,,萜类,CC1CC[C@@](C21O)([H])C(CO)=CC3=C(C(C)=CO3)C2=O,"InChI=1S/C15H18O4/c1-8-7-19-12-5-10(6-16)11-4-3-9(2)15(11,18)14(17)13(8)12/h5,7,9,11,16,18H,3-4,6H2,1-2H3/t9?,11-,15?/m0/s1",IRAKYWGRKPPVKQ-UQACVICXSA-N,郁金
YJ-194,/,Wenyujinin G,/,280.1311,C15H20O5,,,萜类,C[C@@](CC1)(O)[C@]([C@@]1(O2)[C@](O)(C)C[C@]32O4)([H])CC3=C(C)C4=O,"InChI=1S/C15H20O5/c1-8-9-6-10-12(2,17)4-5-14(10)13(3,18)7-15(9,20-14)19-11(8)16/h10,17-18H,4-7H2,1-3H3/t10-,12-,13-,14+,15+/m0/s1",RQXAHDATEUKKIF-HWKXDMQWSA-N,郁金
YJ-195,/,Wenyujinin H,/,250.1569,C15H22O3,,,萜类,C[C@@](CC1)(O)[C@@]([C@@]1(OC2(C)C)C(C)=C3)([H])C[C@@]2([H])C3=O,"InChI=1S/C15H22O3/c1-9-7-11(16)10-8-12-14(4,17)5-6-15(9,12)18-13(10,2)3/h7,10,12,17H,5-6,8H2,1-4H3/t10-,12+,14-,15-/m0/s1",DYGCKVNCVUZCRS-FDEJFUCISA-N,郁金
YJ-196,/,Wenyujinin I,/,252.1725,C15H24O3,,,萜类,C[C@@H]1CC[C@]([C@]1(O2)C/3)([H])[C@](C)(O)C[C@]2(O)C3=C(C)/C,"InChI=1S/C15H24O3/c1-9(2)11-7-14-10(3)5-6-12(14)13(4,16)8-15(11,17)18-14/h10,12,16-17H,5-8H2,1-4H3/t10-,12-,13-,14+,15-/m1/s1",YDGQINXGLKZUCS-DVLUHMITSA-N,郁金
YJ-197,/,Wenyujinin J,/,250.1569,C15H22O3,,,萜类,C[C@@](CC1)(O)[C@@]2([H])C/C(C(/C([H])=C(C)\[C@]1([H])O2)=O)=C(C)\C,"InChI=1S/C15H22O3/c1-9(2)11-8-14-15(4,17)6-5-13(18-14)10(3)7-12(11)16/h7,13-14,17H,5-6,8H2,1-4H3/b10-7-/t13-,14-,15+/m1/s1",CZKDYZNXKFSJRK-TYEZFOBJSA-N,郁金
YJ-198,/,Wenyujinin K,/,262.1205,C15H18O4,,,萜类,C[C@]12C[C@@H](O)/C([H])=C(C)/CC(OC=C3C)=C3C([C@]1([H])O2)=O,"InChI=1S/C15H18O4/c1-8-4-10(16)6-15(3)14(19-15)13(17)12-9(2)7-18-11(12)5-8/h4,7,10,14,16H,5-6H2,1-3H3/b8-4+/t10-,14-,15-/m0/s1",YUIAXFIOJVPUAF-YEXIAHCESA-N,郁金
YJ-199,/,(4S)-4-hydroxy-gweicurculactone,/,244.1099,C15H16O3,,,萜类,O[C@@]1(C)CCC(C1=C2)=C(C)C=C3C2=C(C)C(O3)=O,"InChI=1S/C15H16O3/c1-8-6-13-11(9(2)14(16)18-13)7-12-10(8)4-5-15(12,3)17/h6-7,17H,4-5H2,1-3H3/t15-/m0/s1",DKXQZTBLMOOZTA-HNNXBMFYSA-N,郁金
YJ-200,/,Zedoalactone G,/,266.1518,C15H22O4,,,萜类,[H][C@]1(C2)[C@](CC[C@]1(C)O)([H])[C@](C)(O)C[C@@]3([H])C2=C(C)C(O3)=O,"InChI=1S/C15H22O4/c1-8-9-6-11-10(4-5-14(11,2)17)15(3,18)7-12(9)19-13(8)16/h10-12,17-18H,4-7H2,1-3H3/t10-,11+,12+,14+,15-/m1/s1",BQDXDGDOYPUUOD-FUQNVFFISA-N,郁金
YJ-201,/,"(1Ｒ,4Ｒ,5S,10S)-zedoalactone B",/,280.1311,C15H20O5,,,萜类,C[C@@]1(O)CC[C@@]2(O)[C@@]1([H])CC(C3=C[C@]2(C)O)=C(C)C(O3)=O,"InChI=1S/C15H20O5/c1-8-9-6-11-13(2,17)4-5-15(11,19)14(3,18)7-10(9)20-12(8)16/h7,11,17-19H,4-6H2,1-3H3/t11-,13+,14-,15+/m0/s1",HPNXJLIPUVXDNH-PMOUVXMZSA-N,郁金
