编号,名称,英文名称,CAS号,分子量,分子式,2D图,化合物种类,smiles,inchi,inchikey,药材
QJZ-030,大戟因子L15,Euphorbia factor L15,/,474.26,C27H38O7,,萜类,C[C@H]1C[C@@]2(OC(C)=O)[C@]([C@@H](OC(C)=O)C([C@@H](C)C[C@@](C3(C)C)([H])[C@@]3([H])/C=C(C)/C2=O)=C)([H])[C@H]1OC(C)=O,"InChI=1S/C27H38O7/c1-13-10-20-21(26(20,8)9)11-14(2)25(31)27(34-19(7)30)12-15(3)23(32-17(5)28)22(27)24(16(13)4)33-18(6)29/h11,13,15,20-24H,4,10,12H2,1-3,5-9H3/b14-11+/t13-,15-,20-,21+,22+,23-,24-,27+/m0/s1",PDVZHWBABHOGKW-FGSDTIJPSA-N,千金子
QJZ-031,大戟因子L16,Euphorbia factor L16,/,524.28,C31H40O7,,萜类,C[C@H]1C[C@@]2(OC(C)=O)[C@]([C@@H](OC(C)=O)C([C@@H](C)C[C@@](C3(C)C)([H])[C@@]3([H])/C=C(C)/C2=O)=C)([H])[C@H]1OC4=CC=CC=C4O,"InChI=1S/C31H40O7/c1-16-13-22-23(30(22,7)8)14-17(2)29(35)31(38-21(6)33)15-18(3)27(37-25-12-10-9-11-24(25)34)26(31)28(19(16)4)36-20(5)32/h9-12,14,16,18,22-23,26-28,34H,4,13,15H2,1-3,5-8H3/b17-14+/t16-,18-,22-,23+,26+,27-,28-,31+/m0/s1",LUXNSRDKAPOQDW-OEYWYGHOSA-N,千金子
QJZ-032,大戟因子L17,Euphorbia factor L17,/,506.27,C31H38O6,,萜类,C[C@H]1C[C@@]2(OC(C)=O)[C@](/C=C(CC(C)=O)\CC[C@@](C3(C)C)([H])[C@@]3([H])/C=C(C)/C2=O)([H])[C@H]1OC(C4=CC=CC=C4)=O,"InChI=1S/C31H38O6/c1-18-14-25-24(30(25,5)6)13-12-22(15-20(3)32)16-26-27(36-29(35)23-10-8-7-9-11-23)19(2)17-31(26,28(18)34)37-21(4)33/h7-11,14,16,19,24-27H,12-13,15,17H2,1-6H3/b18-14+,22-16+/t19-,24-,25+,26-,27-,31+/m0/s1",WGVSWLSHBHDUNP-FWCWMBDUSA-N,千金子
QJZ-033,大戟因子L18,Euphorbia factor L18,/,522.26,C31H38O7,,萜类,C[C@H]1C[C@@]2(OC(C)=O)[C@](/C=C(COC(C)=O)\CC[C@@](C3(C)C)([H])[C@@]3([H])/C=C(C)/C2=O)([H])[C@H]1OC(C4=CC=CC=C4)=O,"InChI=1S/C31H38O7/c1-18-14-25-24(30(25,5)6)13-12-22(17-36-20(3)32)15-26-27(37-29(35)23-10-8-7-9-11-23)19(2)16-31(26,28(18)34)38-21(4)33/h7-11,14-15,19,24-27H,12-13,16-17H2,1-6H3/b18-14+,22-15+/t19-,24-,25+,26-,27-,31+/m0/s1",MJJJHDYUBBRUSD-BPZJZZHUSA-N,千金子
QJZ-034,大戟因子L19,Euphorbia factor L19,/,480.25,C29H36O6,,萜类,C[C@H]1C[C@@]2(OC(C)=O)[C@](/C=C(CO)\CC[C@@](C3(C)C)([H])[C@@]3([H])/C=C(C)/C2=O)([H])[C@H]1OC(C4=CC=CC=C4)=O,"InChI=1S/C29H36O6/c1-17-13-23-22(28(23,4)5)12-11-20(16-30)14-24-25(34-27(33)21-9-7-6-8-10-21)18(2)15-29(24,26(17)32)35-19(3)31/h6-10,13-14,18,22-25,30H,11-12,15-16H2,1-5H3/b17-13+,20-14+/t18-,22-,23+,24-,25-,29+/m0/s1",OPDKEOYCNVZZFC-YAGDOOEQSA-N,千金子
QJZ-035,大戟因子L20,Euphorbia factor L20,/,538.26,C31H38O8,,萜类,C[C@H]1C[C@@]2(OC(C)=O)[C@]([C@@H](O)/C(COC(C)=O)=C/C[C@@](C3(C)C)([H])[C@@]3([H])/C=C(C)/C2=O)([H])[C@H]1OC(C4=CC=CC=C4)=O,"InChI=1S/C31H38O8/c1-17-14-24-23(30(24,5)6)13-12-22(16-37-19(3)32)26(34)25-27(38-29(36)21-10-8-7-9-11-21)18(2)15-31(25,28(17)35)39-20(4)33/h7-12,14,18,23-27,34H,13,15-16H2,1-6H3/b17-14+,22-12+/t18-,23-,24+,25-,26-,27-,31+/m0/s1",ZWKUINFZGROMLW-JXUJKRJASA-N,千金子
QJZ-036,大戟因子L21,Euphorbia factor L21,/,634.28,C36H42O10,,萜类,C[C@H]1C[C@@]2(O)[C@]([C@@H](OC(C)=O)C([C@@H](OC(C3=CC=CC=C3)=O)C[C@@](C4(C)C)([H])[C@@]4([H])[C@H](O)[C@](C)(O)C2=O)=C)([H])[C@H]1OC(C5=CC=CC=C5)=O,"InChI=1S/C36H42O10/c1-19-18-36(43)27(28(19)46-32(40)23-15-11-8-12-16-23)29(44-21(3)37)20(2)25(45-31(39)22-13-9-7-10-14-22)17-24-26(34(24,4)5)30(38)35(6,42)33(36)41/h7-16,19,24-30,38,42-43H,2,17-18H2,1,3-6H3/t19-,24-,25-,26-,27+,28-,29-,30-,35-,36+/m0/s1",PRQUXOUSMVJAPZ-MXQWAYTGSA-N,千金子
QJZ-037,大戟因子L22,Euphorbia factor L22,1613700-09-6,506.27,C31H38O6,,萜类,C[C@H]1C[C@@]2(OC(C)=O)[C@](/C=C(CO)\CC[C@@](C3(C)C)([H])[C@@]3([H])/C=C(C)/C2=O)([H])[C@H]1OC(/C=C\C4=CC=CC=C4)=O,"InChI=1S/C31H38O6/c1-19-15-25-24(30(25,4)5)13-11-23(18-32)16-26-28(20(2)17-31(26,29(19)35)37-21(3)33)36-27(34)14-12-22-9-7-6-8-10-22/h6-10,12,14-16,20,24-26,28,32H,11,13,17-18H2,1-5H3/b14-12-,19-15+,23-16+/t20-,24-,25+,26-,28-,31+/m0/s1",IZVVCHSPUYTJEM-QRRBZNFCSA-N,千金子
QJZ-038,大戟因子L23,Euphorbia factor L23,/,530.32,C31H46O7,,萜类,C[C@H]1C[C@@]2(OC(C)=O)[C@](/C=C(COC(C)=O)\CC[C@@](C3(C)C)([H])[C@@]3([H])/C=C(C)/C2=O)([H])[C@H]1OC(CCCCCC)=O,"InChI=1S/C31H46O7/c1-8-9-10-11-12-27(34)37-28-20(3)17-31(38-22(5)33)26(28)16-23(18-36-21(4)32)13-14-24-25(30(24,6)7)15-19(2)29(31)35/h15-16,20,24-26,28H,8-14,17-18H2,1-7H3/b19-15+,23-16+/t20-,24-,25+,26-,28-,31+/m0/s1",DMJLSCOJZUIVRT-OLLQEGABSA-N,千金子
QJZ-039,大戟因子L24,Euphorbia factor L24,1613700-13-2,538.26,C31H38O8,,萜类,C[C@H]1C[C@@]2(OC(C)=O)[C@]([C@@H](OC(C)=O)/C(CO)=C/C[C@@](C3(C)C)([H])[C@@]3([H])/C=C(C)/C2=O)([H])[C@H]1OC(C4=CC=CC=C4)=O,"InChI=1S/C31H38O8/c1-17-14-24-23(30(24,5)6)13-12-22(16-32)27(37-19(3)33)25-26(38-29(36)21-10-8-7-9-11-21)18(2)15-31(25,28(17)35)39-20(4)34/h7-12,14,18,23-27,32H,13,15-16H2,1-6H3/b17-14+,22-12+/t18-,23-,24+,25+,26-,27-,31+/m0/s1",YLLBXYRNXBAADG-IHERWWFXSA-N,千金子
