编号,名称,英文名称,CAS号,分子量,分子式,2D图,化合物种类,smiles,inchi,inchikey,药材
QJZ-050,大环二萜千金子 A,Euphorbia layhyris A,/,644.3,C38H44O9,,萜类,C[C@H]1C[C@@]2(OC(C)=O)[C@]([C@@H](OC(C)=O)C([C@@H](OC(C3=CC=CC=C3)=O)C[C@@](C4(C)C)([H])[C@@]4([H])CC(C)C2=O)=C)([H])[C@H]1OC(C5=CC=CC=C5)=O,"InChI=1S/C38H44O9/c1-21-18-28-29(37(28,6)7)19-30(45-35(42)26-14-10-8-11-15-26)23(3)33(44-24(4)39)31-32(46-36(43)27-16-12-9-13-17-27)22(2)20-38(31,34(21)41)47-25(5)40/h8-17,21-22,28-33H,3,18-20H2,1-2,4-7H3/t21?,22-,28+,29-,30-,31+,32-,33-,38+/m0/s1",PFFCQIVCVJARDE-YMMLTCIJSA-N,千金子
QJZ-051,"(2S,3S,4R,5R,9S,11R,15R)-5,17-diacetoxy-3-benzoyloxy-15hydroxy-14-oxolathyra-6E,12E-diene",/,/,538.26,C31H38O8,,萜类,C[C@H]1C[C@@]2(O)[C@]([C@@H](OC(C)=O)/C(COC(C)=O)=C/C[C@@](C3(C)C)([H])[C@@]3([H])/C=C(C)/C2=O)([H])[C@H]1OC(C4=CC=CC=C4)=O,"InChI=1S/C31H38O8/c1-17-14-24-23(30(24,5)6)13-12-22(16-37-19(3)32)27(38-20(4)33)25-26(18(2)15-31(25,36)28(17)34)39-29(35)21-10-8-7-9-11-21/h7-12,14,18,23-27,36H,13,15-16H2,1-6H3/b17-14+,22-12+/t18-,23-,24+,25+,26-,27-,31+/m0/s1",SXSHJOSQALDWIG-IHERWWFXSA-N,千金子
QJZ-052,/,lathyranoic acid A,850560-44-0,494.23,C29H34O7,,酚酸,C[C@H]1C[C@@]2(O)[C@]([C@@H](OC(C)=O)/C(COC(C)=O)=C/C[C@@](C3(C)C)([H])[C@@]3([H])/C=C(C)/C2=O)([H])[C@H]1OC(C4=CC=CC=C4)=O,"InChI=1S/C31H38O8/c1-17-14-24-23(30(24,5)6)13-12-22(16-37-19(3)32)27(38-20(4)33)25-26(18(2)15-31(25,36)28(17)34)39-29(35)21-10-8-7-9-11-21/h7-12,14,18,23-27,36H,13,15-16H2,1-6H3/b17-14+,22-12+/t18-,23-,24+,25+,26-,27-,31+/m0/s1",SXSHJOSQALDWIG-IHERWWFXSA-N,千金子
QJZ-053,/,Lathyranone A,/,600.27,C36H40O8,,萜类,C/C([C@](C[C@H](C)[C@H](OC(C1=CC=CC=C1)=O)[C@]2([H])[C@H]3OC(C)=O)(O)C2=O)=C\[C@]4([H])[C@](C4(C)C)([H])C[C@H](OC(C5=CC=CC=C5)=O)C3=C,"InChI=1S/C36H40O8/c1-20-19-36(41)21(2)17-26-27(35(26,5)6)18-28(43-33(39)24-13-9-7-10-14-24)22(3)31(42-23(4)37)29(32(36)38)30(20)44-34(40)25-15-11-8-12-16-25/h7-17,20,26-31,41H,3,18-19H2,1-2,4-6H3/b21-17+/t20-,26+,27-,28-,29+,30-,31-,36-/m0/s1",ITAIFBKXEBXGAQ-XESDVCCISA-N,千金子
QJZ-054,/,premylanin,/,538.29,C32H42O7,,萜类,CC1(C)[C@@]([C@@]21[H])([H])CC[C@@]([C@]2([H])[C@]3(OC)C)(C)[C@H](O)[C@]4([H])[C@@](C[C@H](C)[C@@H]4OC(/C=C/C5=CC=CC=C5)=O)(OC(C)=O)C3=O,"InChI=1S/C32H42O7/c1-18-17-32(39-19(2)33)24(25(18)38-22(34)14-13-20-11-9-8-10-12-20)27(35)30(5)16-15-21-23(29(21,3)4)26(30)31(6,37-7)28(32)36/h8-14,18,21,23-27,35H,15-17H2,1-7H3/b14-13+/t18-,21-,23-,24+,25-,26+,27+,30+,31+,32+/m0/s1",XHZXGBCAZOSBEX-HRHJPESXSA-N,千金子
QJZ-055,青蒿亭,artemetin,/,388.12,C20H20O8,,萜类,OC1=C2C(OC(C3=CC(OC)=C(OC)C=C3)=C(OC)C2=O)=CC(OC)=C1OC,"InChI=1S/C20H20O8/c1-23-11-7-6-10(8-12(11)24-2)18-20(27-5)17(22)15-13(28-18)9-14(25-3)19(26-4)16(15)21/h6-9,21H,1-5H3",RIGYMJVFEJNCKD-UHFFFAOYSA-N,千金子
QJZ-056,蔓荆子黄酮,vitexicarpin,479-91-4,374.1,C19H18O8,,黄酮,OC1=C2C(OC(C3=CC(O)=C(OC)C=C3)=C(OC)C2=O)=CC(OC)=C1OC,"InChI=1S/C19H18O8/c1-23-11-6-5-9(7-10(11)20)17-19(26-4)16(22)14-12(27-17)8-13(24-2)18(25-3)15(14)21/h5-8,20-21H,1-4H3",PJQLSMYMOKWUJG-UHFFFAOYSA-N,千金子
QJZ-057,山柰酚-3-葡萄糖醛酸苷,kaempferol-3-glucuronide,/,462.08,C21H18O12,,黄酮,OC1=C(C(C(O[C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](C(O)=O)O2)=C(C3=CC=C(O)C=C3)O4)=O)C4=CC(O)=C1,"InChI=1S/C21H18O12/c22-8-3-1-7(2-4-8)17-18(13(25)12-10(24)5-9(23)6-11(12)31-17)32-21-16(28)14(26)15(27)19(33-21)20(29)30/h1-6,14-16,19,21-24,26-28H,(H,29,30)/t14-,15-,16+,19-,21+/m0/s1",FNTJVYCFNVUBOL-ZUGPOPFOSA-N,千金子
QJZ-058,槲皮素-3-葡萄糖醛酸苷,quercetin-3-glucuronide,22688-79-5,478.07,C21H18O13,,黄酮,O=C1C2=C(O)C=C(O)C=C2OC(C3=CC(O)=C(O)C=C3)=C1O[C@H]4[C@H](O)[C@@H](O)[C@H](O)[C@@H](C(O)=O)O4,"InChI=1S/C21H18O13/c22-7-4-10(25)12-11(5-7)32-17(6-1-2-8(23)9(24)3-6)18(13(12)26)33-21-16(29)14(27)15(28)19(34-21)20(30)31/h1-5,14-16,19,21-25,27-29H,(H,30,31)/t14-,15-,16+,19-,21+/m0/s1",DUBCCGAQYVUYEU-ZUGPOPFOSA-N,千金子
QJZ-059,黄芩素,baicalein,491-67-8,270.05,C15H10O5,,黄酮,OC1=C(O)C=C(OC(C2=CC=CC=C2)=CC3=O)C3=C1O,"InChI=1S/C15H10O5/c16-9-6-11(8-4-2-1-3-5-8)20-12-7-10(17)14(18)15(19)13(9)12/h1-7,17-19H",FXNFHKRTJBSTCS-UHFFFAOYSA-N,千金子
QJZ-060,山柰酚,kaempferol,520-18-3,286.05,C15H10O6,,黄酮,OC1=CC(O)=C2C(OC(C3=CC=C(O)C=C3)=C(O)C2=O)=C1,"InChI=1S/C15H10O6/c16-8-3-1-7(2-4-8)15-14(20)13(19)12-10(18)5-9(17)6-11(12)21-15/h1-6,16-18,20H",IYRMWMYZSQPJKC-UHFFFAOYSA-N,千金子
QJZ-061,槲皮素,quercetin,117-39-5,302.04,C15H10O7,,黄酮,OC1=CC(O)=C2C(OC(C3=CC(O)=C(O)C=C3)=C(O)C2=O)=C1,"InChI=1S/C15H10O7/c16-7-4-10(19)12-11(5-7)22-15(14(21)13(12)20)6-1-2-8(17)9(18)3-6/h1-5,16-19,21H",REFJWTPEDVJJIY-UHFFFAOYSA-N,千金子
QJZ-062,汉黄芩素,wogonin,632-85-9,284.07,C16H12O5,,黄酮,OC1=CC(O)=C2C(OC(C3=CC=CC=C3)=CC2=O)=C1OC,"InChI=1S/C16H12O5/c1-20-15-12(19)7-10(17)14-11(18)8-13(21-16(14)15)9-5-3-2-4-6-9/h2-8,17,19H,1H3",XLTFNNCXVBYBSX-UHFFFAOYSA-N,千金子
QJZ-063,芦丁,rutin,153-18-4,610.15,C27H30O16,,黄酮,O=C1C2=C(O)C=C(O)C=C2OC(C3=CC(O)=C(O)C=C3)=C1O[C@H]4[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)O4,"InChI=1S/C27H30O16/c1-8-17(32)20(35)22(37)26(40-8)39-7-15-18(33)21(36)23(38)27(42-15)43-25-19(34)16-13(31)5-10(28)6-14(16)41-24(25)9-2-3-11(29)12(30)4-9/h2-6,8,15,17-18,20-23,26-33,35-38H,7H2,1H3/t8-,15+,17-,18+,20+,21-,22+,23+,26+,27-/m0/s1",IKGXIBQEEMLURG-NVPNHPEKSA-N,千金子
QJZ-064,七叶内酯/秦皮乙素,aesculetin,305-01-1,178.03,C9H6O4,,香豆素,O=C1C=CC2=CC(O)=C(O)C=C2O1,"InChI=1S/C9H6O4/c10-6-3-5-1-2-9(12)13-8(5)4-7(6)11/h1-4,10-11H",ILEDWLMCKZNDJK-UHFFFAOYSA-N,千金子
QJZ-065,双七叶内酯,euphorbetin,/,354.04,C18H10O8,,香豆素,O=C1C=CC(C(C2=C(O)C(O)=CC3=C2C=CC(O3)=O)=C(O)C(O)=C4)=C4O1,"InChI=1S/C18H10O8/c19-9-5-11-7(1-3-13(21)25-11)15(17(9)23)16-8-2-4-14(22)26-12(8)6-10(20)18(16)24/h1-6,19-20,23-24H",MFAPGDLENWJYSK-UHFFFAOYSA-N,千金子
QJZ-066,异双七叶内酯,isoeuphorbetin,50677-55-9,354.04,C18H10O8,,香豆素,O=C1C=CC2=CC(O)=C(O)C(C3=C(O)C(O)=CC4=C3C=CC(O4)=O)=C2O1,"InChI=1S/C18H10O8/c19-9-5-7-1-3-13(22)26-18(7)15(17(9)24)14-8-2-4-12(21)25-11(8)6-10(20)16(14)23/h1-6,19-20,23-24H",MCLQXBHUUFURBK-UHFFFAOYSA-N,千金子
QJZ-067,瑞香素,daphnetin,486-35-1,178.03,C9H6O4,,香豆素,O=C(O1)C=CC2=C1C(O)=C(O)C=C2,"InChI=1S/C9H6O4/c10-6-3-1-5-2-4-7(11)13-9(5)8(6)12/h1-4,10,12H",ATEFPOUAMCWAQS-UHFFFAOYSA-N,千金子
QJZ-068,七叶树苷,esculin,305-01-1,340.08,C15H16O9,,香豆素,O=C1C=CC2=CC(O[C@H]3[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O3)=C(O)C=C2O1,"InChI=1S/C15H16O9/c16-5-10-12(19)13(20)14(21)15(24-10)23-9-3-6-1-2-11(18)22-8(6)4-7(9)17/h1-4,10,12-17,19-21H,5H2/t10-,12-,13+,14-,15-/m1/s1",XHCADAYNFIFUHF-TVKJYDDYSA-N,千金子
QJZ-069,秦皮啶,fraxidin,525-21-3,222.05,C11H10O5,,香豆素,COC1=C(OC)C(O)=C2C(C=CC(O2)=O)=C1,"InChI=1S/C11H10O5/c1-14-7-5-6-3-4-8(12)16-10(6)9(13)11(7)15-2/h3-5,13H,1-2H3",QNFBKOHHLAWWTC-UHFFFAOYSA-N,千金子
QJZ-070,6-甲氧基-7-羟基香豆素,scopoletin,92-61-5,192.04,C10H8O4,,香豆素,COC1=C(O)C=C2C(C=CC(O2)=O)=C1,"InChI=1S/C10H8O4/c1-13-9-4-6-2-3-10(12)14-8(6)5-7(9)11/h2-5,11H,1H3",RODXRVNMMDRFIK-UHFFFAOYSA-N,千金子
QJZ-071,β-谷甾醇,β-sitosterol,83-46-5,414.39,C29H50O,,甾体,CC[C@@H](C(C)C)CC[C@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]3[C@H]2CC=C4[C@]3(C)CC[C@H](O)C4)C,"InChI=1S/C29H50O/c1-7-21(19(2)3)9-8-20(4)25-12-13-26-24-11-10-22-18-23(30)14-16-28(22,5)27(24)15-17-29(25,26)6/h10,19-21,23-27,30H,7-9,11-18H2,1-6H3/t20-,21-,23+,24+,25-,26+,27+,28+,29-/m1/s1",KZJWDPNRJALLNS-VJSFXXLFSA-N,千金子
QJZ-072,胡萝卜苷,daucosterol,474-58-8,576.44,C35H60O6,,甾体,CC[C@@H](C(C)C)CC[C@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]3[C@H]2CC=C4[C@]3(C)CC[C@H](O[C@H]5[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O5)C4)C,"InChI=1S/C35H60O6/c1-7-22(20(2)3)9-8-21(4)26-12-13-27-25-11-10-23-18-24(14-16-34(23,5)28(25)15-17-35(26,27)6)40-33-32(39)31(38)30(37)29(19-36)41-33/h10,20-22,24-33,36-39H,7-9,11-19H2,1-6H3/t21-,22-,24+,25+,26-,27+,28+,29-,30-,31+,32-,33-,34+,35-/m1/s1",NPJICTMALKLTFW-OFUAXYCQSA-N,千金子
QJZ-073,蒲公英甾醇,taraxerol,1059-14-9,426.39,C30H50O,,甾体,C[C@H]1[C@@H]2[C@H]3CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@]2(C)CCC1=C,"InChI=1S/C30H50O/c1-19-11-14-27(5)17-18-29(7)21(25(27)20(19)2)9-10-23-28(6)15-13-24(31)26(3,4)22(28)12-16-30(23,29)8/h20-25,31H,1,9-18H2,2-8H3/t20-,21-,22+,23-,24+,25-,27-,28+,29-,30-/m1/s1",XWMMEBCFHUKHEX-ZJJHUPNDSA-N,千金子
QJZ-074,蒲公英甾酮,taraxerone,6786-16-9,424.37,C30H48O,,甾体,C[C@]12CCC(C)(C)C[C@H]1[C@]3(C)CC[C@@H]4[C@@]5(C)CCC(C(C)(C)[C@@H]5CC[C@@]4(C)C3=CC2)=O,"InChI=1S/C30H48O/c1-25(2)17-18-27(5)13-9-21-29(7)14-10-20-26(3,4)24(31)12-16-28(20,6)22(29)11-15-30(21,8)23(27)19-25/h9,20,22-23H,10-19H2,1-8H3/t20-,22+,23+,27-,28-,29-,30+/m0/s1",DBCAVZSSFGIHQZ-YLAYQGCQSA-N,千金子
QJZ-075,羽扇叶醇,lupeol,545-47-1,426.39,C30H50O,,三萜,CC([C@@H]1CC[C@@]2(C)[C@H]1[C@H]3CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC2)=C,"InChI=1S/C30H50O/c1-19(2)20-11-14-27(5)17-18-29(7)21(25(20)27)9-10-23-28(6)15-13-24(31)26(3,4)22(28)12-16-30(23,29)8/h20-25,31H,1,9-18H2,2-8H3/t20-,21+,22-,23+,24-,25+,27+,28-,29+,30+/m0/s1",MQYXUWHLBZFQQO-QGTGJCAVSA-N,千金子
QJZ-076,羊齿烯醇,fernenol,/,426.39,C30H50O,,三萜,CC([C@H]1CC[C@@H]2[C@]1(C)CC[C@@]3(C)[C@@]2(C)CC=C4[C@@H]3CC[C@@H]5[C@]4(C)CC[C@H](O)C5(C)C)C,"InChI=1S/C30H50O/c1-19(2)20-9-12-24-28(20,6)17-18-29(7)22-10-11-23-26(3,4)25(31)14-15-27(23,5)21(22)13-16-30(24,29)8/h13,19-20,22-25,31H,9-12,14-18H2,1-8H3/t20-,22+,23+,24-,25+,27-,28-,29-,30+/m1/s1",VWYANPOOORUCFJ-YHEBVWOXSA-N,千金子
QJZ-077,羽扇烯酮,lupenone,1617-70-5,424.37,C30H48O,,三萜,CC([C@@H]1CC[C@@]2(C)[C@H]1[C@H]3CC[C@@H]4[C@@]5(C)CCC(C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC2)=O)=C,"InChI=1S/C30H48O/c1-19(2)20-11-14-27(5)17-18-29(7)21(25(20)27)9-10-23-28(6)15-13-24(31)26(3,4)22(28)12-16-30(23,29)8/h20-23,25H,1,9-18H2,2-8H3/t20-,21+,22-,23+,25+,27+,28-,29+,30+/m0/s1",GRBHNQFQFHLCHO-BHMAJAPKSA-N,千金子
QJZ-078,β-香树脂醇,β-Amyrin,559-70-6,426.39,C30H50O,,三萜,C[C@@]12CC[C@]3(C)C([C@@H]1CC(C)(C)CC2)=CC[C@H]4[C@@]3(C)CC[C@@H]5[C@]4(C)CC[C@H](O)C5(C)C,"InChI=1S/C30H50O/c1-25(2)15-16-27(5)17-18-29(7)20(21(27)19-25)9-10-23-28(6)13-12-24(31)26(3,4)22(28)11-14-30(23,29)8/h9,21-24,31H,10-19H2,1-8H3/t21-,22-,23+,24-,27+,28-,29+,30+/m0/s1",JFSHUTJDVKUMTJ-QHPUVITPSA-N,千金子
QJZ-079,环木菠萝烯醇,cycloartenol,469-38-5,426.39,C30H50O,,三萜,C[C@@H]([C@H]1CC[C@]2(C)[C@]1(C)CC[C@]34[C@H]2CC[C@@H]5[C@@]3(CC[C@H](O)C5(C)C)C4)CC/C=C(C)\C,"InChI=1S/C30H50O/c1-20(2)9-8-10-21(3)22-13-15-28(7)24-12-11-23-26(4,5)25(31)14-16-29(23)19-30(24,29)18-17-27(22,28)6/h9,21-25,31H,8,10-19H2,1-7H3/t21-,22-,23+,24+,25+,27-,28+,29-,30+/m1/s1",ONQRKEUAIJMULO-YBXTVTTCSA-N,千金子
QJZ-080,24-亚甲基环木菠萝烷醇,24-methylene cycloartanol,1449-09-8,440.4,C31H52O,,三萜,C[C@@H]([C@H]1CC[C@]2(C)[C@]1(C)CC[C@]34[C@H]2CC[C@@H]5[C@@]3(CC[C@H](O)C5(C)C)C4)CCC(C(C)C)=C,"InChI=1S/C31H52O/c1-20(2)21(3)9-10-22(4)23-13-15-29(8)25-12-11-24-27(5,6)26(32)14-16-30(24)19-31(25,30)18-17-28(23,29)7/h20,22-26,32H,3,9-19H2,1-2,4-8H3/t22-,23-,24+,25+,26+,28-,29+,30-,31+/m1/s1",BDHQMRXFDYJGII-UEBIAWITSA-N,千金子
