编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,化合物种类,smiles,inchi,inchikey,药材名称
49,熊果酸-28-O-β-D-葡萄糖酯,ursolic acid 28-O-β-D-glucopyranosyl ester,/,618.4132,C36H58O8,,三萜,O[C@H]1CC[C@@]2(C)C(CC[C@]3(C)C2CC=C4[C@@]3(C)CC[C@]5(C(O[C@@H]6O[C@H](CO)[C@@H](O)C(O)[C@H]6O)=O)[C@@]4([H])[C@@H](C)[C@H](C)CC5)C1(C)C,"InChI=1S/C36H58O8/c1-19-10-15-36(31(42)44-30-29(41)28(40)27(39)22(18-37)43-30)17-16-34(6)21(26(36)20(19)2)8-9-24-33(5)13-12-25(38)32(3,4)23(33)11-14-35(24,34)7/h8,19-20,22-30,37-41H,9-18H2,1-7H3/t19-,20+,22-,23?,24?,25+,26+,27-,28?,29-,30+,33+,34-,35-,36+/m1/s1",BVBAYRAWOPYPGO-XWFSZBGESA-N,泽兰
50,正十六碳酸α-甘油酯,1-glycerin hexadecylate,/,330.277,C19H38O4,,脂肪酸,CCCCCCCCCCCCCCCC(OCC(O)CO)=O,"InChI=1S/C19H38O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-19(22)23-17-18(21)16-20/h18,20-21H,2-17H2,1H3",QHZLMUACJMDIAE-UHFFFAOYSA-N,泽兰
51,泽兰素,Euparin,532-48-9,216.0786,C13H12O3,,苯丙素,OC1=C(C(C)=O)C=C2C(OC(C(C)=C)=C2)=C1,"InChI=1S/C13H12O3/c1-7(2)12-5-9-4-10(8(3)14)11(15)6-13(9)16-12/h4-6,15H,1H2,2-3H3",OPUFDNZTKHPZHM-UHFFFAOYSA-N,泽兰
52,"3β, 8β, 12β, 18-Tetrahydroxy Pimar-15-en","3β, 8β, 12β, 18-Tetrahydroxy Pimar-15-en",/,338.2457,C20H34O4,,萜类,O[C@H]1CC[C@@]2(C)C(CC[C@]3(O)C2C[C@@H](O)[C@](C=C)(C)C3)C1(CO)C,"InChI=1S/C20H34O4/c1-5-17(2)11-20(24)9-6-13-18(3,14(20)10-16(17)23)8-7-15(22)19(13,4)12-21/h5,13-16,21-24H,1,6-12H2,2-4H3/t13?,14?,15-,16+,17-,18-,19?,20+/m0/s1",QCWCQECAZXDFKM-LKPRDDNZSA-N,泽兰
53,"7α, 8β, 12β, 18-Tetrahydroxy Pimar-15-en","7α, 8β, 12β, 18-Tetrahydroxy Pimar-15-en",/,338.2457,C20H34O4,,萜类,C[C@@]12C(C[C@@H](O)[C@]3(O)C2C[C@@H](O)[C@](C=C)(C)C3)C(C)(CO)CCC1,"InChI=1S/C20H34O4/c1-5-17(2)11-20(24)14(10-15(17)22)19(4)8-6-7-18(3,12-21)13(19)9-16(20)23/h5,13-16,21-24H,1,6-12H2,2-4H3/t13?,14?,15-,16-,17+,18?,19+,20-/m1/s1",JJVNPHRFCNAUJX-BAFVCYQDSA-N,泽兰
54,"3β, 8β, 11β, 12α, 18-Pentahydroxy Pimar-15-en","3β, 8β, 11β, 12α, 18-Pentahydroxy Pimar-15-en",/,354.2406,C20H34O5,,萜类,OC1CCC2(C)C(CCC3(O)C2C(O)[C@H](O)[C@](C=C)(C)C3)C1(CO)C,"InChI=1S/C20H34O5/c1-5-17(2)10-20(25)9-6-12-18(3,15(20)14(23)16(17)24)8-7-13(22)19(12,4)11-21/h5,12-16,21-25H,1,6-11H2,2-4H3/t12?,13?,14?,15?,16-,17-,18?,19?,20?/m0/s1",ZIHXZXPMPOXAHR-ZXXMLJQZSA-N,泽兰
55,"12β Acetoxy, 8β, 3β, 18-Trihydroxy Pimar-15-en","12β Acetoxy, 8β, 3β, 18-Trihydroxy Pimar-15-en",/,380.2563,C22H36O5,,萜类,O[C@H]1CC[C@@]2(C)C(CC[C@]3(O)C2C[C@@H](OC(C)=O)C(C)(C)C3)C1(CO)C,"InChI=1S/C21H36O5/c1-13(23)26-17-10-15-19(4)8-7-16(24)20(5,12-22)14(19)6-9-21(15,25)11-18(17,2)3/h14-17,22,24-25H,6-12H2,1-5H3/t14?,15?,16-,17+,19-,20?,21+/m0/s1",IUFQTRSULPMLFC-ZDIHDSNOSA-N,泽兰
56,"3β Acetoxy, 8β, 12β, 18-Trihydroxy Pimar-15-en","3β Acetoxy, 8β, 12β, 18-Trihydroxy Pimar-15-en",/,380.2563,C22H36O5,,萜类,C[C@@]12C(CC[C@]3(O)C2C[C@@H](O)C(C)(C)C3)C(C)(CO)[C@@H](OC(C)=O)CC1,"InChI=1S/C21H36O5/c1-13(23)26-17-7-8-19(4)14(20(17,5)12-22)6-9-21(25)11-18(2,3)16(24)10-15(19)21/h14-17,22,24-25H,6-12H2,1-5H3/t14?,15?,16-,17+,19+,20?,21-/m1/s1",KKAVXRGATKHTMB-ZQXOUQNRSA-N,泽兰
57,柚皮甙,Naringin,10236-47-2,580.1792,C27H32O14,,黄酮,OC1=C2C(O[C@H](C(C=C3)=CC=C3O)CC2=O)=CC(O[C@H]4[C@@H](O[C@H]5[C@@H](O)[C@@H](O)[C@H](O)[C@@H](C)O5)[C@@H](O)[C@H](O)[C@@H](CO)O4)=C1,"InChI=1S/C27H32O14/c1-10-20(32)22(34)24(36)26(37-10)41-25-23(35)21(33)18(9-28)40-27(25)38-13-6-14(30)19-15(31)8-16(39-17(19)7-13)11-2-4-12(29)5-3-11/h2-7,10,16,18,20-30,32-36H,8-9H2,1H3/t10-,16+,18-,20-,21-,22+,23+,24+,25+,26+,27-/m1/s1",DFPMSGMNTNDNHN-BNMQAFSCSA-N,泽兰
58,香豆素,Coumarin,91-64-5,146.0368,C9H6O2,,香豆素,O=C1C=CC2=CC=CC=C2O1,InChI=1S/C9H6O2/c10-9-6-5-7-3-1-2-4-8(7)11-9/h1-6H,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N,泽兰
59,单宁,Tannic acid,1401-55-4,1714.1886,C77H54O46,,酚酸,O=C(C(C=C1OC(C(C=C2O)=CC(O)=C2O)=O)=CC(O)=C1O)O[C@H]([C@H]3OC(C(C(C)=C4OC(C(C=C5O)=CC(O)=C5O)=O)=CC(O)=C4O)=O)[C@@H]([C@](COC(C(C=C6OC(C(C=C7O)=CC(O)=C7O)=O)=CC(O)=C6O)=O)([H])O[C@H]3OC(C(C=C8OC(C(C=C9O)=CC(O)=C9O)=O)=CC(O)=C8O)=O)OC(C(C=C%10OC(C(C=C%11O)=CC(O)=C%11O)=O)=CC(O)=C%10O)=O,"InChI=1S/C77H54O46/c1-22-32(20-47(92)62(102)63(22)119-72(108)27-10-41(86)57(97)42(87)11-27)76(112)122-66-65(121-74(110)30-14-45(90)60(100)50(18-30)116-70(106)25-6-37(82)55(95)38(83)7-25)64(120-73(109)29-13-44(89)59(99)49(17-29)115-69(105)24-4-35(80)54(94)36(81)5-24)52(21-113-67(103)28-12-43(88)58(98)48(16-28)114-68(104)23-2-33(78)53(93)34(79)3-23)118-77(66)123-75(111)31-15-46(91)61(101)51(19-31)117-71(107)26-8-39(84)56(96)40(85)9-26/h2-20,52,64-66,77-102H,21H2,1H3/t52-,64-,65+,66-,77+/m1/s1",PTJBMUPYEKKKIK-VZSHIGQUSA-N,泽兰
60,皂甙,Saponin,8047-15-2,1222.5982,C58H94O27,,三萜,OC1C23C(CC(C)(C([H])=O)CC3)C(C(C1)(C)C4(C)C5C6(C)C(C(C)(C)C(O[C@H]7[C@@H](O[C@H]8[C@@H](O[C@H]9[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O9)[C@@H](O)[C@H](O)[C@@H](CO)O8)[C@@H](O[C@H]%10[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O%10)[C@H](O[C@H]%11[C@H](O)[C@@H](O)[C@H](O)CO%11)CO7)CC6)CC4)(CC5)OC2,"InChI=1S/C58H94O27/c1-52(2)29-7-11-55(5)30(8-12-58-31-15-53(3,22-62)13-14-57(31,23-77-58)32(64)16-56(55,58)6)54(29,4)10-9-33(52)82-50-46(85-51-45(40(71)37(68)27(19-61)80-51)84-49-43(74)39(70)36(67)26(18-60)79-49)44(83-48-42(73)38(69)35(66)25(17-59)78-48)28(21-76-50)81-47-41(72)34(65)24(63)20-75-47/h22,24-51,59-61,63-74H,7-21,23H2,1-6H3/t24-,25-,26-,27-,28-,29?,30?,31?,32?,33?,34+,35-,36-,37-,38+,39+,40+,41-,42-,43-,44+,45+,46+,47+,48+,49+,50+,51+,53?,54?,55?,56?,57?,58?/m1/s1",MAEBCGDGGATMSC-PORYDUDYSA-N,泽兰
61,苯酚,Phenol,108-95-2,94.0419,C6H6O,,酚酸,OC1=CC=CC=C1,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",ISWSIDIOOBJBQZ-UHFFFAOYSA-N,泽兰
62,山奈酚,Kaempferol,520-18-3,286.0477,C15H10O6,,黄酮,OC1=C(C(C=C2)=CC=C2O)OC3=CC(O)=CC(O)=C3C1=O,"InChI=1S/C15H10O6/c16-8-3-1-7(2-4-8)15-14(20)13(19)12-10(18)5-9(17)6-11(12)21-15/h1-6,16-18,20H",IYRMWMYZSQPJKC-UHFFFAOYSA-N,泽兰
63,巴伦西亚橘烯,valencene, 4630-07-3,204.1878,C15H24,,萜类,C[C@@H]1CCC=C2[C@@]1(C)C[C@H](C(C)=C)CC2,"InChI=1S/C15H24/c1-11(2)13-8-9-14-7-5-6-12(3)15(14,4)10-13/h7,12-13H,1,5-6,8-10H2,2-4H3/t12-,13-,15+/m1/s1",QEBNYNLSCGVZOH-NFAWXSAZSA-N,泽兰
64,β-石竹烯,β-Caryophyllene,87-44-5,204.1878,C15H24,,萜类,CC1(C)[C@@](CC/C(C)=C([H])/CCC2=C)([H])[C@]2([H])C1,"InChI=1S/C15H24/c1-11-6-5-7-12(2)13-10-15(3,4)14(13)9-8-11/h6,13-14H,2,5,7-10H2,1,3-4H3/b11-6+/t13-,14-/m1/s1",NPNUFJAVOOONJE-GFUGXAQUSA-N,泽兰
65,石竹素,Caryophyllene oxide,1139-30-6,220.1827,C15H24O,,萜类,CC1(C)[C@@](CC[C@@]2(C)O[C@]2([H])CCC3=C)([H])[C@]3([H])C1,"InChI=1S/C15H24O/c1-10-5-6-13-15(4,16-13)8-7-12-11(10)9-14(12,2)3/h11-13H,1,5-9H2,2-4H3/t11-,12-,13-,15-/m1/s1",NVEQFIOZRFFVFW-RGCMKSIDSA-N,泽兰
66,β-谷甾醇,β-Sitosterol,83-46-5,413.3783,C29H49O,,三萜,[O]C(C1)CCC2(C)C1=CCC3([H])[C@]2([H])CCC4(C)[C@@]3([H])CC[C@]4([H])[C@H](C)CC[C@@H](CC)C(C)C,"InChI=1S/C29H49O/c1-7-21(19(2)3)9-8-20(4)25-12-13-26-24-11-10-22-18-23(30)14-16-28(22,5)27(24)15-17-29(25,26)6/h10,19-21,23-27H,7-9,11-18H2,1-6H3/t20-,21-,23?,24?,25-,26+,27+,28?,29?/m1/s1",IXJMTIODHWOTSG-YBMRSTNASA-N,泽兰
67,羽扇豆醇,Lupeol,545-47-1,426.3862,C30H50O,,三萜,O[C@@H]1C(C)(C)[C@@]2([H])[C@@](CC1)(C)[C@](CC3)([H])[C@](CC2)(C)[C@@]4(C)[C@@]3([H])[C@]([C@H](C(C)=C)CC5)([H])[C@@]5(C)CC4,"InChI=1S/C30H50O/c1-19(2)20-11-14-27(5)17-18-29(7)21(25(20)27)9-10-23-28(6)15-13-24(31)26(3,4)22(28)12-16-30(23,29)8/h20-25,31H,1,9-18H2,2-8H3/t20-,21+,22-,23+,24-,25+,27+,28-,29+,30+/m0/s1",MQYXUWHLBZFQQO-QGTGJCAVSA-N,泽兰
68,白桦脂醛,Betulin,473-98-3,442.3811,C30H50O2,,三萜,O[C@@H]1C(C)(C)[C@@]2([H])[C@@](CC1)(C)[C@](CC3)([H])[C@](CC2)(C)[C@@]4(C)[C@@]3([H])[C@]([C@H](C(C)=C)CC5)([H])[C@@]5(CO)CC4,"InChI=1S/C30H50O2/c1-19(2)20-10-15-30(18-31)17-16-28(6)21(25(20)30)8-9-23-27(5)13-12-24(32)26(3,4)22(27)11-14-29(23,28)7/h20-25,31-32H,1,8-18H2,2-7H3/t20-,21+,22-,23+,24-,25+,27-,28+,29+,30+/m0/s1",FVWJYYTZTCVBKE-ROUWMTJPSA-N,泽兰
69,蔷薇酸,Euscaphic acid,53155-25-2,488.3502,C30H48O5,,三萜,O[C@H]1C(C)(C)[C@@]2([H])[C@@](C[C@H]1O)(C)[C@]3([H])[C@](CC2)(C)[C@@]4(C)C([C@@]([C@]5(C)O)([H])[C@@](CC[C@H]5C)(C(O[H])=O)CC4)=CC3,"InChI=1S/C30H48O5/c1-17-10-13-30(24(33)34)15-14-27(5)18(22(30)29(17,7)35)8-9-21-26(4)16-19(31)23(32)25(2,3)20(26)11-12-28(21,27)6/h8,17,19-23,31-32,35H,9-16H2,1-7H3,(H,33,34)/t17-,19-,20+,21-,22-,23-,26+,27-,28-,29-,30+/m1/s1",OXVUXGFZHDKYLS-QUFHAEKXSA-N,泽兰
70,反式肉桂酸,Cinnamic acid,140-10-3,148.0524,C9H8O2,,酚酸,OC(/C([H])=C([H])/C1=CC=CC=C1)=O,"InChI=1S/C9H8O2/c10-9(11)7-6-8-4-2-1-3-5-8/h1-7H,(H,10,11)/b7-6+",WBYWAXJHAXSJNI-VOTSOKGWSA-N,泽兰
71,4-羟基-3-甲氧基肉桂酸,Ferulic acid,537-98-4,194.0579,C10H10O4,,酚酸,OC1=C(C=C(/C([H])=C([H])/C(O)=O)C=C1)OC,"InChI=1S/C10H10O4/c1-14-9-6-7(2-4-8(9)11)3-5-10(12)13/h2-6,11H,1H3,(H,12,13)/b5-3+",KSEBMYQBYZTDHS-HWKANZROSA-N,泽兰
72,对羟基苯甲酸,4-hydroxybenzoic acid,99-96-7,138.0317,C7H6O3,,酚酸,OC1=CC=C(C(O)=O)C=C1,"InChI=1S/C7H6O3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H,(H,9,10)",FJKROLUGYXJWQN-UHFFFAOYSA-N,泽兰
73,槲皮素-3-O-β-D吡喃葡萄糖苷,quercetin-3-O-β-D-glucopyranoside,482-35-9,454.0536,C22H14O11,,黄酮,[O][C@H]1[C@H]([O])[C@@H](C[O])C[C@@H](OC2=C(C3=CC([O])=C([O])C=C3)OC(C=C([O])C=C4[O])=C4C2=O)[C@@H]1[O],"InChI=1S/C22H14O11/c23-7-9-4-15(18(29)20(31)17(9)28)33-22-19(30)16-13(27)5-10(24)6-14(16)32-21(22)8-1-2-11(25)12(26)3-8/h1-3,5-6,9,15,17-18,20H,4,7H2/t9-,15-,17-,18+,20+/m1/s1",WPCHBYKTXJDMRH-RWGANMMZSA-N,泽兰
74,精氨酸,Argininic acid,157-07-3,175.0957,C6H13N3O3,,氨基酸,O[C@H](C(O)=O)CCC/N=C(N)/N,"InChI=1S/C6H13N3O3/c7-6(8)9-3-1-2-4(10)5(11)12/h4,10H,1-3H2,(H,11,12)(H4,7,8,9)/t4-/m0/s1",BMFMQGXDDJALKQ-BYPYZUCNSA-N,泽兰
75,脯氨酸,Proline,147-85-3,115.0633,C5H9NO2,,氨基酸,OC([C@H]1NCCC1)=O,"InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)/t4-/m0/s1",ONIBWKKTOPOVIA-BYPYZUCNSA-N,泽兰
76,柯伊利素-7-O-葡萄糖苷,Chrysoeriol-7-O-glucoside,19993-32-9,462.1162,C22H22O11,,黄酮,OC1=C2C(OC(C(C=C3)=CC(OC)=C3O)=CC2=O)=CC(O[C@H]4[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O4)=C1,"InChI=1S/C22H22O11/c1-30-15-4-9(2-3-11(15)24)14-7-13(26)18-12(25)5-10(6-16(18)32-14)31-22-21(29)20(28)19(27)17(8-23)33-22/h2-7,17,19-25,27-29H,8H2,1H3/t17-,19-,20+,21-,22-/m1/s1",GAMYVSCDDLXAQW-MIUGBVLSSA-N,泽兰
77,木犀草素-7-O-葡萄糖苷,Luteolin-7-O-glucoside, 5373-11-5,448.1006,C21H20O11,,黄酮,OC1=C2C(OC(C(C=C3)=CC(O)=C3O)=CC2=O)=CC(O[C@H]4[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O4)=C1,"InChI=1S/C21H20O11/c22-7-16-18(27)19(28)20(29)21(32-16)30-9-4-12(25)17-13(26)6-14(31-15(17)5-9)8-1-2-10(23)11(24)3-8/h1-6,16,18-25,27-29H,7H2/t16-,18-,19+,20-,21-/m1/s1",PEFNSGRTCBGNAN-QNDFHXLGSA-N,泽兰
78,异鼠李素-3-芸香糖苷/水仙苷,Narcissoside,604-80-8,624.169,C28H32O16,,黄酮,O=C1C(O[C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO[C@H]3[C@H](O)[C@@H](O)[C@H](O)[C@@H](C)O3)O2)=C(C(C=C4)=CC(OC)=C4O)OC5=CC(O)=CC(O)=C15,"InChI=1S/C28H32O16/c1-9-18(32)21(35)23(37)27(41-9)40-8-16-19(33)22(36)24(38)28(43-16)44-26-20(34)17-13(31)6-11(29)7-15(17)42-25(26)10-3-4-12(30)14(5-10)39-2/h3-7,9,16,18-19,21-24,27-33,35-38H,8H2,1-2H3/t9-,16-,18-,19-,21+,22+,23-,24-,27-,28+/m1/s1",UIDGLYUNOUKLBM-XKWYXDNCSA-N,泽兰
79,槲皮素-7-O-葡萄糖苷,Quercetin-7-O-beta-D-glucopyranoside,491-50-9,464.0955,C21H20O12,,黄酮,OC1=C(C2=O)C(OC(C(C=C3)=CC(O)=C3O)=C2O)=CC(O[C@H]4[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O4)=C1,"InChI=1S/C21H20O12/c22-6-13-15(26)17(28)19(30)21(33-13)31-8-4-11(25)14-12(5-8)32-20(18(29)16(14)27)7-1-2-9(23)10(24)3-7/h1-5,13,15,17,19,21-26,28-30H,6H2/t13-,15-,17+,19-,21-/m1/s1",BBFYUPYFXSSMNV-HMGRVEAOSA-N,泽兰
