编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,化合物种类,smiles,inchi,inchikey,药材名称
11,芹菜苷,Apiin,26544-34-3,564.1479,C26H28O14,,黄酮,O=C1C2=C(O)C=C(O[C@H]3O[C@H]([C@@H]([C@H](C3OC4[C@@H]([C@](O)(CO4)CO)O)O)O)CO)C=C2OC(C5=CC=C(C=C5)O)=C1,"InChI=1S/C26H28O14/c27-8-18-20(32)21(33)22(40-25-23(34)26(35,9-28)10-36-25)24(39-18)37-13-5-14(30)19-15(31)7-16(38-17(19)6-13)11-1-3-12(29)4-2-11/h1-7,18,20-25,27-30,32-35H,8-10H2/t18-,20-,21+,22?,23-,24-,25?,26+/m0/s1",NTDLXWMIWOECHG-GQHXANELSA-N,泽兰
12,木犀草素-7-O-β-D葡萄糖苷,Luteolin-7-O-β-D-glucuronide,29741-10-4,478.1111,C22H22O12,,黄酮,OC1=C(O)C=C(C(OC2=CC(O[C@H]3[C@H](O)[C@@H](O)[C@H](O)[C@@H](C(O)=O)O3)=CC(O)=C24)=CC4=O)C=C1.C,"InChI=1S/C21H18O12.CH4/c22-9-2-1-7(3-10(9)23)13-6-12(25)15-11(24)4-8(5-14(15)32-13)31-21-18(28)16(26)17(27)19(33-21)20(29)30;/h1-6,16-19,21-24,26-28H,(H,29,30);1H4/t16-,17-,18+,19-,21+;/m0./s1",JFMIIMARVNLFFA-ZSESPEEFSA-N,泽兰
13,7，3′，4′-三羟基黄酮,"7,3',4'-Trihydroxyflavone",2150-11-0,270.0528,C15H10O5,,黄酮,OC1=CC=C(C(C=C(C2=CC(O)=C(O)C=C2)O3)=O)C3=C1,"InChI=1S/C15H10O5/c16-9-2-3-10-12(18)7-14(20-15(10)6-9)8-1-4-11(17)13(19)5-8/h1-7,16-17,19H",PVFGJHYLIHMCQD-UHFFFAOYSA-N,泽兰
14,金圣草黄素,Chrysoeriol,491-71-4,300.0634,C16H12O6,,黄酮,OC1=C2C(OC(C(C=C3)=CC(OC)=C3O)=CC2=O)=CC(O)=C1,"InChI=1S/C16H12O6/c1-21-14-4-8(2-3-10(14)18)13-7-12(20)16-11(19)5-9(17)6-15(16)22-13/h2-7,17-19H,1H3",SCZVLDHREVKTSH-UHFFFAOYSA-N,泽兰
15,木犀草素,Luteolin,491-70-3,286.0477,C15H10O6,,黄酮,OC1=C2C(OC(C(C=C3)=CC(O)=C3O)=CC2=O)=CC(O)=C1,"InChI=1S/C15H10O6/c16-8-4-11(19)15-12(20)6-13(21-14(15)5-8)7-1-2-9(17)10(18)3-7/h1-6,16-19H",IQPNAANSBPBGFQ-UHFFFAOYSA-N,泽兰
16,槲皮素,Quercetin,117-39-5,302.0427,C15H10O7,,黄酮,OC1=C(C(C=C2)=CC(O)=C2O)OC3=CC(O)=CC(O)=C3C1=O,"InChI=1S/C15H10O7/c16-7-4-10(19)12-11(5-7)22-15(14(21)13(12)20)6-1-2-8(17)9(18)3-6/h1-5,16-19,21H",REFJWTPEDVJJIY-UHFFFAOYSA-N,泽兰
17,芦丁/芸香苷,Rutin,153-18-4,610.1534,C27H30O16,,黄酮,O=C1C(O[C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO[C@H]3[C@H](O)[C@@H](O)[C@H](O)[C@@H](C)O3)O2)=C(C(C=C4)=CC(O)=C4O)OC5=CC(O)=CC(O)=C15,"InChI=1S/C27H30O16/c1-8-17(32)20(35)22(37)26(40-8)39-7-15-18(33)21(36)23(38)27(42-15)43-25-19(34)16-13(31)5-10(28)6-14(16)41-24(25)9-2-3-11(29)12(30)4-9/h2-6,8,15,17-18,20-23,26-33,35-38H,7H2,1H3/t8-,15-,17-,18-,20+,21+,22-,23-,26-,27+/m1/s1",IKGXIBQEEMLURG-QTJCIXRVSA-N,泽兰
18,芹菜素,Apigenin,520-36-5,270.0528,C15H10O5,,黄酮,OC1=C2C(OC(C(C=C3)=CC=C3O)=CC2=O)=CC(O)=C1,"InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-7,16-18H",KZNIFHPLKGYRTM-UHFFFAOYSA-N,泽兰
19,金合欢素,Acacetin,480-44-4,284.0685,C16H12O5,,黄酮,OC1=C2C(OC(C(C=C3)=CC=C3OC)=CC2=O)=CC(O)=C1,"InChI=1S/C16H12O5/c1-20-11-4-2-9(3-5-11)14-8-13(19)16-12(18)6-10(17)7-15(16)21-14/h2-8,17-18H,1H3",DANYIYRPLHHOCZ-UHFFFAOYSA-N,泽兰
20,野黄芩苷,Scutellarin,27740-01-8,462.08,C21H18O12,,黄酮,OC1=C(C=C(C2=C1O)OC(C(C=C3)=CC=C3O)=CC2=O)O[C@H]4[C@H](O)[C@@H](O)[C@H](O)[C@@H](C(O)=O)O4,"InChI=1S/C21H18O12/c22-8-3-1-7(2-4-8)10-5-9(23)13-11(31-10)6-12(14(24)15(13)25)32-21-18(28)16(26)17(27)19(33-21)20(29)30/h1-6,16-19,21-22,24-28H,(H,29,30)/t16-,17-,18+,19-,21+/m0/s1",DJSISFGPUUYILV-ZFORQUDYSA-N,泽兰
21,高车前素,Hispidulin,1447-88-7,300.0634,C16H12O6,,黄酮,OC(C1=C(C=C2O)OC(C(C=C3)=CC=C3O)=CC1=O)=C2OC,"InChI=1S/C16H12O6/c1-21-16-11(19)7-13-14(15(16)20)10(18)6-12(22-13)8-2-4-9(17)5-3-8/h2-7,17,19-20H,1H3",IHFBPDAQLQOCBX-UHFFFAOYSA-N,泽兰
22,原儿茶醛,"3,4-Dihydroxybenzaldehyde",139-85-5,138.0317,C7H6O3,,挥发油,OC1=CC=C(C=O)C=C1O,"InChI=1S/C7H6O3/c8-4-5-1-2-6(9)7(10)3-5/h1-4,9-10H",IBGBGRVKPALMCQ-UHFFFAOYSA-N,泽兰
23,原儿茶酸,protocatechuic acid,99-50-3,154.0266,C7H6O4,,酚酸,OC1=CC(C(O)=O)=CC=C1O,"InChI=1S/C7H6O4/c8-5-2-1-4(7(10)11)3-6(5)9/h1-3,8-9H,(H,10,11)",YQUVCSBJEUQKSH-UHFFFAOYSA-N,泽兰
24,咖啡酸,Caffeic acid,331-39-5,180.0423,C9H8O4,,酚酸,OC1=CC(/C=C/C(O)=O)=CC=C1O,"InChI=1S/C9H8O4/c10-7-3-1-6(5-8(7)11)2-4-9(12)13/h1-5,10-11H,(H,12,13)/b4-2+",QAIPRVGONGVQAS-DUXPYHPUSA-N,泽兰
25,迷迭香酸,Rosmarinic acid,20283-92-5,358.1053,C19H18O7,,酚酸,OC1=C(O)C=C(/C=C/C(OC(C(C)=O)CC2=CC(O)=C(O)C=C2)=O)C=C1,"InChI=1S/C19H18O7/c1-11(20)18(10-13-3-6-15(22)17(24)9-13)26-19(25)7-4-12-2-5-14(21)16(23)8-12/h2-9,18,21-24H,10H2,1H3/b7-4+",GYNMEKJCHZGVKW-QPJJXVBHSA-N,泽兰
26,迷迭香酸甲酯,Methyl rosmarinate,99353-00-1,374.1002,C19H18O8,,挥发油,OC1=C(O)C=C(/C=C/C(OC(C(OC)=O)CC2=CC(O)=C(O)C=C2)=O)C=C1,"InChI=1S/C19H18O8/c1-26-19(25)17(10-12-3-6-14(21)16(23)9-12)27-18(24)7-4-11-2-5-13(20)15(22)8-11/h2-9,17,20-23H,10H2,1H3/b7-4+",XHALVRQBZGZHFE-QPJJXVBHSA-N,泽兰
27,迷迭香酸乙酯,Ethyl rosmarinate,174591-47-0,388.1158,C20H20O8,,挥发油,O=C([C@@H](CC(C=C1)=CC(O)=C1O)OC(/C([H])=C([H])/C(C=C2)=CC(O)=C2O)=O)OCC,"InChI=1S/C20H20O8/c1-2-27-20(26)18(11-13-4-7-15(22)17(24)10-13)28-19(25)8-5-12-3-6-14(21)16(23)9-12/h3-10,18,21-24H,2,11H2,1H3/b8-5+/t18-/m1/s1",ROJRNQOAUDCMES-KRZKXXONSA-N,泽兰
28,溶解性酸A,Lycopic acid A,1331784-38-3,718.1534,C36H30O16,,酚酸,OC1=C(O)C=CC(CC(C(O)=O)OC(/C([H])=C([H])/C2=CC3=C(OC(C4=CC(O)=C(O)C=C4)C(C(OC(C(O)=O)CC5=CC(O)=C(O)C=C5)=O)O3)C=C2)=O)=C1,"InChI=1S/C36H30O16/c37-21-6-1-18(11-24(21)40)14-29(34(44)45)49-31(43)10-4-17-3-9-27-28(13-17)51-33(32(50-27)20-5-8-23(39)26(42)16-20)36(48)52-30(35(46)47)15-19-2-7-22(38)25(41)12-19/h1-13,16,29-30,32-33,37-42H,14-15H2,(H,44,45)(H,46,47)/b10-4+",MJKIULPREOUSIK-ONNFQVAWSA-N,泽兰
