编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,化合物类别,smiles,inchi,inchikey,药材名称
JX-013,北美圣草素,eriodictyol,552-58-9,288.252,C15H12O6,,黄酮,O=C1C[C@@H](C(C=C2)=CC(O)=C2O)OC3=CC(O)=CC(O)=C13,"InChI=1S/C15H12O6/c16-8-4-11(19)15-12(20)6-13(21-14(15)5-8)7-1-2-9(17)10(18)3-7/h1-5,13,16-19H,6H2/t13-/m0/s1",SBHXYTNGIZCORC-ZDUSSCGKSA-N,降香
JX-014,松属素,pinocembrin,480-39-7,256.253,C15H12O4,,黄酮,O=C1C[C@@H](C2=CC=CC=C2)OC3=CC(O)=CC(O)=C13,"InChI=1S/C15H12O4/c16-10-6-11(17)15-12(18)8-13(19-14(15)7-10)9-4-2-1-3-5-9/h1-7,13,16-17H,8H2/t13-/m0/s1",URFCJEUYXNAHFI-ZDUSSCGKSA-N,降香
JX-015,甘草素,liquiritigenin,578-86-9,256.253,C15H12O4,,黄酮,O=C1C[C@@H](C(C=C2)=CC=C2O)OC3=C1C=CC(O)=C3,"InChI=1S/C15H12O4/c16-10-3-1-9(2-4-10)14-8-13(18)12-6-5-11(17)7-15(12)19-14/h1-7,14,16-17H,8H2/t14-/m0/s1",FURUXTVZLHCCNA-AWEZNQCLSA-N,降香
JX-016,"7,3?,5?-三羟基黄烷酮","7,3?,5?-trihydroxyflavanone",/,272.253,C15H12O5,,黄酮,O=C1C[C@@H](C2=CC(O)=CC(O)=C2)OC3=C1C=CC(O)=C3,"InChI=1S/C15H12O5/c16-9-1-2-12-13(19)7-14(20-15(12)6-9)8-3-10(17)5-11(18)4-8/h1-6,14,16-18H,7H2/t14-/m0/s1",OVSYWZXDPOVKQU-AWEZNQCLSA-N,降香
JX-017,紫铆素,butin,492-14-8,272.253,C15H12O5,,黄酮,O=C1C[C@@H](C(C=C2)=CC(O)=C2O)OC3=C1C=CC(O)=C3,"InChI=1S/C15H12O5/c16-9-2-3-10-12(18)7-14(20-15(10)6-9)8-1-4-11(17)13(19)5-8/h1-6,14,16-17,19H,7H2/t14-/m0/s1",MJBPUQUGJNAPAZ-AWEZNQCLSA-N,降香
JX-018,"3?,4?,7-三羟基二氢黄酮","3?,4?,7-trihydroxyflavanone",/,272.253,C15H12O5,,黄酮,O=C1CC(C(C=C2)=CC(O)=C2O)OC3=C1C=CC(O)=C3,"InChI=1S/C15H12O5/c16-9-2-3-10-12(18)7-14(20-15(10)6-9)8-1-4-11(17)13(19)5-8/h1-6,14,16-17,19H,7H2",MJBPUQUGJNAPAZ-UHFFFAOYSA-N,降香
JX-019,"6,4?-二羟基-7-甲氧基二氢黄酮","6,4?-dihydroxy-7-methoxyflavanone",189689-32-5,286.28,C16H14O5,,黄酮,O=C(C1=C2)C[C@@H](C(C=C3)=CC=C3O)OC1=CC(OC)=C2O,"InChI=1S/C16H14O5/c1-20-16-8-15-11(6-13(16)19)12(18)7-14(21-15)9-2-4-10(17)5-3-9/h2-6,8,14,17,19H,7H2,1H3/t14-/m0/s1",XQZKTABHCQFBQV-AWEZNQCLSA-N,降香
JX-020,"6,7,4?-三羟基二氢黄酮","6,7,4?-trihydroxyflavanone",189689-31-4,272.253,C15H12O5,,黄酮,O=C(C1=C2)CC(C(C=C3)=CC=C3O)OC1=CC(O)=C2O,"InChI=1S/C15H12O5/c16-9-3-1-8(2-4-9)14-6-11(17)10-5-12(18)13(19)7-15(10)20-14/h1-5,7,14,16,18-19H,6H2",UABMFOBSIHSWFQ-UHFFFAOYSA-N,降香
JX-021,(2S)-球松素,(2S)-pinostrobin,/,270.28,C16H14O4,,黄酮,OC1C[C@@H](C2=CC=CC=C2)OC3=CC(OC)=CC(O)=C13,"InChI=1S/C16H16O4/c1-19-11-7-12(17)16-13(18)9-14(20-15(16)8-11)10-5-3-2-4-6-10/h2-8,13-14,17-18H,9H2,1H3/t13?,14-/m0/s1",HOLBGAKYQDKONU-KZUDCZAMSA-N,降香
JX-022,"(2S)-3?,5,5?,7-四羟基黄烷酮","(2S)-3?,5,5?,7-tetrahydroxyflavanone",/,288.253,C15H12O6,,黄酮,OC1C[C@@H](C2=CC=CC=C2)OC3=CC(OC)=CC(O)=C13,"InChI=1S/C16H16O4/c1-19-11-7-12(17)16-13(18)9-14(20-15(16)8-11)10-5-3-2-4-6-10/h2-8,13-14,17-18H,9H2,1H3/t13?,14-/m0/s1",HOLBGAKYQDKONU-KZUDCZAMSA-N,降香
JX-023,"(2S)-7-甲氧基-4?,6-二羟基黄烷酮","(2S)-7-methoxy-4?,6-dihydroxyflavanone",/,286.28,C16H14O5,,黄酮,O=C1C[C@@H](C2=CC=C(O)C=C2)OC3=CC(OC)=C(O)C=C31,"InChI=1S/C16H14O5/c1-20-16-8-15-11(6-13(16)19)12(18)7-14(21-15)9-2-4-10(17)5-3-9/h2-6,8,14,17,19H,7H2,1H3/t14-/m0/s1",XQZKTABHCQFBQV-AWEZNQCLSA-N,降香
JX-024,(2S)-甘草素,(2S)-liquiritigenin,/,256.25,C15H12O4,,黄酮,O=C1C[C@@H]([C@@H](C=C2)CC=C2O)OC3=C1C=CC(O)=C3,"InChI=1S/C15H14O4/c16-10-3-1-9(2-4-10)14-8-13(18)12-6-5-11(17)7-15(12)19-14/h1,3-7,9,14,16-17H,2,8H2/t9-,14-/m0/s1",GEHYUFHVNDVGRV-XPTSAGLGSA-N,降香
JX-025,"3?,4?,5,7-四羟基黄烷酮 ",eriodictoyl,/,288.253,C15H12O6,,黄酮,O=C1CC(C2=CC=C(O)C(O)=C2)OC3=C(O)C=CC(O)=C31,"InChI=1S/C15H12O6/c16-8-2-1-7(5-11(8)19)13-6-12(20)14-9(17)3-4-10(18)15(14)21-13/h1-5,13,16-19H,6H2",XNULSMHZIKEJSR-UHFFFAOYSA-N,降香
JX-026,鲍迪木醌 ,bowdichione,53774-75-7,298.247,C16H10O6,,黄酮,O=C1C(C(C(C=C2OC)=O)=CC2=O)=COC3=C1C=CC(O)=C3,"InChI=1S/C16H10O6/c1-21-15-6-12(18)10(5-13(15)19)11-7-22-14-4-8(17)2-3-9(14)16(11)20/h2-7,17H,1H3",GCAIEHBYLQNGAF-UHFFFAOYSA-N,降香
JX-027,芒柄花素 ,formononetin,485-72-3,268.26,C16H12O4,,黄酮,O=C1C(C(C=C2)=CC=C2OC)=COC3=C1C=CC(O)=C3,"InChI=1S/C16H12O4/c1-19-12-5-2-10(3-6-12)14-9-20-15-8-11(17)4-7-13(15)16(14)18/h2-9,17H,1H3",HKQYGTCOTHHOMP-UHFFFAOYSA-N,降香
JX-028,3?-羟基大豆苷元,3?-hydroxydaidzein,/,256.253,C15H12O4,,黄酮,O=C1C(C(C=C2)=CC(O)=C2O)=COC3=C1C=CC(O)=C3,"InChI=1S/C15H10O5/c16-9-2-3-10-14(6-9)20-7-11(15(10)19)8-1-4-12(17)13(18)5-8/h1-7,16-18H",DDKGKOOLFLYZDL-UHFFFAOYSA-N,降香
JX-029,甜菜碱 ,sativanone,51106-84-4,300.306,C17H16O5,,黄酮,O=C1C(C(C=CC(OC)=C2)=C2OC)COC3=C1C=CC(O)=C3,"InChI=1S/C17H16O5/c1-20-11-4-6-12(15(8-11)21-2)14-9-22-16-7-10(18)3-5-13(16)17(14)19/h3-8,14,18H,9H2,1-2H3",JOVYBWHPTQRVNZ-UHFFFAOYSA-N,降香
JX-030,染料木素 ,genistein,446-72-0,270.237,C15H10O5,,黄酮,OC1=C2C(OC=C(C(C=C3)=CC=C3O)C2=O)=CC(O)=C1,"InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)11-7-20-13-6-10(17)5-12(18)14(13)15(11)19/h1-7,16-18H",TZBJGXHYKVUXJN-UHFFFAOYSA-N,降香
JX-031,大豆素 ,daidzein,486-66-8,254.238,C15H10O4,,黄酮,OC1=C2C(OC=C(C(C=C3)=CC=C3O)C2=O)=CC(O)=C1,"InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)11-7-20-13-6-10(17)5-12(18)14(13)15(11)19/h1-7,16-18H",TZBJGXHYKVUXJN-UHFFFAOYSA-N,降香
JX-032,"2?,3?,7-三羟基-4?-甲氧基异黄酮 ",koparin,65048-75-1,300.263,C16H12O6,,黄酮,OC1=C(C=CC(OC)=C1O)C2=COC3=C(C=CC(O)=C3)C2=O,"InChI=1S/C16H12O6/c1-21-12-5-4-9(15(19)16(12)20)11-7-22-13-6-8(17)2-3-10(13)14(11)18/h2-7,17,19-20H,1H3",SMOFGXHPWCTYQD-UHFFFAOYSA-N,降香
JX-033,"2?,7-二羟基-4?,5?-二甲氧基异黄酮 ","2?,7-dihydroxy-4?,5?-dimethoxyisoflavone",/,314.29,C17H14O6,,黄酮,OC(C(C1=COC2=C(C=CC(O)=C2)C1=O)=C3)=CC(OC)=C3OC,"InChI=1S/C17H14O6/c1-21-15-6-11(13(19)7-16(15)22-2)12-8-23-14-5-9(18)3-4-10(14)17(12)20/h3-8,18-19H,1-2H3",UYOJEKMKWXYOEQ-UHFFFAOYSA-N,降香
JX-034,2?-甲氧基芒柄花素, 2?-methoxyformononetin ,/,298.29,C17H14O5,,黄酮,,,,降香
JX-035,3?-甲氧基大豆黄素 , 3?-methoxydaidzein ,21913-98-4,284.26,C16H12O5,,黄酮,O=C1C(C(C=C2)=CC(OC)=C2O)=COC3=C1C=CC(O)=C3,"InChI=1S/C16H12O5/c1-20-15-6-9(2-5-13(15)18)12-8-21-14-7-10(17)3-4-11(14)16(12)19/h2-8,17-18H,1H3",MUYAUELJBWQNDH-UHFFFAOYSA-N,降香
JX-036,,olibergin A,/,330.29,C17H14O7,,黄酮,O=C1C(C(C(OC)=C2)=CC(OC)=C2O)=COC3=CC(O)=CC(O)=C13,"InChI=1S/C17H14O7/c1-22-13-6-11(19)14(23-2)5-9(13)10-7-24-15-4-8(18)3-12(20)16(15)17(10)21/h3-7,18-20H,1-2H3",GQGAUUMVOCWEFW-UHFFFAOYSA-N,降香
JX-037,樱黄素 , prunetin ,552-59-0,284.26,C16H12O5,,黄酮,OC1=C2C(OC=C(C(C=C3)=CC=C3O)C2=O)=CC(OC)=C1,"InChI=1S/C16H12O5/c1-20-11-6-13(18)15-14(7-11)21-8-12(16(15)19)9-2-4-10(17)5-3-9/h2-8,17-18H,1H3",KQMVAGISDHMXJJ-UHFFFAOYSA-N,降香
JX-038,鸢尾黄素 , tectorigenin ,548-77-6,300.263,C16H12O6,,黄酮,OC(C1=C(C=C2O)OC=C(C(C=C3)=CC=C3O)C1=O)=C2OC,"InChI=1S/C16H12O6/c1-21-16-11(18)6-12-13(15(16)20)14(19)10(7-22-12)8-2-4-9(17)5-3-8/h2-7,17-18,20H,1H3",OBBCRPUNCUPUOS-UHFFFAOYSA-N,降香
JX-039,"7,3?-二羟基-5?-甲氧基异黄酮 "," 7,3?-dihydroxy-5?-methoxyisoflavone ",/,284.26,C16H12O5,,黄酮,O=C1C(C2=CC(O)=CC(OC)=C2)=COC3=C1C=CC(O)=C3,"InChI=1S/C16H12O5/c1-20-12-5-9(4-11(18)6-12)14-8-21-15-7-10(17)2-3-13(15)16(14)19/h2-8,17-18H,1H3",CJAXVEMKKDGDQM-UHFFFAOYSA-N,降香
JX-040,"(3R)-4?-甲氧基-2?,3,7-三羟基二氢异黄酮"," (3R)-4?-methoxy-2?,3,7-trihydroxyisoflavanone ",/,302.28,C16H14O6,,黄酮,O[C@]1(C(C=CC(OC)=C2)=C2O)COC3=C(C=CC(O)=C3)C1=O,"InChI=1S/C16H14O6/c1-21-10-3-5-12(13(18)7-10)16(20)8-22-14-6-9(17)2-4-11(14)15(16)19/h2-7,17-18,20H,8H2,1H3/t16-/m0/s1",KZBMBIHZXUQFOR-INIZCTEOSA-N,降香
JX-041,3?-甲氧基大豆苷 , 3?-methoxydaidzin ,200127-80-6,446.404,C22H22O10,,糖苷,,,,降香
JX-042,"2?,3?,7-三羟基-4?-甲氧基异黄烷酮 ","2?,3?,7-trihydroxy-4?-methoxyisoflavone ",/,302.279,C19H20O7,,黄酮,OC1=CC2=C(C(C(C3=CC=C(OC)C(O)=C3O)CO2)=O)C=C1,"InChI=1S/C16H14O6/c1-21-12-5-4-9(15(19)16(12)20)11-7-22-13-6-8(17)2-3-10(13)14(11)18/h2-6,11,17,19-20H,7H2,1H3",DIBYNSQDXNQPSM-UHFFFAOYSA-N,降香
JX-043,"2?,4?,5-三羟基-7-甲氧基异黄烷酮 "," 2?,4?,5-trihydroxy-7-methoxyisoflavone ",/,302.28,C16H14O6,,黄酮,OC1=CC(O)=CC=C1C(CO2)C(C3=C2C=C(OC)C=C3O)=O,"InChI=1S/C16H14O6/c1-21-9-5-13(19)15-14(6-9)22-7-11(16(15)20)10-3-2-8(17)4-12(10)18/h2-6,11,17-19H,7H2,1H3",LLXBBFVLYUDUAP-UHFFFAOYSA-N,降香
JX-044,2?-O-甲基刺芒柄花素 , 2?-O-methylformononetin ,/,298.08,C17H14O5,,黄酮,OC1=CC=C2C(OC=C(C3=CC=C(OC)C=C3OC)C2=O)=C1,"InChI=1S/C17H14O5/c1-20-11-4-6-12(15(8-11)21-2)14-9-22-16-7-10(18)3-5-13(16)17(14)19/h3-9,18H,1-2H3",SSRCYGATNWFTBJ-UHFFFAOYSA-N,降香
JX-045,"3?,4?,5,7-四羟基异黄酮 ", orobol ,480-23-9,286.236,C15H10O6,,黄酮,OC1=C2C(OC=C(C(C=C3)=CC(O)=C3O)C2=O)=CC(O)=C1,"InChI=1S/C15H10O6/c16-8-4-12(19)14-13(5-8)21-6-9(15(14)20)7-1-2-10(17)11(18)3-7/h1-6,16-19H",IOYHCQBYQJQBSK-UHFFFAOYSA-N,降香
JX-046,鹰嘴豆芽素 , biochanin A ,491-80-5,284.263,C16H12O5,,黄酮,OC1=C2C(OC=C(C(C=C3)=CC=C3OC)C2=O)=CC(O)=C1,"InChI=1S/C16H12O5/c1-20-11-4-2-9(3-5-11)12-8-21-14-7-10(17)6-13(18)15(14)16(12)19/h2-8,17-18H,1H3",WUADCCWRTIWANL-UHFFFAOYSA-N,降香
JX-047,,(3R)-calussequinone,/,286.28,C16H14O5,,黄酮,OC1=CC2=C(C=C1)C[C@H](C(C(C=C3OC)=O)=CC3=O)CO2,"InChI=1S/C16H14O5/c1-20-16-7-13(18)12(6-14(16)19)10-4-9-2-3-11(17)5-15(9)21-8-10/h2-3,5-7,10,17H,4,8H2,1H3/t10-/m0/s1",PDAKXMIQFUHWQC-JTQLQIEISA-N,降香
JX-048,毛蕊异黄酮 , calycosin ,20575-57-9,284.263,C16H12O5,,黄酮,OC1=CC2=C(C=C1)C[C@H](C(C(C=C3OC)=O)=CC3=O)CO2,"InChI=1S/C16H14O5/c1-20-16-7-13(18)12(6-14(16)19)10-4-9-2-3-11(17)5-15(9)21-8-10/h2-3,5-7,10,17H,4,8H2,1H3/t10-/m0/s1",PDAKXMIQFUHWQC-JTQLQIEISA-N,降香
JX-049,紫苜蓿酮, (3R)-sativanone ,/,300.3,C17H16O5,,黄酮,O=C1[C@@](C(C=CC(OC)=C2)=C2OC)([H])COC3=C1C=CC(O)=C3,"InChI=1S/C17H16O5/c1-20-11-4-6-12(15(8-11)21-2)14-9-22-16-7-10(18)3-5-13(16)17(14)19/h3-8,14,18H,9H2,1-2H3/t14-/m0/s1",JOVYBWHPTQRVNZ-AWEZNQCLSA-N,降香
JX-050,"2?,3?,7-三羟基-4?-甲氧基异黄烷酮 "," 2?,3?,7-trihydroxy-4?-methoxyisoflavanone ",/,302.28,C16H14O6,,黄酮,O=C1C(C(C=CC(OC)=C2O)=C2O)COC3=C1C=CC(O)=C3,"InChI=1S/C16H14O6/c1-21-12-5-4-9(15(19)16(12)20)11-7-22-13-6-8(17)2-3-10(13)14(11)18/h2-6,11,17,19-20H,7H2,1H3",DIBYNSQDXNQPSM-UHFFFAOYSA-N,降香
JX-051,"(3R)-4?-甲氧基-2?,3?,7-三羟基二氢异黄酮"," (3R)-4?-methoxy-2?,3?,7-trihydroxyisoflavanone ",/,302.28,C16H14O6,,黄酮,O=C1C(C(C=CC(OC)=C2O)=C2O)COC3=C1C=CC(O)=C3,"InChI=1S/C16H14O6/c1-21-12-5-4-9(15(19)16(12)20)11-7-22-13-6-8(17)2-3-10(13)14(11)18/h2-6,11,17,19-20H,7H2,1H3",DIBYNSQDXNQPSM-UHFFFAOYSA-N,降香
JX-052,"(3S)-2?,4?-二甲氧基-3,7-二羟基异黄烷酮"," (3S)-2?,4?-dime-thoxy-3,7-dihydroxyisoflavanone ",/,316.3,C17H16O6,,黄酮,O=C1C(C2=CC=C(OC)C=C2OC)(O)COC3=C1C=CC(O)=C3,"InChI=1S/C17H16O6/c1-21-11-4-6-13(15(8-11)22-2)17(20)9-23-14-7-10(18)3-5-12(14)16(17)19/h3-8,18,20H,9H2,1-2H3",ITWVCZGLHWNQIQ-UHFFFAOYSA-N,降香
JX-053,(3R)-3?-O-甲基紫罗兰酮, (3R)-3?-O-methylviolanone ,/,330.3,C18H18O6,,黄酮,O=C1[C@@](C(C=CC(OC)=C2OC)=C2OC)([H])COC3=C1C=CC(O)=C3,"InChI=1S/C18H18O6/c1-21-14-7-6-11(17(22-2)18(14)23-3)13-9-24-15-8-10(19)4-5-12(15)16(13)20/h4-8,13,19H,9H2,1-3H3/t13-/m0/s1",IFIRIIBDWLSFFH-ZDUSSCGKSA-N,降香
JX-054,(3R)-紫罗兰酮, (3R)-violanone ,/,316.3,C17H16O6,,黄酮,O=C1[C@@](C(C=CC(OC)=C2O)=C2OC)([H])COC3=C1C=CC(O)=C3,"InChI=1S/C17H16O6/c1-21-13-6-5-10(17(22-2)16(13)20)12-8-23-14-7-9(18)3-4-11(14)15(12)19/h3-7,12,18,20H,8H2,1-2H3/t12-/m0/s1",ILOKNKKFXJKHMB-LBPRGKRZSA-N,降香
JX-055,"7,2?,4?-三甲氧基二氢异黄酮 "," 7,2?,4?-trimethoxydihydroisoflavone ",/,346.3,C18H18O5 ,,黄酮,O=C(C(C1=CC=C(OC)C=C1OC)CO2)C3=C2C=C(OC)C=C3,"InChI=1S/C18H18O5/c1-20-11-4-6-13(16(8-11)22-3)15-10-23-17-9-12(21-2)5-7-14(17)18(15)19/h4-9,15H,10H2,1-3H3",WYWPOEMDEKOOCD-UHFFFAOYSA-N,降香
JX-056,"(3S)-2?,4?,5?-三甲氧基-7-羟基异黄烷酮"," (3S)-2?,4?,5?-trimethoxy-7-hydroxyisoflavanone ",/,330.34,C18H18O6,,黄酮,OC1=CC2=C(C(C(C3=CC(OC)=C(OC)C=C3OC)CO2)=O)C=C1,"InChI=1S/C18H18O6/c1-21-14-8-17(23-3)16(22-2)7-12(14)13-9-24-15-6-10(19)4-5-11(15)18(13)20/h4-8,13,19H,9H2,1-3H3",NBWNNMPJMTYRRO-UHFFFAOYSA-N,降香
JX-057,"5,7-二羟基-4?-甲氧基异黄烷酮 "," 5,7-dihydroxy-4?-methoxyisoflavanone ",/,286.263,C16H14O5,,黄酮,OC1=CC2=C(C(C(C3=CC=C(OC)C=C3)CO2)=O)C(O)=C1,"InChI=1S/C16H14O5/c1-20-11-4-2-9(3-5-11)12-8-21-14-7-10(17)6-13(18)15(14)16(12)19/h2-7,12,17-18H,8H2,1H3",XPZQBSCTDLGDBP-UHFFFAOYSA-N,降香
JX-058,"5,7-二羟基-2?,4?-二甲氧基异黄烷酮 "," 5,7-dihydroxy-2?,4?-dimethoxyisoflavanone ",/,316.3,C17H16O6,,黄酮,O=C1C(C(C=CC(OC)=C2)=C2OC)COC3=CC(O)=CC(O)=C13,"InChI=1S/C17H16O6/c1-21-10-3-4-11(14(7-10)22-2)12-8-23-15-6-9(18)5-13(19)16(15)17(12)20/h3-7,12,18-19H,8H2,1-2H3",LMLDNMHDNFCNCW-UHFFFAOYSA-N,降香
JX-059,"5,7-二羟基-2?,3?,4?-三甲氧基异黄烷酮 "," 5,7-dihydroxy-2?,3?,4?-trimethoxyisoflavanone ",/,346.3,C18H18O7,,黄酮,O=C1C(C(C=CC(OC)=C2OC)=C2OC)COC3=CC(O)=CC(O)=C13,"InChI=1S/C18H18O7/c1-22-13-5-4-10(17(23-2)18(13)24-3)11-8-25-14-7-9(19)6-12(20)15(14)16(11)21/h4-7,11,19-20H,8H2,1-3H3",AWVBLGIHLGQXOY-UHFFFAOYSA-N,降香
JX-060,"7-甲氧基-3?,4?-二甲氧基异黄烷酮 "," 7-methoxy-3?,4?-dimethoxyisoflavanone ",/,314.34,C18H18O5 ,,黄酮,O=C(C(C1=CC=C(OC)C(OC)=C1)CO2)C3=C2C=C(OC)C=C3,"InChI=1S/C18H18O5/c1-20-12-5-6-13-16(9-12)23-10-14(18(13)19)11-4-7-15(21-2)17(8-11)22-3/h4-9,14H,10H2,1-3H3",LVMVNKBNAUPSGR-UHFFFAOYSA-N,降香
JX-061,"3,7-二羟基-2?,4?-二甲氧基异黄烷酮 "," 3,7-dihydroxy-2?,4?-dimethoxyisoflavanone ",/,316.31,C17H16O6,,黄酮,OC1=CC2=C(C(C(C3=CC=C(OC)C=C3OC)(O)CO2)=O)C=C1,"InChI=1S/C17H16O6/c1-21-11-4-6-13(15(8-11)22-2)17(20)9-23-14-7-10(18)3-5-12(14)16(17)19/h3-8,18,20H,9H2,1-2H3",ITWVCZGLHWNQIQ-UHFFFAOYSA-N,降香
JX-062,3?-O-甲基紫罗兰酮 , 3?-O-methylviolanone ,56973-42-3,330.3,C18H18O6,,黄酮,O=C1C(C(C=CC(OC)=C2OC)=C2OC)COC3=C1C=CC(O)=C3,"InChI=1S/C18H18O6/c1-21-14-7-6-11(17(22-2)18(14)23-3)13-9-24-15-8-10(19)4-5-12(15)16(13)20/h4-8,13,19H,9H2,1-3H3",IFIRIIBDWLSFFH-UHFFFAOYSA-N,降香
JX-063,"3,7-二甲氧基-2?,4?-二羟基异黄烷酮 "," 3,7-dimethoxy-2?,4?-dihydroxy-isoflavanone ",/,316.3,C17H16O6,,黄酮,O=C(C(C1=CC=C(O)C=C1O)(OC)CO2)C3=C2C=C(OC)C=C3,"InChI=1S/C17H16O6/c1-21-11-4-5-12-15(8-11)23-9-17(22-2,16(12)20)13-6-3-10(18)7-14(13)19/h3-8,18-19H,9H2,1-2H3",MECAQDBSHNYXDU-UHFFFAOYSA-N,降香
JX-064,"(3R)-7,3?-二羟基-6,2?,4?-三甲氧基异黄烷酮"," (3R)-7,3?-dihydroxy-6,2?,4?-trimethoxyisoflavanone ",/,346.34,C18H18O7,,黄酮,OC1=CC2=C(C(C(C3=CC=C(OC)C(O)=C3OC)CO2)=O)C=C1OC,"InChI=1S/C18H18O7/c1-22-13-5-4-9(18(24-3)17(13)21)11-8-25-14-7-12(19)15(23-2)6-10(14)16(11)20/h4-7,11,19,21H,8H2,1-3H3",YQERXGLPRZRZLW-UHFFFAOYSA-N,降香
JX-065,"(3R)-2?,3?,7-三羟基-4?-甲氧基异黄烷酮"," (3R)-2?,3?,7-trihydroxy-4?-methoxyisoflavanone ",/,302.28,C16H14O6,,黄酮,OC1=CC2=C(C(C(C3=CC=C(OC)C(O)=C3O)CO2)=O)C=C1,"InChI=1S/C16H14O6/c1-21-12-5-4-9(15(19)16(12)20)11-7-22-13-6-8(17)2-3-10(13)14(11)18/h2-6,11,17,19-20H,7H2,1H3",DIBYNSQDXNQPSM-UHFFFAOYSA-N,降香
JX-066,(+)-豆素 , (+)-duartin ,/,332.3,C18H20O6 ,,黄酮,OC(C(OC)=C(C=C1)[C@@]2([H])CC(C=CC(O)=C3OC)=C3OC2)=C1OC,"InChI=1S/C18H20O6/c1-21-14-7-5-12(17(22-2)15(14)20)11-8-10-4-6-13(19)18(23-3)16(10)24-9-11/h4-7,11,19-20H,8-9H2,1-3H3/t11-/m0/s1",QVVPJFBYFYYVDM-NSHDSACASA-N,降香
JX-067,"S-3?-羟基-7,2?,4?-三甲氧基异黄烷酮"," S-3?-hydroxy-7,2?,4?-trimethoxyisoxane ",/,324.3,C18H12O6 ,,黄酮,O=C(C(C1=CC=C(OC)C(O)=C1OC)CO2)C3=C2C=C(OC)C=C3,"InChI=1S/C18H18O6/c1-21-10-4-5-12-15(8-10)24-9-13(16(12)19)11-6-7-14(22-2)17(20)18(11)23-3/h4-8,13,20H,9H2,1-3H3",UEYQUFAIWLAHMW-UHFFFAOYSA-N,降香
JX-068,(+)-异豆素 , (+)-isoduartin ,/,332.3,C18H20O6 ,,黄酮,OC1=C(C=CC(OC)=C1OC)C2CC(C=CC(O)=C3OC)=C3OC2,"InChI=1S/C18H20O6/c1-21-14-7-5-12(15(20)18(14)23-3)11-8-10-4-6-13(19)17(22-2)16(10)24-9-11/h4-7,11,19-20H,8-9H2,1-3H3",BHZCUYWXAHPWFV-UHFFFAOYSA-N,降香
JX-069,"3?,7-二羟基-2?,4-二甲氧基异黄烷 ", mucronulatol ,20878-98-2,302.32,C17H18O5 ,,黄酮,OC(C(OC)=C(C=C1)[C@]2([H])CC(C=CC(O)=C3)=C3OC2)=C1OC,"InChI=1S/C17H18O5/c1-20-14-6-5-13(17(21-2)16(14)19)11-7-10-3-4-12(18)8-15(10)22-9-11/h3-6,8,11,18-19H,7,9H2,1-2H3/t11-/m1/s1",NUNFZNIXYWTZMW-LLVKDONJSA-N,降香
JX-070,(±)-驴食草酚 , (±)-vestitol ,35878-41-2,272.296,C16H16O4,,黄酮,OC1=C(C=CC(OC)=C1)[C@]2([H])CC(C=CC(O)=C3)=C3OC2,"InChI=1S/C16H16O4/c1-19-13-4-5-14(15(18)8-13)11-6-10-2-3-12(17)7-16(10)20-9-11/h2-5,7-8,11,17-18H,6,9H2,1H3/t11-/m1/s1",XRVFNNUXNVWYTI-LLVKDONJSA-N,降香
JX-071,"(3R)-3?,8-二羟基驴食草酚 "," (3R)-3?,8-dihydroxyvestitol ",122587-87-5,304.29,C16H16O6 ,,黄酮,OC1=C(C=CC(OC)=C1O)C2CC(C=CC(O)=C3O)=C3OC2,"InChI=1S/C16H16O6/c1-21-12-5-3-10(13(18)15(12)20)9-6-8-2-4-11(17)14(19)16(8)22-7-9/h2-5,9,17-20H,6-7H2,1H3",BPAJYCPZCVWTTL-UHFFFAOYSA-N,降香
JX-072,3?-羟基-8-甲氧基驴食草酚 , 3?-hydroxy-8-methoxyvestitol ,/,318.32,C17H18O6 ,,黄酮,[H][C@](C1)(C2=C(O)C(O)=C(OC)C=C2)COC3=C1C=CC(O)=C3OC,"InChI=1S/C17H18O6/c1-21-13-6-4-11(14(19)15(13)20)10-7-9-3-5-12(18)17(22-2)16(9)23-8-10/h3-6,10,18-20H,7-8H2,1-2H3/t10-/m1/s1",UUQKWUICQAXXMK-SNVBAGLBSA-N,降香
JX-073,7-O-甲基驴食草酚 , 7-O-methylvestitol ,/,302.32,C17H18O5 ,,黄酮,OC1=C(C=CC(OC)=C1)[C@]2([H])CC(C=CC(OC)=C3)=C3OC2,"InChI=1S/C17H18O4/c1-19-13-5-6-15(16(18)8-13)12-7-11-3-4-14(20-2)9-17(11)21-10-12/h3-6,8-9,12,18H,7,10H2,1-2H3/t12-/m1/s1",FWAWTPASGRNXTO-GFCCVEGCSA-N,降香
JX-074,(3R)-驴食草酚, (3R)-vestitol ,/,272.296,C16H16O4 ,,黄酮,OC1=C(C=CC(OC)=C1)C2CC(C=CC(O)=C3)=C3OC2,"InChI=1S/C16H16O4/c1-19-13-4-5-14(15(18)8-13)11-6-10-2-3-12(17)7-16(10)20-9-11/h2-5,7-8,11,17-18H,6,9H2,1H3",XRVFNNUXNVWYTI-UHFFFAOYSA-N,降香
