编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,化合物类别,smiles,inchi,inchikey,药材名称
JX-207,檀香醇,santalol,11031-45-1,220.35,C15H24O ,,其他,OC/C(C)=C\CC[C@@]1(C)C2(C)[C@@]3([H])[C@]2([H])CC1C3,"InChI=1S/C15H24O/c1-10(9-16)5-4-6-14(2)11-7-12-13(8-11)15(12,14)3/h5,11-13,16H,4,6-9H2,1-3H3/b10-5-/t11?,12-,13+,14-,15?/m1/s1",PDEQKAVEYSOLJX-RQGDDBKYSA-N,降香
JX-208,法尼醇 ,farnesylalcohol,4602-84-0,222.366,C15H26O ,,其他,OC/C=C(C)/CC/C=C(C)/CC/C=C(C)/C,"InChI=1S/C15H26O/c1-13(2)7-5-8-14(3)9-6-10-15(4)11-12-16/h7,9,11,16H,5-6,8,10,12H2,1-4H3/b14-9+,15-11+",CRDAMVZIKSXKFV-YFVJMOTDSA-N,降香
JX-209,雪松醇 ,cedrol,77-53-2,222.366,C15H26O ,,其他,O[C@@]1(C)[C@H]2C(C)(C)[C@@]3([H])[C@@]([C@@](C)([H])CC3)(CC1)C2,"InChI=1S/C15H26O/c1-10-5-6-11-13(2,3)12-9-15(10,11)8-7-14(12,4)16/h10-12,16H,5-9H2,1-4H3/t10-,11+,12-,14-,15+/m1/s1",SVURIXNDRWRAFU-OGMFBOKVSA-N,降香
JX-210,β-蛇床烯醇,β-selinenol,/,222.366,C15H26O ,,其他,,,,降香
JX-211,棕榈酸 ,palmitic acid,1957/10/3,256.424,C16H32O2 ,,脂肪酸,OC(CCCCCCCCCCCCCCC)=O,"InChI=1S/C16H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h2-15H2,1H3,(H,17,18)",IPCSVZSSVZVIGE-UHFFFAOYSA-N,降香
JX-212,5-氨基吡唑-4-羧酸 ,5-amino-pyrazole-4-carboxylic acid,/,127.1,C4H5N3O2 ,,其他,,,,降香
JX-213,苯甲醛 ,benzaldehyde,100-52-7,106.122,C7H6O,,其他,O=CC1=CC=CC=C1,InChI=1S/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H,HUMNYLRZRPPJDN-UHFFFAOYSA-N,降香
JX-214,水杨醛 ,salicylaldehyde,1990/2/8,122.121,C7H6O2 ,,其他,OC1=CC=CC=C1C=O,"InChI=1S/C7H6O2/c8-5-6-3-1-2-4-7(6)9/h1-5,9H",SMQUZDBALVYZAC-UHFFFAOYSA-N,降香
JX-215,3-甲氧基苯酚 ,3-methoxyphenol,150-19-6,124.14,C7H8O2 ,,其他,OC1=CC(OC)=CC=C1,"InChI=1S/C7H8O2/c1-9-7-4-2-3-6(8)5-7/h2-5,8H,1H3",ASHGTJPOSUFTGB-UHFFFAOYSA-N,降香
JX-216,香兰素 ,vanillin,121-33-5,152.147,C8H8O3 ,,其他,OC1=C(C=C(C=O)C=C1)OC,"InChI=1S/C8H8O3/c1-11-8-4-6(5-9)2-3-7(8)10/h2-5,10H,1H3",MWOOGOJBHIARFG-UHFFFAOYSA-N,降香
