编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,化合物种类,smiles,inchi,inchikey,药材名称
JLX-033,"5,6,7,3',4'-五甲氧基黄酮","	SINENSETIN","	2306-27-6","	372.37","	C20H20O7",,黄酮类,O=C1C=C(C2=CC=C(OC)C(OC)=C2)OC3=C1C(OC)=C(C(OC)=C3)OC,"InChI=1S/C20H20O7/c1-22-13-7-6-11(8-15(13)23-2)14-9-12(21)18-16(27-14)10-17(24-3)19(25-4)20(18)26-5/h6-10H,1-5H3",LKMNXYDUQXAUCZ-UHFFFAOYSA-N,九里香
JLX-034,"5-羟基-6,7,3',4'-四甲氧基黄酮","5-hydroxy-3',4',6,7-tetramethoxyflavone",21763-80-4,358.34,C19H18O7,,黄酮类,O=C1C=C(C2=CC=C(OC)C(OC)=C2)OC3=C1C(O)=C(OC)C(OC)=C3,"InChI=1S/C19H18O7/c1-22-12-6-5-10(7-14(12)23-2)13-8-11(20)17-15(26-13)9-16(24-3)19(25-4)18(17)21/h5-9,21H,1-4H3",QEWSAPKRFOFQIU-UHFFFAOYSA-N,九里香
JLX-035,小叶九里香咔唑碱, Exozoline,70561-79-4,319.44,C22H25NO,,生物碱类,CC(C1C(C2)C3=C(OC2(C)CC1)C(C)=CC4=C3NC5=C4C=CC=C5)C,"InChI=1S/C23H27NO/c1-13(2)15-9-10-23(4)12-18(15)20-21-17(11-14(3)22(20)25-23)16-7-5-6-8-19(16)24-21/h5-8,11,13,15,18,24H,9-10,12H2,1-4H3",GERWGWCJTWPXEG-UHFFFAOYSA-N,九里香
JLX-036,O-甲基柯氏九里香酚碱,koenimbine,21087-98-9,293.36,C19H19NO2,,生物碱类,CC1=CC2=C(NC3=CC=C(OC)C=C23)C4=C1OC(C)(C)C=C4,"InChI=1S/C19H19NO2/c1-11-9-15-14-10-12(21-4)5-6-16(14)20-17(15)13-7-8-19(2,3)22-18(11)13/h5-10,20H,1-4H3",OSERHKINMDLESD-UHFFFAOYSA-N,九里香
JLX-037,吉九里香碱,Girinimbine,23095-44-5,263.334,C18H17NO,,生物碱类,CC1=CC2=C(C3=C1OC(C)(C=C3)C)NC4=CC=CC=C24,"InChI=1S/C18H17NO/c1-11-10-14-12-6-4-5-7-15(12)19-16(14)13-8-9-18(2,3)20-17(11)13/h4-10,19H,1-3H3",GAEQWKVGMHUUKO-UHFFFAOYSA-N,九里香
JLX-038,马汉九里香碱,"	Mahanimbine","	21104-28-9",331.45,"	C23H25NO",,生物碱类,CC1=CC2=C(NC3=CC=CC=C23)C4=C1OC(CC/C=C(C)/C)(C)C=C4,"InChI=1S/C23H25NO/c1-15(2)8-7-12-23(4)13-11-18-21-19(14-16(3)22(18)25-23)17-9-5-6-10-20(17)24-21/h5-6,8-11,13-14,24H,7,12H2,1-4H3",HTNVFUBCWIYPJN-UHFFFAOYSA-N,九里香
JLX-039,匙叶桉油烯醇,Espatulenol,6750-60-3,220.35,C15H24O,,挥发油类,OC(C1C(C2(C)C)C2CC3)(C)CCC1C3=C,"InChI=1S/C15H24O/c1-9-5-6-11-13(14(11,2)3)12-10(9)7-8-15(12,4)16/h10-13,16H,1,5-8H2,2-4H3",FRMCCTDTYSRUBE-UHFFFAOYSA-N,九里香
JLX-040,δ-榄香烯,beta-elemene,515-13-9,204.35,C15H24,,挥发油类,C=C([C@@H]1C[C@@H]([C@](C=C)(CC1)C)C(C)=C)C,"InChI=1S/C15H24/c1-7-15(6)9-8-13(11(2)3)10-14(15)12(4)5/h7,13-14H,1-2,4,8-10H2,3,5-6H3/t13-,14+,15+/m0/s1",OPFTUNCRGUEPRZ-RRFJBIMHSA-N,九里香
JLX-041,α-蒎烯,Alpha-pinene,80-56-8,136.234,C10H16,,挥发油类,CC1=CCC2CC1C2(C)C,"InChI=1S/C10H16/c1-7-4-5-8-6-9(7)10(8,2)3/h4,8-9H,5-6H2,1-3H3",GRWFGVWFFZKLTI-UHFFFAOYSA-N,九里香
JLX-042,(E)-橙花叔醇,"[S-(E)]-3,7,11-trimethyldodeca-1,6,10-trien-3-ol",1119-38-6,222.366,C15H26O,,挥发油类,C=C[C@](O)(C)CC/C=C(C)/CC/C=C(C)/C,"InChI=1S/C15H26O/c1-6-15(5,16)12-8-11-14(4)10-7-9-13(2)3/h6,9,11,16H,1,7-8,10,12H2,2-5H3/b14-11+/t15-/m1/s1",FQTLCLSUCSAZDY-ATGUSINASA-N,九里香
