编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,化合物分类,smiles,inchi,inchikey,药材名称,,,
POOR-013,柚皮素,Naringenin,480-41-1,272.2560 ,C15H12O5,,黄酮,OC1=CC(O)=CC2=C1C(C[C@@H](C3=CC=C(O)C=C3)O2)=O,"InChI=1S/C15H12O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-6,13,16-18H,7H2/t13-/m0/s1",FTVWIRXFELQLPI-ZDUSSCGKSA-N,水红花子,,,
POOR-014,儿茶素,Catechin,154-23-4,290.2710 ,C15H14O6,,黄酮,OC1=CC(O)=CC2=C1C(C[C@@H](C3=CC=C(O)C=C3)O2)=O,"InChI=1S/C15H12O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-6,13,16-18H,7H2/t13-/m0/s1",FTVWIRXFELQLPI-ZDUSSCGKSA-N,水红花子,,,
POOR-015,表没食子儿茶素,Epigallocatechin,970-74-1,306.2700 ,C15H14O7,,黄酮,OC1=CC(O)=C(CC(O)C(C2=CC(O)=C(O)C(O)=C2)O3)C3=C1,"InChI=1S/C15H14O7/c16-7-3-9(17)8-5-12(20)15(22-13(8)4-7)6-1-10(18)14(21)11(19)2-6/h1-4,12,15-21H,5H2",XMOCLSLCDHWDHP-UHFFFAOYSA-N,水红花子,,,
POOR-016,槲皮素, Quercetin,117-39-5,302.2380 ,C15H10O7,,黄酮,OC1=CC(O)=C(C(C(O)=C(C2=CC(O)=C(O)C=C2)O3)=O)C3=C1,REFJWTPEDVJJIY-UHFFFAOYSA-N,REFJWTPEDVJJIY-UHFFFAOYSA-N,水红花子,,,
POOR-017,槲皮素-3-O-β-D-葡萄糖苷,Quercetin 3-glucoside,482-35-9,464.3790 ,C21H20O12,,黄酮,OC1=CC(O)=C(C(C(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)=C(C3=CC(O)=C(O)C=C3)O4)=O)C4=C1,"InChI=1S/C21H20O12/c22-6-13-15(27)17(29)18(30)21(32-13)33-20-16(28)14-11(26)4-8(23)5-12(14)31-19(20)7-1-2-9(24)10(25)3-7/h1-5,13,15,17-18,21-27,29-30H,6H2/t13-,15-,17+,18-,21+/m1/s1",OVSQVDMCBVZWGM-QSOFNFLRSA-N,水红花子,,,
POOR-018,荭草素,Orientin,28608-75-5,464.3790 ,C21H20O12,,黄酮,OC1=CC(O)=C(C(C(O)=C(C2=CC(O)=C(O)C=C2)O3)=O)C3=C1[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O,"InChI=1S/C21H20O12/c22-5-11-14(27)16(29)18(31)21(32-11)13-10(26)4-9(25)12-15(28)17(30)19(33-20(12)13)6-1-2-7(23)8(24)3-6/h1-4,11,14,16,18,21-27,29-31H,5H2/t11-,14-,16+,18-,21-/m1/s1",FITRQRCSDNAXJJ-NWTBKRSKSA-N,水红花子,,,
POOR-019,异荭草素,Isoorientin,4261-42-1,464.3790 ,C21H20O12,,黄酮,OC1=C([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C(O)=C(C(C(O)=C(C3=CC(O)=C(O)C=C3)O4)=O)C4=C1,"InChI=1S/C21H20O12/c22-5-11-14(26)17(29)19(31)21(33-11)12-9(25)4-10-13(15(12)27)16(28)18(30)20(32-10)6-1-2-7(23)8(24)3-6/h1-4,11,14,17,19,21-27,29-31H,5H2/t11-,14-,17+,19-,21+/m1/s1",IDPMRJRWHIXCDU-DSTJRUDUSA-N,水红花子,,,
POOR-020,黄芪苷,Astragalin,480-10-4,448.3800 ,C21H20O11,,黄酮,OC1=CC(O)=C(C(C(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)=C(C3=CC=C(O)C=C3)O4)=O)C4=C1,"InChI=1S/C21H20O11/c22-7-13-15(26)17(28)18(29)21(31-13)32-20-16(27)14-11(25)5-10(24)6-12(14)30-19(20)8-1-3-9(23)4-2-8/h1-6,13,15,17-18,21-26,28-29H,7H2/t13-,15-,17+,18-,21+/m1/s1",JPUKWEQWGBDDQB-QSOFNFLRSA-N,水红花子,,,
POOR-021,芦丁,Rutin,153-18-4,610.5210 ,C27H30O16,,黄酮,O=C1C2=C(O)C=C(O)C=C2OC(C3=CC(O)=C(O)C=C3)=C1O[C@@H]4O[C@H](CO[C@H]5[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O5)[C@@H](O)[C@H](O)[C@H]4O,"InChI=1S/C27H30O16/c1-8-17(32)20(35)22(37)26(40-8)39-7-15-18(33)21(36)23(38)27(42-15)43-25-19(34)16-13(31)5-10(28)6-14(16)41-24(25)9-2-3-11(29)12(30)4-9/h2-6,8,15,17-18,20-23,26-33,35-38H,7H2,1H3/t8-,15+,17-,18+,20+,21-,22+,23+,26+,27-/m0/s1",IKGXIBQEEMLURG-NVPNHPEKSA-N,水红花子,,,
POOR-022,木犀草素,Luteolin,491-70-3,286.2390 ,C15H10O6,,黄酮,O=C1C2=C(O)C=C(O)C=C2OC(C3=CC=C(O)C(O)=C3)=C1,"InChI=1S/C15H10O6/c16-8-4-11(19)15-12(20)6-13(21-14(15)5-8)7-1-2-9(17)10(18)3-7/h1-6,16-19H",IQPNAANSBPBGFQ-UHFFFAOYSA-N,水红花子,,,
