编号,化学名,英文名称,分子式,分子量,CAS号,2D图,分类,smiles,inchi,inchikey,药材名称
SM-041,/,neoprotosappanin,C32H26O10,570.50 ,/,,酚类,C[C@@](C1=C(O)C=CC=C1)([H])C2=CC(O)=C(OC)C=C2OC.C=C,"InChI=1S/C16H18O4.C2H4/c1-10(11-6-4-5-7-13(11)17)12-8-14(18)16(20-3)9-15(12)19-2;1-2/h4-10,17-18H,1-3H3;1-2H2/t10-;/m1./s1",DSMJWDPRLWJHJW-HNCPQSOCSA-N,苏木
SM-042,/,7，3'，4'-trihydroxy-3-benzyl-2H-chromene,C16H14O4,270.28 ,1111897-60-9,,黄酮类,OC1=CC=C(CC(CO2)=CC3=C2C=C(O)C=C3)C=C1O,"InChI=1S/C16H14O4/c17-13-3-2-12-6-11(9-20-16(12)8-13)5-10-1-4-14(18)15(19)7-10/h1-4,6-8,17-19H,5,9H2",HPLBTDJMPUFEPF-UHFFFAOYSA-N,苏木
SM-043,苏木查尔酮,sappanchalcone,C16H14O5,286.28 ,94344-54-4, ,黄酮类,O=C(/C=C/C1=CC(O)=C(O)C=C1)C2=C(OC)C=C(O)C=C2,"InChI=1S/C16H14O5/c1-21-16-9-11(17)4-5-12(16)13(18)6-2-10-3-7-14(19)15(20)8-10/h2-9,17,19-20H,1H3/b6-2+",JVGNTXGHBHMJDO-QHHAFSJGSA-N,苏木
SM-044,3-去氧苏木查尔酮,3-deoxysappanchalcone,C16H14O4,270.28 ,112408-67-0,,黄酮类,O=C(C(C=CC(O)=C1)=C1OC)/C=C/C2=CC=C(O)C=C2,"InChI=1S/C16H14O4/c1-20-16-10-13(18)7-8-14(16)15(19)9-4-11-2-5-12(17)6-3-11/h2-10,17-18H,1H3/b9-4+",PACBGANPVNHGNP-RUDMXATFSA-N,苏木
SM-045,2'-羟基-3，4，4'-三甲氧基查耳酮,2'-hydroxy-3，4，4'-trimethoxychalcone,C18H18O5,314.33 ,126863-54-5,,黄酮类,O=C(/C=C/C1=CC=C(O)C=C1)C2=CC=C(O)C=C2OC,"InChI=1S/C16H14O4/c1-20-16-10-13(18)7-8-14(16)15(19)9-4-11-2-5-12(17)6-3-11/h2-10,17-18H,1H3/b9-4+",PACBGANPVNHGNP-RUDMXATFSA-N,苏木
SM-046,4，4'-二羟基-2'-甲氧基查尔酮,4，4'-dihydroxy-2'-methoxychalcone,C16H14O4,270.28 ,34221-41-5,,黄酮类,OC1=CC=C(C(/C=C/C2=CC=C(O)C=C2OC)=O)C=C1,"InChI=1S/C16H14O4/c1-20-16-10-14(18)8-4-12(16)5-9-15(19)11-2-6-13(17)7-3-11/h2-10,17-18H,1H3/b9-5+",QJKMIJNRNRLQSS-WEVVVXLNSA-N,苏木
SM-047,/,4-O-Methylbutein,C16H14O5,286.28 ,13323-67-6,,黄酮类,O=C(C1=CC=C(O)C=C1O)/C=C/C2=CC=C(OC)C(O)=C2,"InChI=1S/C16H14O5/c1-21-16-7-3-10(8-15(16)20)2-6-13(18)12-5-4-11(17)9-14(12)19/h2-9,17,19-20H,1H3/b6-2+",WGVFVBIJKULVHA-QHHAFSJGSA-N,苏木
SM-048,"	紫铆花素", Butein,C15H12O5,272.25 ,"	487-52-5",,黄酮类,OC1=CC=C(C=C1O)/C=C/C(C2=CC=C(O)C=C2O)=O,"InChI=1S/C15H12O5/c16-10-3-4-11(14(19)8-10)12(17)5-1-9-2-6-13(18)15(20)7-9/h1-8,16,18-20H/b5-1+",AYMYWHCQALZEGT-ORCRQEGFSA-N,苏木
SM-049,异 甘 草 素,Isoliquiritigenin,"	C15H12O4","	256.25","	961-29-5",,黄酮类,O=C(C(C=CC(O)=C1)=C1O)/C=C/C2=CC=C(O)C=C2,"InChI=1S/C15H12O4/c16-11-4-1-10(2-5-11)3-8-14(18)13-7-6-12(17)9-15(13)19/h1-9,16-17,19H/b8-3+",DXDRHHKMWQZJHT-FPYGCLRLSA-N,苏木
SM-050,4'，4'，8-三羟基-2'-甲氧基查耳酮,"4,2',4'-trihydroxy-6'-methoxychalcone",C16H14O5,286.30 ,62014-87-3,,黄酮类,OC1=CC(OC)=C(C(/C=C/C2=CC=C(O)C=C2)=O)C(O)=C1,"InChI=1S/C16H14O5/c1-21-15-9-12(18)8-14(20)16(15)13(19)7-4-10-2-5-11(17)6-3-10/h2-9,17-18,20H,1H3/b7-4+",OWGUBYRKZATRIT-QPJJXVBHSA-N,苏木
SM-051,槲 皮 素,quercetin,"	C15H10O7","	302.24","	117-39-5",,黄酮类,OC1=CC(C(O2)=C(O)C(C3=C2C=C(O)C=C3O)=O)=CC=C1O,"InChI=1S/C15H10O7/c16-7-4-10(19)12-11(5-7)22-15(14(21)13(12)20)6-1-2-8(17)9(18)3-6/h1-5,16-19,21H",REFJWTPEDVJJIY-UHFFFAOYSA-N,苏木
SM-052,( + ) -南 烛 木 树 脂 酚,(+)-lyoniresinol,C22H28O8,420.45 ,14464-90-5,,木脂素,COC1=CC([C@@H]2[C@@H](CO)[C@H](CO)CC3=CC(OC)=C(O)C(OC)=C23)=CC(OC)=C1O,"InChI=1S/C22H28O8/c1-27-15-7-12(8-16(28-2)20(15)25)18-14(10-24)13(9-23)5-11-6-17(29-3)21(26)22(30-4)19(11)18/h6-8,13-14,18,23-26H,5,9-10H2,1-4H3/t13-,14-,18+/m0/s1",ZDVZKBOFCHOPLM-SUNYJGFJSA-N,苏木
SM-053,印黄酮,Euxanthone,C13H8O4,228.20 ,529-61-3,,黄酮类,O=C1C2=C(OC3=C1C=C(O)C=C3)C=CC=C2O,"InChI=1S/C13H8O4/c14-7-4-5-10-8(6-7)13(16)12-9(15)2-1-3-11(12)17-10/h1-6,14-15H",KDXFPEKLLFWHMN-UHFFFAOYSA-N,苏木
SM-054,/,"( E) -3，3'-dimethoxy-4，4'-
dihydroxystilbene",C16H16O4," 
272.29 ",7329-69-3,,苯丙素,OC1=CC=C(/C=C/C2=CC=C(O)C(OC)=C2)C=C1OC,"InChI=1S/C16H16O4/c1-19-15-9-11(5-7-13(15)17)3-4-12-6-8-14(18)16(10-12)20-2/h3-10,17-18H,1-2H3/b4-3+",KQPXJFAYGYIGRU-ONEGZZNKSA-N,苏木
SM-055,苏朽木酚,sappanin,C12H10O4,218.21 ,102036-30-6,,酚类,OC1=CC(O)=CC=C1C2=CC=C(O)C(O)=C2,"InChI=1S/C12H10O4/c13-8-2-3-9(11(15)6-8)7-1-4-10(14)12(16)5-7/h1-6,13-16H",GHPSCBAZRWEYJT-UHFFFAOYSA-N,苏木
SM-056,云实品 J,caesalpin J,C17H16O6,316.31 ,99217-67-1,,酚类,COC1C2(O)CC3=CC(O)=C(O)C=C3C14C=CC(C=C4OC2)=O,"InChI=1S/C17H16O6/c1-22-15-16(21)7-9-4-12(19)13(20)6-11(9)17(15)3-2-10(18)5-14(17)23-8-16/h2-6,15,19-21H,7-8H2,1H3",GUHDLXNWTKIBDJ-UHFFFAOYSA-N,苏木
SM-057,α-水芹烯,aphenllandrene,C10H16,136.23 ,99-83-2,,挥发油,CC1=CCC(C(C)C)C=C1,"InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4-6,8,10H,7H2,1-3H3",OGLDWXZKYODSOB-UHFFFAOYSA-N,苏木
SM-058,罗勒烯,ocimene,C10H16,136.23 ,13877-91-3,,挥发油,C=C/C(C)=C/C/C=C(C)/C,"InChI=1S/C10H16/c1-5-10(4)8-6-7-9(2)3/h5,7-8H,1,6H2,2-4H3/b10-8+",IHPKGUQCSIINRJ-CSKARUKUSA-N,苏木
SM-059,鼠 李 素,rhamnetin,C16H12O7,316.26 ,90-19-7,,黄酮类,OC1=CC(C(O2)=C(O)C(C3=C2C=C(OC)C=C3O)=O)=CC=C1O,"InChI=1S/C16H12O7/c1-22-8-5-11(19)13-12(6-8)23-16(15(21)14(13)20)7-2-3-9(17)10(18)4-7/h2-6,17-19,21H,1H3",JGUZGNYPMHHYRK-UHFFFAOYSA-N,苏木
SM-060,"商陆素（3,5 ,3'-三羟基-7,4'-二甲氧基黄酮）",Ombuin,C17H14O7,330.29 ,529-40-8,,黄酮类,O=C1C(O)=C(C2=CC=C(OC)C(O)=C2)OC3=C1C(O)=CC(OC)=C3,"InChI=1S/C17H14O7/c1-22-9-6-11(19)14-13(7-9)24-17(16(21)15(14)20)8-3-4-12(23-2)10(18)5-8/h3-7,18-19,21H,1-2H3",BWORNNDZQGOKBY-UHFFFAOYSA-N,苏木
SM-061,二十八醇,1-Octacosanol,C28H58O,410.76 ,557-61-9,,烷烃类,OCCCCCCCCCCCCCCCCCCCCCCCCCCCC,"InChI=1S/C28H58O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29/h29H,2-28H2,1H3",CNNRPFQICPFDPO-UHFFFAOYSA-N,苏木
SM-062,菜油甾醇,Campesterol,C28H48O,400.68 ,474-62-4,,甾体,C[C@H](CC[C@@H](C)C(C)C)[C@@]1([H])CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@@]21C,"InChI=1S/C28H48O/c1-18(2)19(3)7-8-20(4)24-11-12-25-23-10-9-21-17-22(29)13-15-27(21,5)26(23)14-16-28(24,25)6/h9,18-20,22-26,29H,7-8,10-17H2,1-6H3/t19-,20-,22+,23+,24-,25+,26+,27+,28-/m1/s1",SGNBVLSWZMBQTH-PODYLUTMSA-N,苏木
SM-063,豆甾醇,Stigmasterol,C29H48O,412.69 ,83-48-7,,甾体,[H][C@]12[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]1(C)[C@@H]([C@@H](/C=C/C(CC)C(C)C)C)CC2,"InChI=1S/C29H48O/c1-7-21(19(2)3)9-8-20(4)25-12-13-26-24-11-10-22-18-23(30)14-16-28(22,5)27(24)15-17-29(25,26)6/h8-10,19-21,23-27,30H,7,11-18H2,1-6H3/b9-8+/t20-,21?,23+,24+,25-,26+,27+,28+,29-/m1/s1",HCXVJBMSMIARIN-MFWSXVRSSA-N,苏木
SM-064,蒲公英甾醇,Taraxasterol,C30H50O,426.72 ,1059-14-9,,甾体,C[C@H]1[C@@H]2[C@H]3CC[C@@H]4[C@]5(CC[C@@H](C(C)([C@@H]5CC[C@]4([C@@]3(CC[C@]2(CCC1=C)C)C)C)C)O)C,"InChI=1S/C30H50O/c1-19-11-14-27(5)17-18-29(7)21(25(27)20(19)2)9-10-23-28(6)15-13-24(31)26(3,4)22(28)12-16-30(23,29)8/h20-25,31H,1,9-18H2,2-8H3/t20-,21-,22+,23-,24+,25-,27-,28+,29-,30-/m1/s1",XWMMEBCFHUKHEX-ZJJHUPNDSA-N,苏木
SM-065,胡萝卜苷,Daucosterol,C35H60O6,576.85 ,474-58-8,,甾体,O[C@H]1[C@H](O)[C@@H](CO)O[C@@H](O[C@@H]2CC3=CC[C@]([C@@](CC[C@]4([H])[C@@H](CC[C@H](CC)C(C)C)C)([H])[C@]4(C)CC5)([H])[C@@]5([H])[C@@]3(C)CC2)[C@@H]1O,"InChI=1S/C35H60O6/c1-7-22(20(2)3)9-8-21(4)26-12-13-27-25-11-10-23-18-24(14-16-34(23,5)28(25)15-17-35(26,27)6)40-33-32(39)31(38)30(37)29(19-36)41-33/h10,20-22,24-33,36-39H,7-9,11-19H2,1-6H3/t21-,22+,24+,25+,26-,27+,28+,29-,30-,31+,32-,33-,34+,35-/m1/s1",NPJICTMALKLTFW-VPFCYKORSA-N,苏木
SM-066,β-谷甾醇,Beta-Sitosterol,C29H50O,414.71 ,83-46-5,,甾体,C[C@@]1([C@]([C@@H](CC[C@@H](C(C)C)CC)C)([H])CC2)[C@]2([H])[C@@](CC=C3[C@@]4(CC[C@H](O)C3)C)([H])[C@]4([H])CC1,"InChI=1S/C29H50O/c1-7-21(19(2)3)9-8-20(4)25-12-13-26-24-11-10-22-18-23(30)14-16-28(22,5)27(24)15-17-29(25,26)6/h10,19-21,23-27,30H,7-9,11-18H2,1-6H3/t20-,21+,23+,24+,25-,26+,27+,28+,29-/m1/s1",KZJWDPNRJALLNS-FBZNIEFRSA-N,苏木
