编号,化学名,英文名称,分子式,分子量,CAS号,2D图,分类,smiles,inchi,inchikey,药材名称
SM-079,大黄酚,Chrysophanic acid,C15H10O4,254.24 ,481-74-3,,蒽醌类,O=C(C1=C2C=CC=C1O)C3=C(C=C(C)C=C3O)C2=O,"InChI=1S/C15H10O4/c1-7-5-9-13(11(17)6-7)15(19)12-8(14(9)18)3-2-4-10(12)16/h2-6,16-17H,1H3",LQGUBLBATBMXHT-UHFFFAOYSA-N,苏木
SM-080,2，4，5-三羟基苯甲醛,"2,4,5-Trihydroxybenzaldehyde",C7H6O4,154.12 ,35094-87-2,,其他,OC1=CC(O)=C(O)C=C1C=O,"InChI=1S/C7H6O4/c8-3-4-1-6(10)7(11)2-5(4)9/h1-3,9-11H",WNCNWLVQSHZVKV-UHFFFAOYSA-N,苏木
SM-081,丁香酸,Syringic acid,C9H10O5,198.17 ,530-57-4,,酚酸类,OC1=C(OC)C=C(C(O)=O)C=C1OC,"InChI=1S/C9H10O5/c1-13-6-3-5(9(11)12)4-7(14-2)8(6)10/h3-4,10H,1-2H3,(H,11,12)",JMSVCTWVEWCHDZ-UHFFFAOYSA-N,苏木
SM-082,表儿茶素, L-Epicatechin,C15H14O6,290.27 ,490-46-0,,黄酮类,OC1=C2C(O[C@@H]([C@H](O)C2)C3=CC(O)=C(O)C=C3)=CC(O)=C1,"InChI=1S/C15H14O6/c16-8-4-11(18)9-6-13(20)15(21-14(9)5-8)7-1-2-10(17)12(19)3-7/h1-5,13,15-20H,6H2/t13-,15-/m1/s1",PFTAWBLQPZVEMU-UKRRQHHQSA-N,苏木
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
