编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,化合物分类,smiles,inchi,inchikey,药材名称
HZ-043,槲皮素-3-O-鼠李糖苷,Quercitrin,522-12-3,448.38,C21H20O11,,黄酮类,O=C(C(O[C@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)C)O)O)O)=C(C2=CC(O)=C(C=C2)O)OC3=CC(O)=C4)C3=C4O,"InChI=1S/C21H20O11/c1-7-15(26)17(28)18(29)21(30-7)32-20-16(27)14-12(25)5-9(22)6-13(14)31-19(20)8-2-3-10(23)11(24)4-8/h2-7,15,17-18,21-26,28-29H,1H3/t7-,15-,17+,18+,21-/m0/s1",OXGUCUVFOIWWQJ-HQBVPOQASA-N,虎杖
HZ-044,槲皮素3-O-(6″-没食子酰基)-β-D-半乳糖苷,Quercetin 3-O-(6''-galloyl)-β-D-galactopyranoside,53171-28-1,616.48,C28H24O16,,黄酮类,O=C(C(O[C@@H]1O[C@@H]([C@@H]([C@@H]([C@H]1O)O)O)COC(C2=CC(O)=C(C(O)=C2)O)=O)=C(C3=CC(O)=C(C=C3)O)OC4=CC(O)=C5)C4=C5O,"InChI=1S/C28H24O16/c29-11-6-14(32)19-17(7-11)42-25(9-1-2-12(30)13(31)3-9)26(22(19)37)44-28-24(39)23(38)21(36)18(43-28)8-41-27(40)10-4-15(33)20(35)16(34)5-10/h1-7,18,21,23-24,28-36,38-39H,8H2/t18-,21+,23+,24-,28+/m1/s1",FMQQLXJREAGPHS-OJWSHTDTSA-N,虎杖
HZ-045,槲皮素-3-O-葡萄糖苷,Isoquercitrin,21637-25-2,464.38,C21H20O12,,黄酮类,O=C(C(O[C@@H]1O[C@]([C@@H]([C@H]1O)O)([H])[C@H](O)CO)=C(C2=CC(O)=C(C=C2)O)OC3=CC(O)=C4)C3=C4O,"InChI=1S/C21H20O12/c22-6-12(27)19-16(29)17(30)21(32-19)33-20-15(28)14-11(26)4-8(23)5-13(14)31-18(20)7-1-2-9(24)10(25)3-7/h1-5,12,16-17,19,21-27,29-30H,6H2/t12-,16-,17-,19-,21+/m1/s1",OPJZLUXFQFQYAI-GNPVFZCLSA-N,虎杖
HZ-046,木犀草素-7-O-葡萄糖苷,Cynaroside,5373/11/5,448.38,C21H20O11,,黄酮类,O=C1C2=C(O)C=C(O[C@@H]3O[C@@H]([C@H]([C@@H]([C@H]3O)O)O)CO)C=C2OC(C4=CC(O)=C(C=C4)O)=C1,"InChI=1S/C21H20O11/c22-7-16-18(27)19(28)20(29)21(32-16)30-9-4-12(25)17-13(26)6-14(31-15(17)5-9)8-1-2-10(23)11(24)3-8/h1-6,16,18-25,27-29H,7H2/t16-,18-,19+,20-,21-/m1/s1",PEFNSGRTCBGNAN-QNDFHXLGSA-N,虎杖
HZ-047,儿茶素,(+)-Catechin,154-23-4,290.27,C15H14O6,,酚酸类,O[C@@H]1[C@@H](C2=CC(O)=C(C=C2)O)OC3=CC(O)=CC(O)=C3C1,"InChI=1S/C15H14O6/c16-8-4-11(18)9-6-13(20)15(21-14(9)5-8)7-1-2-10(17)12(19)3-7/h1-5,13,15-20H,6H2/t13-,15+/m0/s1",PFTAWBLQPZVEMU-DZGCQCFKSA-N,虎杖
HZ-048,芹菜素,Apigenin,520-36-5,270.24,C15H10O5,,黄酮类,OC1=CC=C(C2=CC(C3=C(O)C=C(O)C=C3O2)=O)C=C1,"InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-7,16-18H",KZNIFHPLKGYRTM-UHFFFAOYSA-N,虎杖
HZ-049,Polyflavanostilbene A,Polyflavanostilbene A,1420203-65-1,846.74,C42H38O19,,酚酸类,O[C@@]12[C@@]34[C@]([C@@H](C5=CC=C(C=C5)O)O2)([H])C6=CC(O[C@@H]7O[C@@H]([C@H]([C@@H]([C@H]7O)O)O)CO)=CC(O)=C6[C@]3([H])[C@H]([C@@H](C8=CC(O)=C(C=C8)O)OC4=CC(C1)=O)OC(C9=CC(O)=C(C(O)=C9)O)=O,"InChI=1S/C42H38O19/c43-14-27-33(52)34(53)35(54)40(58-27)57-20-11-21-29(24(48)12-20)31-38(60-39(55)17-8-25(49)32(51)26(50)9-17)37(16-3-6-22(46)23(47)7-16)59-28-10-19(45)13-41(56)42(28,31)30(21)36(61-41)15-1-4-18(44)5-2-15/h1-12,27,30-31,33-38,40,43-44,46-54,56H,13-14H2/t27-,30-,31-,33-,34+,35-,36-,37-,38-,40-,41+,42+/m1/s1",PUVCOCLLOUYBTL-FMFNXWPYSA-N,虎杖
HZ-050,芦丁,Rutin,153-18-4,610.52,C27H30O16,,黄酮类,O=C(C(O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO[C@H]2[C@@H]([C@@H]([C@H]([C@@H](O2)C)O)O)O)=C(C3=CC(O)=C(C=C3)O)OC4=CC(O)=C5)C4=C5O,"InChI=1S/C27H30O16/c1-8-17(32)20(35)22(37)26(40-8)39-7-15-18(33)21(36)23(38)27(42-15)43-25-19(34)16-13(31)5-10(28)6-14(16)41-24(25)9-2-3-11(29)12(30)4-9/h2-6,8,15,17-18,20-23,26-33,35-38H,7H2,1H3/t8-,15+,17-,18+,20+,21-,22+,23+,26+,27-/m0/s1",IKGXIBQEEMLURG-NVPNHPEKSA-N,虎杖
HZ-051,山柰酚,Kaempferol,520-18-3,286.24,C15H10O6,,黄酮类,OC1=CC=C(C2=C(O)C(C3=C(O)C=C(O)C=C3O2)=O)C=C1,"InChI=1S/C15H10O6/c16-8-3-1-7(2-4-8)15-14(20)13(19)12-10(18)5-9(17)6-11(12)21-15/h1-6,16-18,20H",IYRMWMYZSQPJKC-UHFFFAOYSA-N,虎杖
HZ-052,橙皮素,Hesperetin,520-33-2,302.28,C16H14O6,,黄酮类,O=C1C2=C(O)C=C(O)C=C2O[C@H](C3=CC(O)=C(C=C3)OC)C1,"InChI=1S/C16H14O6/c1-21-13-3-2-8(4-10(13)18)14-7-12(20)16-11(19)5-9(17)6-15(16)22-14/h2-6,14,17-19H,7H2,1H3/t14-/m0/s1",AIONOLUJZLIMTK-AWEZNQCLSA-N,虎杖
