编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,类别,smiles,inchi,inchikey,药材名称
PECH-096,"1',3',5'-三羟基苯-1'-O-[4,6-(S)-六羟基联苯二甲酰基]-β-D-葡萄糖苷","1',3',5'-Trihydroxyacetophenone-1'-O-[4,6-(S)-HHDP]-β-D-glucopyranoside",1801941-59-2,590.4460,C26H22O16,,酚酸,O=C(OC1[C@H](O)[C@H](O)[C@H](OC2=CC(O)=CC(O)=C2)O[C@@H]1COC3=O)C4=CC(O)=C(O)C(O)=C4C5=C3C=C(O)C(O)=C5O,"InChI=1S/C26H22O16/c27-7-1-8(28)3-9(2-7)40-26-22(36)21(35)23-14(41-26)6-39-24(37)10-4-12(29)17(31)19(33)15(10)16-11(25(38)42-23)5-13(30)18(32)20(16)34/h1-5,14,21-23,26-36H,6H2/t14-,21-,22+,23?,26-/m1/s1",WGWDJLWISLRGDU-USFZLTOTSA-N,赶黄草
PECH-097,"2′,4′,6′-三羟基苯乙酮4′-O-[4,6-(S)-六羟基联苯二甲酰基]-β-D-葡萄糖苷","2′,4′,6′-Trihydroxyacetophenone 4′-O-[4,6-(S)-HHDP]-β-D-glucoside",1781226-44-5,632.4830,C28H24O17,,酚酸,O=C(OC1[C@H](O)[C@H](O)[C@H](OC2=CC(O)=C(C(C)=O)C(O)=C2)O[C@@H]1COC3=O)C4=CC(O)=C(O)C(O)=C4C5=C3C=C(O)C(O)=C5O,"InChI=1S/C28H24O17/c1-7(29)16-11(30)2-8(3-12(16)31)43-28-24(39)23(38)25-15(44-28)6-42-26(40)9-4-13(32)19(34)21(36)17(9)18-10(27(41)45-25)5-14(33)20(35)22(18)37/h2-5,15,23-25,28,30-39H,6H2,1H3/t15-,23-,24+,25?,28-/m1/s1",PFJCKKBMOOGJSX-XVZQCIKMSA-N,赶黄草
PECH-098,新小木麻黄素,Neostrictinin,/,634.4550,C27H22O18,,酚酸,O=C(OC1[C@H](O)[C@H](O)[C@H](OC(C2=CC(O)=C(O)C(O)=C2)=O)O[C@@H]1COC3=O)C4=CC(O)=C(O)C(O)=C4C5=C3C=C(O)C(O)=C5O,"InChI=1S/C27H22O18/c28-9-1-6(2-10(29)16(9)32)24(39)45-27-22(38)21(37)23-13(43-27)5-42-25(40)7-3-11(30)17(33)19(35)14(7)15-8(26(41)44-23)4-12(31)18(34)20(15)36/h1-4,13,21-23,27-38H,5H2/t13-,21-,22+,23?,27+/m1/s1",FYIJLTSMNXUNLT-OOMKVSFHSA-N,赶黄草
PECH-099,小木麻黄素,Strictinin,517-46-4,634.4550,C27H22O18,,酚酸,O=C(OC1[C@H](O)[C@H](O)[C@H](OC(C2=CC(O)=C(O)C(O)=C2)=O)O[C@@H]1COC3=O)C4=CC(O)=C(O)C(O)=C4C5=C3C=C(O)C(O)=C5O,"InChI=1S/C27H22O18/c28-9-1-6(2-10(29)16(9)32)24(39)45-27-22(38)21(37)23-13(43-27)5-42-25(40)7-3-11(30)17(33)19(35)14(7)15-8(26(41)44-23)4-12(31)18(34)20(15)36/h1-4,13,21-23,27-38H,5H2/t13-,21-,22+,23?,27+/m1/s1",FYIJLTSMNXUNLT-OOMKVSFHSA-N,赶黄草
PECH-100,Penthorumnin A,Penthorumnin A,2307604-15-3,652.4700,C27H24O19,,酚酸,O=C(OC1[C@H](O)[C@H](O)[C@H](OC(C2=CC(O)=C(O)C(O)=C2)=O)O[C@@H]1CO3)C4=CC(O)=C(O)C5=C4[C@H]([C@](O)(C(O)=O)[C@@](O5)(O)C6)C6C3=O,"InChI=1S/C27H24O19/c28-9-1-6(2-10(29)15(9)31)21(35)45-24-18(34)17(33)19-12(43-24)5-42-22(36)8-4-26(40)27(41,25(38)39)14(8)13-7(23(37)44-19)3-11(30)16(32)20(13)46-26/h1-3,8,12,14,17-19,24,28-34,40-41H,4-5H2,(H,38,39)/t8-,12+,14+,17+,18-,19?,24-,26+,27?/m0/s1",OLIUJCYNMFJSMF-JIUDGMGVSA-N,赶黄草
PECH-101,Penthorumin C,Penthorumin C,1782959-97-0,608.4610,C26H24O17,,酚酸,O=C(OC1[C@H](O)[C@H](O)[C@H](OC(C2=CC(O)=C(O)C(O)=C2)=O)O[C@@H]1COC3=O)C4=CC(O)=C(O)C5=C4[C@H](C3C[C@@H]6O)[C@]6(O)O5,"InChI=1S/C26H24O17/c27-9-1-6(2-10(28)16(9)31)22(35)42-25-19(34)18(33)20-12(40-25)5-39-23(36)8-4-13(30)26(38)15(8)14-7(24(37)41-20)3-11(29)17(32)21(14)43-26/h1-3,8,12-13,15,18-20,25,27-34,38H,4-5H2/t8?,12-,13+,15+,18-,19+,20?,25+,26-/m1/s1",DNUQNZAVTLWGKA-ZWOJLOLNSA-N,赶黄草
PECH-102,Phyllanemblinin F,Phyllanemblinin F,393183-53-4,670.4850,C27H26O20,,酚酸,OC1=C(O)C(O)=CC2=C1[C@H](C(CC(O)=O)C(OC[C@H]3O[C@@H](OC(C4=CC(O)=C(O)C(O)=C4)=O)[C@@H](O)[C@@H](O)C3O)=O)[C@@H](C(O)=O)OC2=O,"InChI=1S/C27H26O20/c28-9-1-6(2-10(29)16(9)33)24(41)47-27-21(38)20(37)18(35)12(45-27)5-44-25(42)8(4-13(31)32)15-14-7(3-11(30)17(34)19(14)36)26(43)46-22(15)23(39)40/h1-3,8,12,15,18,20-22,27-30,33-38H,4-5H2,(H,31,32)(H,39,40)/t8-,12+,15-,18?,20-,21-,22?,27-/m0/s1",BNFJLSCQEIACTE-AMULZWTKSA-N,赶黄草
PECH-103,Penthorumnin D,Penthorumnin D,2307604-21-1,650.4980,C28H24O18,,酚酸,O=C(OC1[C@H](O)[C@H](O)[C@H](OC2=CC(O)=C(C(C)=O)C(O)=C2)O[C@@H]1COC3=O)C4=CC(O)=C(O)C(O)=C4[C@H]5C3=CC([C@H](O)C5(O)O)=O,"InChI=1S/C28H26O18/c1-7(29)16-11(30)2-8(3-12(16)31)44-27-22(37)21(36)23-15(45-27)6-43-25(39)10-5-14(33)24(38)28(41,42)18(10)17-9(26(40)46-23)4-13(32)19(34)20(17)35/h2-5,15,18,21-24,27,30-32,34-38,41-42H,6H2,1H3/t15-,18-,21-,22+,23?,24+,27-/m1/s1",GOWKRNNXMGKYOT-ZCTLLBJPSA-N,赶黄草
PECH-104,Penthorumnin C,Penthorumnin C,2307604-19-7,620.4720,C27H24O17,,酚酸,"InChI=1S/C27H24O17/c1-7(28)16-11(29)2-8(3-12(16)30)41-27-21(36)20(35)22-14(42-27)6-40-24(37)10(5-15(32)33)18-17-9(25(38)43-22)4-13(31)19(34)23(17)44-26(18)39/h2-4,10,14,18,20-22,27,29-31,34-36H,5-6H2,1H3,(H,32,33)/t10-,14-,18+,20-,21+,22?,27-/m1/s1","InChI=1S/C27H24O17/c1-7(28)16-11(29)2-8(3-12(16)30)41-27-21(36)20(35)22-14(42-27)6-40-24(37)10(5-15(32)33)18-17-9(25(38)43-22)4-13(31)19(34)23(17)44-26(18)39/h2-4,10,14,18,20-22,27,29-31,34-36H,5-6H2,1H3,(H,32,33)/t10-,14-,18+,20-,21+,22?,27-/m1/s1",IVLOBJMLVHCAFE-JTYDVXNKSA-N,赶黄草
PECH-105,Balanophotannin F,Balanophotannin F,1006389-42-9,632.4830,C28H24O17,,酚酸,O=C(OC1[C@H](O)[C@H](O)[C@H](OC(/C=C/C2=CC(O)=C(O)C=C2)=O)O[C@@H]1CO3)[C@@H](CC(O)=O)[C@H](C4=C(O5)C(O)=C(O)C=C4C3=O)C5=O,"InChI=1S/C28H24O17/c29-12-3-1-9(5-13(12)30)2-4-17(34)43-28-22(37)21(36)23-15(42-28)8-41-25(38)10-6-14(31)20(35)24-18(10)19(27(40)45-24)11(7-16(32)33)26(39)44-23/h1-6,11,15,19,21-23,28-31,35-37H,7-8H2,(H,32,33)/b4-2+/t11-,15+,19+,21+,22-,23?,28-/m0/s1",ZOLLYZCOBHDSOG-INBOZXBOSA-N,赶黄草
PECH-106,Penthorumside B,Penthorumside B,2379667-93-1,872.6970,C42H32O21,,酚酸,O=C(OC1[C@H](O)[C@H](OC(C2=CC(O)=C(O)C(O)=C2)=O)[C@H](OC3=CC(O)=C4C(OC(C5=CC=CC=C5)CC4=O)=C3)O[C@@H]1COC6=O)C7=CC(O)=C(O)C(O)=C7C8=C6C=C(O)C(O)=C8O,"InChI=1S/C42H32O21/c43-19-8-16(9-26-30(19)20(44)12-25(60-26)14-4-2-1-3-5-14)59-42-38(63-39(55)15-6-21(45)31(49)22(46)7-15)36(54)37-27(61-42)13-58-40(56)17-10-23(47)32(50)34(52)28(17)29-18(41(57)62-37)11-24(48)33(51)35(29)53/h1-11,25,27,36-38,42-43,45-54H,12-13H2/t25?,27-,36+,37?,38+,42-/m1/s1",KFCWXRUYELFULL-CVSJAJJTSA-N,赶黄草
PECH-107,Thonningianin B,Thonningianin B,271579-12-5,722.6080,C35H30O17,,酚酸,O=C(OC1[C@H](O)[C@H](O)[C@H](OC2=CC(O)=C(C(CCC3=CC=CC=C3)=O)C(O)=C2)O[C@@H]1COC4=O)C5=CC(O)=C(O)C(O)=C5C6=C4C=C(O)C(O)=C6O,"InChI=1S/C35H30O17/c36-17(7-6-13-4-2-1-3-5-13)25-18(37)8-14(9-19(25)38)50-35-31(46)30(45)32-22(51-35)12-49-33(47)15-10-20(39)26(41)28(43)23(15)24-16(34(48)52-32)11-21(40)27(42)29(24)44/h1-5,8-11,22,30-32,35,37-46H,6-7,12H2/t22-,30-,31+,32?,35-/m1/s1",UJNCWORGHSATHA-BCQBNVEQSA-N,赶黄草
PECH-108,Penthorumside C,Penthorumside C,2379667-94-2,874.7130,C42H34O21,,酚酸,O=C(OC1[C@H](O)[C@H](OC(C2=CC(O)=C(O)C(O)=C2)=O)[C@H](OC3=CC(O)=C(C(CCC4=CC=CC=C4)=O)C(O)=C3)O[C@@H]1COC5=O)C6=CC(O)=C(O)C(O)=C6C7=C5C=C(O)C(O)=C7O,"InChI=1S/C42H34O21/c43-20(7-6-15-4-2-1-3-5-15)30-21(44)10-17(11-22(30)45)60-42-38(63-39(56)16-8-23(46)31(50)24(47)9-16)36(55)37-27(61-42)14-59-40(57)18-12-25(48)32(51)34(53)28(18)29-19(41(58)62-37)13-26(49)33(52)35(29)54/h1-5,8-13,27,36-38,42,44-55H,6-7,14H2/t27-,36+,37?,38+,42-/m1/s1",OEHNXYPWTLMJCY-XLNXDXHLSA-N,赶黄草
PECH-109,原儿茶酸,Vanillic acid,121-34-6,168.1480,C8H8O4,,酚酸,OC1=C(OC)C=C(C(O)=O)C=C1,"InChI=1S/C8H8O4/c1-12-7-4-5(8(10)11)2-3-6(7)9/h2-4,9H,1H3,(H,10,11)",WKOLLVMJNQIZCI-UHFFFAOYSA-N,赶黄草
PECH-110,"2,4,6-三羟基苯甲酸","2,4,6-Trihydroxybenzoic acid",83-30-7,170.1200,C7H6O5,,酚酸,OC1=CC(O)=C(C(O)=O)C(O)=C1,"InChI=1S/C7H6O5/c8-3-1-4(9)6(7(11)12)5(10)2-3/h1-2,8-10H,(H,11,12)",IBHWREHFNDMRPR-UHFFFAOYSA-N,赶黄草
PECH-111,没食子酸甲酯,Methyl gallate,99-24-1,184.1470,C8H8O5,,酚酸,OC1=C(O)C(O)=CC(C(OC)=O)=C1,"InChI=1S/C8H8O5/c1-13-8(12)4-2-5(9)7(11)6(10)3-4/h2-3,9-11H,1H3",FBSFWRHWHYMIOG-UHFFFAOYSA-N,赶黄草
PECH-112,没食子酸乙酯,Ethyl gallate,831-61-8,198.1740,C9H10O5,,酚酸,OC1=C(O)C(O)=CC(C(OCC)=O)=C1,"InChI=1S/C9H10O5/c1-2-14-9(13)5-3-6(10)8(12)7(11)4-5/h3-4,10-12H,2H2,1H3",VFPFQHQNJCMNBZ-UHFFFAOYSA-N,赶黄草
PECH-113,没食子酰葡萄糖苷,Gallic glucoside,13405-60-2,332.2610,C13H16O10,,酚酸,OC1=CC(C(O[C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O2)=O)=CC(O)=C1O,"InChI=1S/C13H16O10/c14-3-7-9(18)10(19)11(20)13(22-7)23-12(21)4-1-5(15)8(17)6(16)2-4/h1-2,7,9-11,13-20H,3H2/t7-,9-,10+,11-,13+/m1/s1",GDVRUDXLQBVIKP-HQHREHCSSA-N,赶黄草
PECH-114,"2,6-二羟基苯乙酮-4-O-β-D-葡萄糖苷","2,6-Dihydroxyacetophenon-4-O-β-D-glucoside",5027-30-5,330.2890,C14H18O9,,酚酸,CC(C1=C(O)C=C(O[C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O2)C=C1O)=O,"InChI=1S/C14H18O9/c1-5(16)10-7(17)2-6(3-8(10)18)22-14-13(21)12(20)11(19)9(4-15)23-14/h2-3,9,11-15,17-21H,4H2,1H3/t9-,11-,12+,13-,14-/m1/s1",ARYSAKCPIBLSDO-RGCYKPLRSA-N,赶黄草
PECH-115,邻苯二甲酸二异丁酯,Diisobutyl phthalate,84-69-5,278.3480,C16H22O4,,酚酸,O=C(OCC(C)C)C1=C(C(OCC(C)C)=O)C=CC=C1,"InChI=1S/C16H22O4/c1-11(2)9-19-15(17)13-7-5-6-8-14(13)16(18)20-10-12(3)4/h5-8,11-12H,9-10H2,1-4H3",MGWAVDBGNNKXQV-UHFFFAOYSA-N,赶黄草
PECH-116,阿魏酸葡萄糖苷,Ferulic acid 5-O-β-glucopyranoside,117405-51-3,356.3270,C16H20O9,,酚酸,O[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]1OC2=C(OC)C=C(C=C2)/C=C/C(O)=O,"InChI=1S/C16H20O9/c1-23-10-6-8(3-5-12(18)19)2-4-9(10)24-16-15(22)14(21)13(20)11(7-17)25-16/h2-6,11,13-17,20-22H,7H2,1H3,(H,18,19)/b5-3+/t11-,13-,14+,15-,16-/m1/s1",IEMIRSXOYFWPFD-BJGSYIFTSA-N,赶黄草
PECH-117,芥子酰葡萄糖苷,Sinapoylglucose,78185-48-5,386.3530,C17H22O10,,酚酸,O[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]1OC(/C=C/C2=CC(OC)=C(C([OH3]C)=C2)O)=O,"InChI=1S/C17H25O10/c1-24-9-5-8(6-10(25-2)13(9)20)3-4-12(19)27-17-16(23)15(22)14(21)11(7-18)26-17/h3-6,11,14-18,20-23H,7H2,1-2,24H3/b4-3+/t11-,14-,15+,16-,17+/m1/s1",OOOUFESHCQWUPP-DGDBGZAXSA-N,赶黄草
PECH-118,诃子次酸,Chebulic acid,402830-10-8,356.2390,C14H12O11,,酚酸,OC1=C(O)C([C@H]([C@H](C(O)=O)CC(O)=O)[C@@H](C(O)=O)OC2=O)=C2C=C1O,"InChI=1S/C14H12O11/c15-5-1-4-7(10(19)9(5)18)8(3(12(20)21)2-6(16)17)11(13(22)23)25-14(4)24/h1,3,8,11,15,18-19H,2H2,(H,16,17)(H,20,21)(H,22,23)/t3?,8-,11?/m0/s1",COZMWVAACFYLBI-CFHUBPRQSA-N,赶黄草
PECH-119,Penthorumnin B,Penthorumnin B,2307604-17-5,282.2040,C12H10O8,,酚酸,OC1=C(O)C(O)=C2C(C([C@@H](CC(O)=O)[C@@H]2C(O)=O)=O)=C1,"InChI=1S/C12H10O8/c13-5-1-3-7(11(18)10(5)17)8(12(19)20)4(9(3)16)2-6(14)15/h1,4,8,13,17-18H,2H2,(H,14,15)(H,19,20)/t4-,8?/m0/s1",BSHPYYLVWBUYOL-WSAWMEMJSA-N,赶黄草
PECH-120,"2,6-二羟基苯乙酮-5-(2'-亚甲基(5H)-呋喃酮)-4-O-β-D-葡萄糖苷","2,6-Dihydroxyacetophenone-5-(2'-methyene2(5H)-furanone)-5-O-β-D-glucopyranoside",1885097-48-2,426.3740,C19H22O11,,酚酸,CC(C1=C(O)C(CC2=CCOC2=O)=C([O])C=C1O)=O.O[C@@H]3[C@@H](O)[C@H](O)[C@@H](CO)OC3,"InChI=1S/C13H11O6.C6H12O5/c1-6(14)11-10(16)5-9(15)8(12(11)17)4-7-2-3-19-13(7)18;7-1-4-6(10)5(9)3(8)2-11-4/h2,5,16-17H,3-4H2,1H3;3-10H,1-2H2/t;3-,4+,5+,6+/m.0/s1",YJTWUUXGSJRJQZ-SSPAHAAFSA-N,赶黄草
PECH-121,E-苯丙烯-3-甲氧基-(6"-O-没食子酰基)-4-O-β-D-吡喃葡萄糖苷,E-Phenylpropene-3-methoxyphenyl-(6"-O-galloy)-5-O-β-D-glucopyranoside,1885097-47-1,478.4500,C23H26O11,,酚酸,C/C=C/C1=CC(OC)=C(O[C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](COC(C3=CC(O)=C(O)C(O)=C3)=O)O2)C=C1,"InChI=1S/C23H26O11/c1-3-4-11-5-6-15(16(7-11)31-2)33-23-21(29)20(28)19(27)17(34-23)10-32-22(30)12-8-13(24)18(26)14(25)9-12/h3-9,17,19-21,23-29H,10H2,1-2H3/b4-3+/t17-,19-,20+,21-,23-/m1/s1",MZKBXTKHJIPJNE-QJXDWCNQSA-N,赶黄草
PECH-122,乌苏酸,Ursolic acid,77-52-1,456.7110,C30H48O3,,三萜,O[C@H]1CC[C@@]2(C)C(CC[C@]3(C)C2CC=C4[C@@]3(C)CC[C@]5(C(O)=O)[C@H]4[C@@H](C)[C@H](C)CC5)C1(C)C,"InChI=1S/C30H48O3/c1-18-10-15-30(25(32)33)17-16-28(6)20(24(30)19(18)2)8-9-22-27(5)13-12-23(31)26(3,4)21(27)11-14-29(22,28)7/h8,18-19,21-24,31H,9-17H2,1-7H3,(H,32,33)/t18-,19+,21?,22?,23+,24+,27+,28-,29-,30+/m1/s1",WCGUUGGRBIKTOS-APYMDAETSA-N,赶黄草
PECH-123,扯根菜苷,/,/,748.9950, C42H68O11,,三萜,O[C@H]1CC[C@@]2(C)C(CC[C@]3(C)C2CC=C4[C@@]3(C)CC[C@]5(C(O[C@H]6[C@H](O[C@H]7[C@@H](O)[C@H](O)[C@H](O)[C@@H](C)O7)[C@H](O)[C@@H](O)[C@H](C)O6)=O)[C@H]4[C@@H](C)[C@H](C)CC5)C1(C)C,"InChI=1S/C42H68O11/c1-20-12-17-42(37(49)53-36-34(32(47)30(45)23(4)51-36)52-35-33(48)31(46)29(44)22(3)50-35)19-18-40(8)24(28(42)21(20)2)10-11-26-39(7)15-14-27(43)38(5,6)25(39)13-16-41(26,40)9/h10,20-23,25-36,43-48H,11-19H2,1-9H3/t20-,21+,22-,23+,25?,26?,27+,28+,29-,30+,31-,32-,33+,34-,35+,36+,39+,40-,41-,42+/m1/s1",FKPISMYENGPRCW-FTOSMZOVSA-N,赶黄草
PECH-124,熊果酸-28-木糖-(1→3)-葡萄糖苷,Ursolic acid-28-O-β-D-xylopyranosyl(1→3)-β-D-glucopyranoside,1032893-34-7,750.9670,C41H66O12,,三萜,O[C@H]1CC[C@@]2(C)C(CC[C@]3(C)C2CC=C4[C@@]3(C)CC[C@]5(C(O[C@H]6[C@H](O)[C@@H](O[C@H]7[C@H](O)[C@@H](O)[C@H](O)CO7)[C@H](O)[C@@H](CO)O6)=O)[C@H]4[C@@H](C)[C@H](C)CC5)C1(C)C,"InChI=1S/C41H66O12/c1-20-10-15-41(36(49)53-35-32(48)33(30(46)24(18-42)51-35)52-34-31(47)29(45)23(43)19-50-34)17-16-39(6)22(28(41)21(20)2)8-9-26-38(5)13-12-27(44)37(3,4)25(38)11-14-40(26,39)7/h8,20-21,23-35,42-48H,9-19H2,1-7H3/t20-,21+,23-,24-,25?,26?,27+,28+,29+,30-,31-,32-,33+,34+,35+,38+,39-,40-,41+/m1/s1",HLSCZJCMAUVYSU-MHEWDUDHSA-N,赶黄草
PECH-125,积雪草酸,Asiatic acid,464-92-6,488.7090,C30H48O5,,三萜,O[C@H]1C(O)C[C@@]2(C)C(CC[C@]3(C)C2CC=C4[C@@]3(C)CC[C@]5(C(O)=O)[C@H]4[C@@H](C)[C@H](C)CC5)[C@]1(C)CO,"InChI=1S/C30H48O5/c1-17-9-12-30(25(34)35)14-13-28(5)19(23(30)18(17)2)7-8-22-26(3)15-20(32)24(33)27(4,16-31)21(26)10-11-29(22,28)6/h7,17-18,20-24,31-33H,8-16H2,1-6H3,(H,34,35)/t17-,18+,20?,21?,22?,23+,24+,26+,27+,28-,29-,30+/m1/s1",JXSVIVRDWWRQRT-BTIPHHQGSA-N,赶黄草
PECH-126,羽扇豆醇,Lupeol,545-47-1,440.7560,C30H50O,,三萜,O[C@H]1CC[C@@]2(C)C(CC[C@]3(C)C2CC[C@H]4[C@@]3(C)CC[C@]5(C)C4[C@H](C(C)=C)CCC5)C1(C)C,"InChI=1S/C31H52O/c1-20(2)21-10-9-15-28(5)18-19-30(7)22(26(21)28)11-12-24-29(6)16-14-25(32)27(3,4)23(29)13-17-31(24,30)8/h21-26,32H,1,9-19H2,2-8H3/t21-,22+,23?,24?,25-,26?,28+,29-,30+,31+/m0/s1",HRWMOWFYWFIALW-HADNKQFYSA-N,赶黄草
PECH-127,桦林酸,Betulinic acid,472-15-1,470.7380,C30H48O3,,三萜,O[C@H]1CC[C@@]2(C)C(CC[C@]3(C)C2CC[C@H]4[C@@]3(C)CC[C@]5(C(O)=O)C4[C@H](C(C)=C)CCC5)C1(C)C,"InChI=1S/C31H50O3/c1-19(2)20-9-8-14-31(26(33)34)18-17-29(6)21(25(20)31)10-11-23-28(5)15-13-24(32)27(3,4)22(28)12-16-30(23,29)7/h20-25,32H,1,8-18H2,2-7H3,(H,33,34)/t20-,21+,22?,23?,24-,25?,28-,29+,30+,31?/m0/s1",KETOLWJMTAEGQL-IOZIHVLHSA-N,赶黄草
PECH-128,β-谷甾醇,β-Sitosterol,83-46-5,414.7181,C29H50O,,甾体,C[C@H](CC[C@@H](CC)C(C)C)[C@@H](CC1)[C@]2(C)C1[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)C3CC2,"InChI=1S/C29H50O/c1-7-21(19(2)3)9-8-20(4)25-12-13-26-24-11-10-22-18-23(30)14-16-28(22,5)27(24)15-17-29(25,26)6/h10,19-21,23-27,30H,7-9,11-18H2,1-6H3/t20-,21-,23+,24+,25-,26?,27?,28+,29-/m1/s1",KZJWDPNRJALLNS-QVMZLHHRSA-N,赶黄草
PECH-129,β-胡萝卜苷,β-Daucosterol,474-58-8,576.8590,C35H60O6,,甾体,C[C@H](CC[C@@H](CC)C(C)C)[C@@H](CC1)[C@]2(C)C1[C@@H]3CC=C4C[C@@H](O[C@H]5[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O5)CC[C@]4(C)C3CC2,"InChI=1S/C35H60O6/c1-7-22(20(2)3)9-8-21(4)26-12-13-27-25-11-10-23-18-24(14-16-34(23,5)28(25)15-17-35(26,27)6)40-33-32(39)31(38)30(37)29(19-36)41-33/h10,20-22,24-33,36-39H,7-9,11-19H2,1-6H3/t21-,22-,24+,25+,26-,27?,28?,29-,30-,31+,32-,33-,34+,35-/m1/s1",NPJICTMALKLTFW-WICMNWDDSA-N,赶黄草
PECH-130,癸酸乙酯,Ethyl caprate,110-38-3,200.3220,C12H24O2,,挥发油,O=C(OCC)CCCCCCCCC,"InChI=1S/C12H24O2/c1-3-5-6-7-8-9-10-11-12(13)14-4-2/h3-11H2,1-2H3",RGXWDWUGBIJHDO-UHFFFAOYSA-N,赶黄草
PECH-131,十二烷酸,Lauric acid,143-07-7,200.3220,C12H24O2,,脂肪酸,OC(CCCCCCCCCCC)=O,"InChI=1S/C12H24O2/c1-2-3-4-5-6-7-8-9-10-11-12(13)14/h2-11H2,1H3,(H,13,14)",POULHZVOKOAJMA-UHFFFAOYSA-N,赶黄草
PECH-132,十二烷酸乙酯,Ethyl dodecanoate,106-33-2,228.7560,C14H28O2,,其他,O=C(OCC)CCCCCCCCCCC,"InChI=1S/C14H28O2/c1-3-5-6-7-8-9-10-11-12-13-14(15)16-4-2/h3-13H2,1-2H3",MMXKVMNBHPAILY-UHFFFAOYSA-N,赶黄草
PECH-133,月桂酸甘油酯,1-Monolaurin,142-18-7,274.4010,C15H30O4,,其他,O=C(OCC(O)CO)CCCCCCCCCCC,"InChI=1S/C15H30O4/c1-2-3-4-5-6-7-8-9-10-11-15(18)19-13-14(17)12-16/h14,16-17H,2-13H2,1H3",ARIWANIATODDMH-UHFFFAOYSA-N,赶黄草
PECH-134,十三烷酸乙酯,Ethyl tridecanoate,28267-29-0,242.4030,C15H30O2,,其他,O=C(OCC)CCCCCCCCCCCC,"InChI=1S/C15H30O2/c1-3-5-6-7-8-9-10-11-12-13-14-15(16)17-4-2/h3-14H2,1-2H3",QJYYMNOTJXIOBP-UHFFFAOYSA-N,赶黄草
PECH-135,棕榈酸,Palmitic acid,57-10-3,256.4300,C16H32O2,,脂肪酸,OC(CCCCCCCCCCCCCCC)=O,"InChI=1S/C16H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h2-15H2,1H3,(H,17,18)",IPCSVZSSVZVIGE-UHFFFAOYSA-N,赶黄草
PECH-136,棕榈酸乙酯,Ethyl palmitate,628-97-7,284.4840,C18H36O2,,其他,O=C(OCC)CCCCCCCCCCCCCCC,"InChI=1S/C18H36O2/c1-3-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20-4-2/h3-17H2,1-2H3",XIRNKXNNONJFQO-UHFFFAOYSA-N,赶黄草
PECH-137,棕榈酸甘油酯,1-Monopalmitin,542-44-9,330.5090,C19H38O4,,其他,O=C(OCC(O)CO)CCCCCCCCCCCCCCC,"InChI=1S/C19H38O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-19(22)23-17-18(21)16-20/h18,20-21H,2-17H2,1H3",QHZLMUACJMDIAE-UHFFFAOYSA-N,赶黄草
PECH-138,9-十六烯酸乙酯,Ethyl (9E)-9-hexadecenoate,68862-27-1,282.4680,C18H34O2,,其他,O=C(OCC)CCCCCCC/C=C/CCCCCC,"InChI=1S/C18H34O2/c1-3-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20-4-2/h9-10H,3-8,11-17H2,1-2H3/b10-9+",JELGPLUONQGOHF-MDZDMXLPSA-N,赶黄草
PECH-139,反式-11-十六烯酸乙酯,(E)-Ethyl hexadec-11-enoate,428818-84-2,282.4680,C18H34O2,,其他,O=C(OCC)CCCCCCCCC/C=C/CCCC,"InChI=1S/C18H34O2/c1-3-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20-4-2/h7-8H,3-6,9-17H2,1-2H3/b8-7+",ORDVGMQAZDTLDF-BQYQJAHWSA-N,赶黄草
PECH-140,反式-9-十八烯酸乙酯,Ethyl elaidate,6114-18-7,310.5220,C20H38O2,,其他,O=C(OCC)CCCCCCC/C=C/CCCCCCCC,"InChI=1S/C20H38O2/c1-3-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22-4-2/h11-12H,3-10,13-19H2,1-2H3/b12-11+",LVGKNOAMLMIIKO-VAWYXSNFSA-N,赶黄草
PECH-141,亚油酸乙酯,Ethyl linolelaidate,6114-21-2,308.5060,C20H36O2,,其他,O=C(OCC)CCCCCCC/C=C/C/C=C/CCCCC,"InChI=1S/C20H36O2/c1-3-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22-4-2/h8-9,11-12H,3-7,10,13-19H2,1-2H3/b9-8+,12-11+",FMMOOAYVCKXGMF-MVKOLZDDSA-N,赶黄草
