编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,类别,smiles,inchi,inchikey,药材名称
PECH-063,槲皮素-3'-O-鼠李糖苷,Quercetin-3'-O-rhamnoside,1198356-96-5,448.3800,C21H20O11,,黄酮,O[C@@H]1[C@H](O)[C@@H](O)[C@H](C)OC1.O=C2C3=C(O)C=C(O)C=C3OC(C4=CC=C(O)C([O])=C4)=C2O,"InChI=1S/C15H9O7.C6H12O4/c16-7-4-10(19)12-11(5-7)22-15(14(21)13(12)20)6-1-2-8(17)9(18)3-6;1-3-5(8)6(9)4(7)2-10-3/h1-5,16-17,19,21H;3-9H,2H2,1H3/t;3-,4-,5-,6-/m.0/s1",HQUZJADUOHGUMT-KOUUCGNVSA-N,赶黄草
PECH-064,"槲皮素-5,7-O-二葡萄糖苷",Quercetin di-O-glycoside, 1383436-81-4,626.5200,C27H30O17,,黄酮,O=C1C2=C(O[C@H]3[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O3)C=C([O])C=C2OC(C4=CC=C(O)C(O)=C4)=C1O.O[C@@H]5[C@@H](O)[C@H](O)[C@@H](CO)OC5,"InChI=1S/C21H19O12.C6H12O5/c22-6-13-15(26)17(28)19(30)21(33-13)32-12-5-8(23)4-11-14(12)16(27)18(29)20(31-11)7-1-2-9(24)10(25)3-7;7-1-4-6(10)5(9)3(8)2-11-4/h1-5,13,15,17,19,21-22,24-26,28-30H,6H2;3-10H,1-2H2/t13-,15-,17+,19-,21-;3-,4+,5+,6+/m10/s1",NGUUUHIXOROBDS-RKBWIFTLSA-N,赶黄草
PECH-065,金粉蕨素,Onychin,13241-31-1,564.5400,C27H32O13,,黄酮,O=C1C2=C(O)C=C(O[C@H]3[C@H](O[C@H]4[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O4)[C@@H](O)[C@H](O)[C@@H](CO)O3)C=C2OC(C5=CC=CC=C5)C1,"InChI=1S/C27H32O13/c1-11-20(31)22(33)24(35)26(36-11)40-25-23(34)21(32)18(10-28)39-27(25)37-13-7-14(29)19-15(30)9-16(38-17(19)8-13)12-5-3-2-4-6-12/h2-8,11,16,18,20-29,31-35H,9-10H2,1H3/t11-,16?,18+,20-,21+,22+,23-,24+,25+,26-,27+/m0/s1",UVPBNPUZWAOBQX-IMOYXIHQSA-N,赶黄草
PECH-066,球松素,Pinostrobin,75291-74-6,270.2840,C16H14O4,,黄酮,O=C1C2=C(O)C=C([OH3]C)C=C2OC(C3=CC=CC=C3)C1,"InChI=1S/C16H17O4/c1-19-11-7-12(17)16-13(18)9-14(20-15(16)8-11)10-5-3-2-4-6-10/h2-8,14,17H,9H2,1,19H3",PFRJXJZYDZTNLT-UHFFFAOYSA-N,赶黄草
PECH-067,表儿茶素,Epicatechin,490-46-0,290.2710,C15H14O6,,黄酮,OC1=CC(O)=C(C[C@@H](O)[C@H]2C3=CC=C(O)C(O)=C3)C(O2)=C1,"InChI=1S/C15H14O6/c16-8-4-11(18)9-6-13(20)15(21-14(9)5-8)7-1-2-10(17)12(19)3-7/h1-5,13,15-20H,6H2/t13-,15-/m1/s1",PFTAWBLQPZVEMU-UKRRQHHQSA-N,赶黄草
PECH-068,儿茶素,Catechin,154-23-4,290.2710,C15H14O6,,黄酮,OC1=CC(O)=C(C[C@H](O)[C@H]2C3=CC=C(O)C(O)=C3)C(O2)=C1,"InChI=1S/C15H14O6/c16-8-4-11(18)9-6-13(20)15(21-14(9)5-8)7-1-2-10(17)12(19)3-7/h1-5,13,15-20H,6H2/t13-,15+/m0/s1",PFTAWBLQPZVEMU-DZGCQCFKSA-N,赶黄草
PECH-069,大豆苷元,Daidzein,486-66-8,254.2410,C15H10O4,,黄酮,O=C1C2=CC=C(O)C=C2OC=C1C3=CC=C(O)C=C3,"InChI=1S/C15H10O4/c16-10-3-1-9(2-4-10)13-8-19-14-7-11(17)5-6-12(14)15(13)18/h1-8,16-17H",ZQSIJRDFPHDXIC-UHFFFAOYSA-N,赶黄草
PECH-070,乔松素查尔酮,Pinocembrin chalcone,82451-30-7,256.2570,C15H12O4,,黄酮,OC1=CC(O)=CC(O)=C1C(/C=C/C2=CC=CC=C2)=O,"InChI=1S/C15H12O4/c16-11-8-13(18)15(14(19)9-11)12(17)7-6-10-4-2-1-3-5-10/h1-9,16,18-19H/b7-6+",LOYXTWZXLWHMBX-VOTSOKGWSA-N,赶黄草
PECH-071,球松素查尔酮,Pinostrobin chalcone,18956-15-5,270.2840,C16H14O4,,黄酮,OC1=CC([OH3]C)=CC(O)=C1C(/C=C/C2=CC=CC=C2)=O,"InChI=1S/C16H17O4/c1-20-12-9-14(18)16(15(19)10-12)13(17)8-7-11-5-3-2-4-6-11/h2-10,18-19H,1,20H3/b8-7+",SWDBZTGIRIZDLL-BQYQJAHWSA-N,赶黄草
PECH-072,"2-Hydrocinnamoyl-3,5-dihydroxyphenyl β-D-glucopyranoside","2-Hydrocinnamoyl-3,5-dihydroxyphenyl β-D-glucopyranoside",31018-48-1,420.1420,C21H24O9,,黄酮,OC1=CC(O)=CC(O[C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O2)=C1C(CCC3=CC=CC=C3)=O,"InChI=1S/C21H24O9/c22-10-16-18(26)19(27)20(28)21(30-16)29-15-9-12(23)8-14(25)17(15)13(24)7-6-11-4-2-1-3-5-11/h1-5,8-9,16,18-23,25-28H,6-7,10H2/t16-,18-,19+,20-,21-/m1/s1",NLGUKXQDDTZCDG-QNDFHXLGSA-N,赶黄草
PECH-073,"(7'E)-3,4,8-Trihydroxy-2,4'-epoxy-8,3'-neolign-7'-en-7-one","(7'E)-3,4,8-Trihydroxy-2,4'-epoxy-8,3'-neolign-7'-en-7-one",/,312.3210,C18H16O5,,酚酸,OC1=CC=C2C(OC(C=CC(/C=C/C)=C3)=C3C(C)(O)C2=O)=C1O,"InChI=1S/C18H16O5/c1-3-4-10-5-8-14-12(9-10)18(2,22)17(21)11-6-7-13(19)15(20)16(11)23-14/h3-9,19-20,22H,1-2H3/b4-3+",PCBLLTRKTJJIMN-ONEGZZNKSA-N,赶黄草
PECH-074,"(7'E)-2',3,4-Trihydroxy-2,4'-epoxy-8,5'-neolign-7'-en-7-one","(7'E)-2',3,4-Trihydroxy-2,4'-epoxy-8,5'-neolign-7'-en-7-one",/,312.3210,C18H16O5,,苯丙素,OC1=CC=C2C(OC(C=C(O)C(/C=C/C)=C3)=C3C(C)C2=O)=C1O,"InChI=1S/C18H16O5/c1-3-4-10-7-12-9(2)16(21)11-5-6-13(19)17(22)18(11)23-15(12)8-14(10)20/h3-9,19-20,22H,1-2H3/b4-3+",ACCFNQXNEOMMNE-ONEGZZNKSA-N,赶黄草
PECH-075,戊菊素B,Penthorin B,1829587-76-9,326.3480,C19H18O5,, 苯丙素,OC1=CC=C2C(OC(C=C(O)C(/C=C\C)=C3)=C3[C@H](C)C2=O)=C1OC,"InChI=1S/C19H18O5/c1-4-5-11-8-13-10(2)17(22)12-6-7-14(20)19(23-3)18(12)24-16(13)9-15(11)21/h4-10,20-21H,1-3H3/b5-4-/t10-/m0/s1",KDWBNSMFHCKUHJ-LWTINBJPSA-N,赶黄草
