编号,化合物名称,英文名称,CAS号,分子量,分子式,2d图,分类,smiles,inchi,inchikey,药材名称
CSL-19,7-表紫杉醇,7-Epitaxol,105454-04-4,853.91,C47H51NO14,,萜类,O=C(C1=CC=CC=C1)OC2C3C4(COC4CC(C3(C)C(C(C5=C(C(CC2(C5(C)C)O)OC(C(C(C6=CC=CC=C6)NC(C7=CC=CC=C7)=O)O)=O)C)OC(C)=O)=O)O)OC(C)=O,"InChI=1S/C47H51NO14/c1-25-31(60-43(56)36(52)35(28-16-10-7-11-17-28)48-41(54)29-18-12-8-13-19-29)23-47(57)40(61-42(55)30-20-14-9-15-21-30)38-45(6,32(51)22-33-46(38,24-58-33)62-27(3)50)39(53)37(59-26(2)49)34(25)44(47,4)5/h7-21,31-33,35-38,40,51-52,57H,22-24H2,1-6H3,(H,48,54)",RCINICONZNJXQF-UHFFFAOYSA-N,穿山龙
CSL-20,"Delta3,5-Deoxytigogenin","Delta3,5-Deoxytigogenin",1672-65-7,396.6,C27H40O2,,三萜类,CC1COC2(OC3CC4C5CC=C6C=CCCC6(C5CCC4(C3C2C)C)C)CC1,"InChI=1S/C27H40O2/c1-17-10-14-27(28-16-17)18(2)24-23(29-27)15-22-20-9-8-19-7-5-6-12-25(19,3)21(20)11-13-26(22,24)4/h5,7-8,17-18,20-24H,6,9-16H2,1-4H3",YEQBGJNMHDZXRG-UHFFFAOYSA-N,穿山龙
CSL-21,脱氧鸭嘴花碱酮,Deoxyvasicinone,530-53-0,186.21,C11H10N2O,,生物碱类,O=C1C2=C(N=C3N1CCC3)C=CC=C2,"InChI=1S/C11H10N2O/c14-11-8-4-1-2-5-9(8)12-10-6-3-7-13(10)11/h1-2,4-5H,3,6-7H2",VARHXCYGZKSOOO-UHFFFAOYSA-N,穿山龙
CSL-22,黄山药皂苷 C,Dioscoreside C,344912-80-7,1061.2,C52H84O22,,三萜类,OCC1OC(C(C(C1O)O)O)OCC(CC(C2=C(C)C3C4(C)CCC5C6(C)CCC(OC7OC(C(C(C7OC8OC(C(C(C8O)O)O)C)O)OC9OC(C(C(C9O)O)O)C)CO)CC6=CCC5C4CC3O2)OC)C,"InChI=1S/C52H84O22/c1-20(19-66-47-40(61)39(60)36(57)31(17-53)71-47)14-30(65-7)44-21(2)33-29(70-44)16-28-26-9-8-24-15-25(10-12-51(24,5)27(26)11-13-52(28,33)6)69-50-46(74-49-42(63)38(59)35(56)23(4)68-49)43(64)45(32(18-54)72-50)73-48-41(62)37(58)34(55)22(3)67-48/h8,20,22-23,25-43,45-50,53-64H,9-19H2,1-7H3",GOKDEZKNKCIMJT-UHFFFAOYSA-N,穿山龙
CSL-23,薯蓣皂苷元乙酸酯,Diosgenin acetate,1061-54-7,456.66,C29H44O4,,三萜类,O=C(C)OC1CC2=CCC3C(C2(CC1)C)CCC4(C3CC5OC6(C(C54)C)OCC(CC6)C)C,"InChI=1S/C29H44O4/c1-17-8-13-29(31-16-17)18(2)26-25(33-29)15-24-22-7-6-20-14-21(32-19(3)30)9-11-27(20,4)23(22)10-12-28(24,26)5/h6,17-18,21-26H,7-16H2,1-5H3",CZCROZIJKBXZDP-UHFFFAOYSA-N,穿山龙
CSL-24,薯蓣皂苷元棕榈酸酯,Diosgenin palmitate,4952-66-3,653,C43H72O4,,三萜类,O=C(CCCCCCCCCCCCCCC)OC1CC2=CCC3C(C2(CC1)C)CCC4(C3CC5OC6(C(C54)C)OCC(CC6)C)C,"InChI=1S/C43H72O4/c1-6-7-8-9-10-11-12-13-14-15-16-17-18-19-39(44)46-34-23-25-41(4)33(28-34)20-21-35-36(41)24-26-42(5)37(35)29-38-40(42)32(3)43(47-38)27-22-31(2)30-45-43/h20,31-32,34-38,40H,6-19,21-30H2,1-5H3",UTLFPCHHNIPLBC-UHFFFAOYSA-N,穿山龙
CSL-25,异落新妇苷,Smitilbin,54081-48-0,450.39,C21H22O11,,黄酮类,O=C1C2=C(OC(C1OC3OC(C(C(C3O)O)O)C)C4=CC=C(C(O)=C4)O)C=C(O)C=C2O,"InChI=1S/C21H22O11/c1-7-15(26)17(28)18(29)21(30-7)32-20-16(27)14-12(25)5-9(22)6-13(14)31-19(20)8-2-3-10(23)11(24)4-8/h2-7,15,17-26,28-29H,1H3",ZROGCCBNZBKLEL-UHFFFAOYSA-N,穿山龙
CSL-26,对-羟苄基酒石酸,piscidiccacid," 
469-65-8",256.21,C11H12O7,,酚酸类,O=C(C(C(C(O)=O)(CC1=CC=C(C=C1)O)O)O)O,"InChI=1S/C11H12O7/c12-7-3-1-6(2-4-7)5-11(18,10(16)17)8(13)9(14)15/h1-4,8,12-13,18H,5H2,(H,14,15)(H,16,17)",TUODPMGCCJSJRH-UHFFFAOYSA-N,穿山龙
CSL-27,丁香脂素-4-O-β-D-吡喃葡萄糖苷,syringaresinol-4-O-β-D-glucopyranoside,137038-13-2,580.58,C28H36O13,,其他类,OC1=C(C=C(C2OCC3C(C4=CC(OC)=C(C(OC)=C4)OC5OC(C(C(C5O)O)O)CO)OCC23)C=C1OC)OC,"InChI=1S/C28H36O13/c1-34-16-5-12(6-17(35-2)21(16)30)25-14-10-39-26(15(14)11-38-25)13-7-18(36-3)27(19(8-13)37-4)41-28-24(33)23(32)22(31)20(9-29)40-28/h5-8,14-15,20,22-26,28-33H,9-11H2,1-4H3",WEKCEGQSIIQPAQ-UHFFFAOYSA-N,穿山龙
CSL-28,环(酪氨酸-亮氨酸)二肽,cyclo-(Leu-Tyr),82863-65-8,276.33,C15H20N2O3,,氨基酸,O=C1NC(CC(C)C)C(NC1CC2=CC=C(C=C2)O)=O,"InChI=1S/C15H20N2O3/c1-9(2)7-12-14(19)17-13(15(20)16-12)8-10-3-5-11(18)6-4-10/h3-6,9,12-13,18H,7-8H2,1-2H3,(H,16,20)(H,17,19)",GENSLUDVKWKQMX-UHFFFAOYSA-N,穿山龙
