Number,compounds（英文）,compounds,Molecular formula,Molecular weight,CAS No.,结构式,,smiles,inchi,inchikey,药物名称
ADC-155,3-epioleanolic acid,3-表齐墩果酸,C30H48O3,456.70 ,25499-90-5,,三萜,C[C@@]12C(CC[C@]3(C)C2CC=C4[C@@]3(C)CC[C@]5(C(O)=O)[C@@]4([H])CC(C)(C)CC5)C(C)(C)[C@H](O)CC1,"InChI=1S/C30H48O3/c1-25(2)14-16-30(24(32)33)17-15-28(6)19(20(30)18-25)8-9-22-27(5)12-11-23(31)26(3,4)21(27)10-13-29(22,28)7/h8,20-23,31H,9-18H2,1-7H3,(H,32,33)/t20-,21?,22?,23+,27-,28+,29+,30-/m0/s1",MIJYXULNPSFWEK-MTGKVMAVSA-N,矮地茶
ADC-156,Oleanolic acid,齐墩果酸,C30H48O3,456.70 ,508-02-1,,三萜,[H][C@@]12[C@@](CCC(C)(C)C2)(C(O)=O)CC[C@@]3(C)[C@]4(C)CC[C@@]5([H])C(C)(C)[C@@H](O)CC[C@]5(C)[C@@]4([H])CC=C31,"InChI=1S/C30H48O3/c1-25(2)14-16-30(24(32)33)17-15-28(6)19(20(30)18-25)8-9-22-27(5)12-11-23(31)26(3,4)21(27)10-13-29(22,28)7/h8,20-23,31H,9-18H2,1-7H3,(H,32,33)/t20-,21-,22+,23-,27-,28+,29+,30-/m0/s1",MIJYXULNPSFWEK-GTOFXWBISA-N,矮地茶
ADC-157,Epigallocatechin gallate,(-)-表没食子儿茶素没食子酸酯,C22H18O11,458.37 ,989-51-5,,黄酮,O=C(C1=CC(O)=C(O)C(O)=C1)O[C@H]2[C@@H](C3=CC(O)=C(O)C(O)=C3)OC4=C(C(O)=CC(O)=C4)C2,"InChI=1S/C22H18O11/c23-10-5-12(24)11-7-18(33-22(31)9-3-15(27)20(30)16(28)4-9)21(32-17(11)6-10)8-1-13(25)19(29)14(26)2-8/h1-6,18,21,23-30H,7H2/t18-,21-/m1/s1",WMBWREPUVVBILR-WIYYLYMNSA-N,矮地茶
ADC-158,Gallocatechin gallate,,C22H18O11,458.37 ,5127-64-0,,黄酮,OC1=CC([C@@H]2[C@@H](OC(C3=CC(O)=C(O)C(O)=C3)=O)CC4=C(O)C=C(O)C=C4O2)=CC(O)=C1O,"InChI=1S/C22H18O11/c23-10-5-12(24)11-7-18(33-22(31)9-3-15(27)20(30)16(28)4-9)21(32-17(11)6-10)8-1-13(25)19(29)14(26)2-8/h1-6,18,21,23-30H,7H2/t18-,21+/m0/s1",WMBWREPUVVBILR-GHTZIAJQSA-N,矮地茶
ADC-159,NP-021292,,C30H50O3,458.70 ,115334-05-9,,三萜,C[C@H]([C@@H]1CC[C@@]2(C)[C@@]1(C)CC[C@H]3C2=CC[C@@H]4[C@]3(C)CC[C@H](O)C4(C)C)C[C@@H](O)[C@H]5C(C)(C)O5,"InChI=1S/C30H50O3/c1-18(17-22(31)25-27(4,5)33-25)19-11-15-30(8)21-9-10-23-26(2,3)24(32)13-14-28(23,6)20(21)12-16-29(19,30)7/h9,18-20,22-25,31-32H,10-17H2,1-8H3/t18-,19-,20-,22+,23-,24-,25-,28+,29-,30+/m0/s1",UMTABACRBSGXGK-ZAVAKTSASA-N,矮地茶
ADC-160,Myricitrin,杨梅苷； 五羟基黄酮-3-鼠李糖苷,C21H20O12,464.38 ,17912-87-7,,黄酮,O=C1C(O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)=C(C3=CC(O)=C(O)C(O)=C3)OC4=C1C(O)=CC(O)=C4,"InChI=1S/C21H20O12/c1-6-14(26)17(29)18(30)21(31-6)33-20-16(28)13-9(23)4-8(22)5-12(13)32-19(20)7-2-10(24)15(27)11(25)3-7/h2-6,14,17-18,21-27,29-30H,1H3/t6-,14-,17+,18+,21-/m0/s1",DCYOADKBABEMIQ-OWMUPTOHSA-N,矮地茶
ADC-161,18-β-Glycyrrhetinic acid,甘草次酸,C30H46O4,470.68 ,471-53-4,,三萜,O[C@H]1CC[C@@]2(C)C(CC[C@]([C@@](CC[C@]3(C)[C@@]4([H])C[C@](C(O)=O)(C)CC3)(C)C4=C5)(C)C2C5=O)C1(C)C,"InChI=1S/C30H46O4/c1-25(2)21-8-11-30(7)23(28(21,5)10-9-22(25)32)20(31)16-18-19-17-27(4,24(33)34)13-12-26(19,3)14-15-29(18,30)6/h16,19,21-23,32H,8-15,17H2,1-7H3,(H,33,34)/t19-,21?,22-,23?,26+,27-,28-,29+,30+/m0/s1",MPDGHEJMBKOTSU-VOPRYAMFSA-N,矮地茶
ADC-162,cyclamiretin A,,C30H48O4,472.70 ,5172-34-9,,三萜,C[C@]1(C=O)CC[C@@]23CO[C@@]4(CC[C@@H]5[C@@]6(C)CC[C@H](O)C(C)(C)[C@@H]6CC[C@@]5(C)[C@]4(C)C[C@H]3O)[C@@H]2C1,"InChI=1S/C30H48O4/c1-24(2)19-7-11-27(5)20(26(19,4)10-9-22(24)32)8-12-30-21-15-25(3,17-31)13-14-29(21,18-34-30)23(33)16-28(27,30)6/h17,19-23,32-33H,7-16,18H2,1-6H3/t19-,20+,21+,22-,23+,25-,26-,27+,28-,29+,30-/m0/s1",UBWMMEPLQFWYCH-GFRLSDCRSA-N,矮地茶
ADC-163,Gossypin,棉纤维素,C21H20O13,480.38 ,652-78-8,,黄酮,O=C1C(C(O)=CC(O)=C2OC([C@H](O)[C@@H](O)[C@@H]3O)O[C@@H]3CO)=C2OC(C(C=C4O)=CC=C4O)=C1O,"InChI=1S/C21H20O13/c22-5-11-13(27)15(29)17(31)21(32-11)34-19-10(26)4-9(25)12-14(28)16(30)18(33-20(12)19)6-1-2-7(23)8(24)3-6/h1-4,11,13,15,17,21-27,29-31H,5H2/t11-,13-,15+,17-,21?/m1/s1",SJRXVLUZMMDCNG-DPJMTGJNSA-N,矮地茶
ADC-164,Myricetin 3-O-galactoside,杨梅酮3-O-半乳糖苷,C21H20O13,480.38 ,15648-86-9,,黄酮,O=C1C(O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)[C@@H](CO)O2)=C(C3=CC(O)=C(O)C(O)=C3)OC4=C1C(O)=CC(O)=C4,"InChI=1S/C21H20O13/c22-5-12-15(28)17(30)18(31)21(33-12)34-20-16(29)13-8(24)3-7(23)4-11(13)32-19(20)6-1-9(25)14(27)10(26)2-6/h1-4,12,15,17-18,21-28,30-31H,5H2/t12-,15+,17+,18-,21+/m1/s1",FOHXFLPXBUAOJM-MGMURXEASA-N,矮地茶
