编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,结构,smiles,inchi,inchikey,药材名称
DISU-064,大黄素甲醚,Physcion,521-61-9,284.267,C16H12O5,,蒽醌类,O=C1C2=C(C(O)=CC(OC)=C2)C(C3=C(O)C=C(C)C=C31)=O,"InChI=1S/C16H12O5/c1-7-3-9-13(11(17)4-7)16(20)14-10(15(9)19)5-8(21-2)6-12(14)18/h3-6,17-18H,1-2H3",FFWOKTFYGVYKIR-UHFFFAOYSA-N,瞿麦
DISU-065,大黄素-8-O-β-D-葡萄糖苷,Emodin‑8‑O‑β‑D‑glucopyranoside,23313-21-5,432.381,C21H20O10,,蒽醌类,O=C1C2=C(C(O[C@H]3[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O3)=CC(O)=C2)C(C4=C(O)C=C(C)C=C41)=O,"InChI=1S/C21H20O10/c1-7-2-9-14(11(24)3-7)18(27)15-10(16(9)25)4-8(23)5-12(15)30-21-20(29)19(28)17(26)13(6-22)31-21/h2-5,13,17,19-24,26,28-29H,6H2,1H3/t13-,17-,19+,20-,21-/m1/s1",HSWIRQIYASIOBE-JNHRPPPUSA-N,瞿麦
DISU-066,大黄素甲醚-8-O-葡萄糖苷,Physcion‑8‑O‑β‑D‑glucoside,23451-01-6,446.408,C22H22O10,,蒽醌类,O=C1C2=C(C(O[C@H]3[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O3)=CC(OC)=C2)C(C4=C(O)C=C(C)C=C41)=O,"InChI=1S/C22H22O10/c1-8-3-10-15(12(24)4-8)19(27)16-11(17(10)25)5-9(30-2)6-13(16)31-22-21(29)20(28)18(26)14(7-23)32-22/h3-6,14,18,20-24,26,28-29H,7H2,1-2H3/t14-,18-,20+,21-,22-/m1/s1",POMKXWCJRHNLRP-DQMLXFRHSA-N,瞿麦
DISU-067,,MelrubiellinA,1571909-10-8,584.577,C33H28O10,,蒽醌类,OC1=C2C(C(C(C(C3CCC(O)C4(O)C35C(OC(C)=O)C6=C(C(OC)=CC(C)=C6)C4=O)=C(C5)C=C7O)=C7C2=O)=O)=CC=C1,"InChI=1S/C33H28O10/c1-13-9-17-25(21(10-13)42-3)30(40)33(41)22(37)8-7-18-23-15(12-32(18,33)31(17)43-14(2)34)11-20(36)26-27(23)28(38)16-5-4-6-19(35)24(16)29(26)39/h4-6,9-11,18,22,31,35-37,41H,7-8,12H2,1-3H3",CHYMIQPVEJMSCY-UHFFFAOYSA-N,瞿麦
DISU-068,,MelrubiellinB,1571909-11-9,600.576,C33H28O11,,蒽醌类,OC1=C2C(C(C(C(C3CCC(O)C4(O)C35C(OC(C)=O)C6=C(C(OC)=CC(C)=C6)C4=O)=C(C5)C=C7O)=C7C2=O)=O)=C(O)C=C1,"InChI=1S/C33H28O11/c1-12-8-15-23(20(9-12)43-3)30(41)33(42)21(38)7-4-16-22-14(11-32(16,33)31(15)44-13(2)34)10-19(37)26-27(22)29(40)25-18(36)6-5-17(35)24(25)28(26)39/h5-6,8-10,16,21,31,35-38,42H,4,7,11H2,1-3H3",HYZJJZSLZBNBNQ-UHFFFAOYSA-N,瞿麦
DISU-069,4-羟基苯甲酸,4-Hydroxybenzoic acid,99-96-7,138.122,C7H6O3,,酚酸,OC1=CC=C(C(O)=O)C=C1,"InChI=1S/C7H6O3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H,(H,9,10)",FJKROLUGYXJWQN-UHFFFAOYSA-N,瞿麦
DISU-070,3-羟基-4-甲氧基苯甲酸,3‑Hydroxy‑4‑methoxybenzoic acid,645-08-9,168.148,C8H8O4,,酚酸,OC1=C(OC)C=CC(C(O)=O)=C1,"InChI=1S/C8H8O4/c1-12-7-3-2-5(8(10)11)4-6(7)9/h2-4,9H,1H3,(H,10,11)",LBKFGYZQBSGRHY-UHFFFAOYSA-N,瞿麦
DISU-071,"3,4-二羟基苯甲酸甲酯","Methyl 3,4‑dihydroxybenzoate",2150-43-8,168.148,C8H8O4,,酚酸,OC1=C(O)C=CC(C(OC)=O)=C1,"InChI=1S/C8H8O4/c1-12-8(11)5-2-3-6(9)7(10)4-5/h2-4,9-10H,1H3",CUFLZUDASVUNOE-UHFFFAOYSA-N,瞿麦
DISU-072,"3-(3',4'-二羟基苯基)丙酸甲酯","Methyl 3‑(3',4'‑dihydroxyphenyl) propionate",3598-22-9,196.202,C10H12O4,,酚酸,OC1=C(O)C=CC(CCC(OC)=O)=C1,"InChI=1S/C10H12O4/c1-14-10(13)5-3-7-2-4-8(11)9(12)6-7/h2,4,6,11-12H,3,5H2,1H3",NTULQOXXTCSEHM-UHFFFAOYSA-N,瞿麦
DISU-073,4-羟基-3-甲氧基苯丙酸 6-乙基辛酯,6-Ethyloctyl 4-hydroxy-3-methoxybenzenepropanoate,2250131-84-9,336.472,C20H32O4,,苯丙素类,OC1=C(OC)C=C(CCC(OCCCCCC(CC)CC)=O)C=C1,"InChI=1S/C20H32O4/c1-4-16(5-2)9-7-6-8-14-24-20(22)13-11-17-10-12-18(21)19(15-17)23-3/h10,12,15-16,21H,4-9,11,13-14H2,1-3H3",RJECXAAKVXSKSY-UHFFFAOYSA-N,瞿麦
DISU-074,香草酸,Vanillic acid,121-34-6,168.148,C8H8O4,,酚酸,OC1=C(OC)C=C(C(O)=O)C=C1,"InChI=1S/C8H8O4/c1-12-7-4-5(8(10)11)2-3-6(7)9/h2-4,9H,1H3,(H,10,11)",WKOLLVMJNQIZCI-UHFFFAOYSA-N,瞿麦
DISU-075,4-羟基苯乙酸,4‑Hydroxy‑benzeneacetic acid,156-38-7,152.149, C8H8O3,,酚酸,OC1=CC=C(CC(O)=O)C=C1,"InChI=1S/C8H8O3/c9-7-3-1-6(2-4-7)5-8(10)11/h1-4,9H,5H2,(H,10,11)",XQXPVVBIMDBYFF-UHFFFAOYSA-N,瞿麦
DISU-076,高香草醇,Homovanillyl alcohol,2380-78-1,168.192,C9H12O3,,酚酸,OC1=C(OC)C=C(CCO)C=C1,"InChI=1S/C9H12O3/c1-12-9-6-7(4-5-10)2-3-8(9)11/h2-3,6,10-11H,4-5H2,1H3",XHUBSJRBOQIZNI-UHFFFAOYSA-N,瞿麦
DISU-077,3-(4-羟基-3-甲氧苯基)丙酸,Dihydroferulic acid,1135-23-5,196.202,C10H12O4,,酚酸,OC1=C(OC)C=C(CCC(O)=O)C=C1,"InChI=1S/C10H12O4/c1-14-9-6-7(2-4-8(9)11)3-5-10(12)13/h2,4,6,11H,3,5H2,1H3,(H,12,13)",BOLQJTPHPSDZHR-UHFFFAOYSA-N,瞿麦
DISU-078,3-(4-羟基-3-甲氧基苯基)丙酸甲酯,Methyl 3-(4-hydroxy-3-methoxyphenyl)propanoate,56024-44-3,210.229,C11H14O4,,酚酸,OC1=C(OC)C=C(CCC(OC)=O)C=C1,"InChI=1S/C11H14O4/c1-14-10-7-8(3-5-9(10)12)4-6-11(13)15-2/h3,5,7,12H,4,6H2,1-2H3",PDTCYIZPTRRYOT-UHFFFAOYSA-N,瞿麦
DISU-079,反式对羟基肉桂酸,trans-4-Hydroxycinnamic acid,501-98-4,164.16,C9H8O3,,酚酸,OC1=CC=C(/C=C/C(O)=O)C=C1,"InChI=1S/C9H8O3/c10-8-4-1-7(2-5-8)3-6-9(11)12/h1-6,10H,(H,11,12)/b6-3+",NGSWKAQJJWESNS-ZZXKWVIFSA-N,瞿麦
DISU-080,邻苯二酚,Catechol,120-80-9,110.112,C6H6O2,,其他,OC1=CC=CC=C1O,"InChI=1S/C6H6O2/c7-5-3-1-2-4-6(5)8/h1-4,7-8H",YCIMNLLNPGFGHC-UHFFFAOYSA-N,瞿麦
DISU-081,水杨酸,Salicylic acid,69-72-7,138.122,C7H6O3,,酚酸,OC1=CC=CC=C1C(O)=O,"InChI=1S/C7H6O3/c8-6-4-2-1-3-5(6)7(9)10/h1-4,8H,(H,9,10)",YGSDEFSMJLZEOE-UHFFFAOYSA-N,瞿麦
DISU-082,,β-Hydroxypropiovanillone,2196-18-1,196.202,C10H12O4,,苯丙素类,OC1=C(OC)C=C(C(CCO)=O)C=C1,"InChI=1S/C10H12O4/c1-14-10-6-7(2-3-9(10)13)8(12)4-5-11/h2-3,6,11,13H,4-5H2,1H3",NXCPMSUBVRGTSE-UHFFFAOYSA-N,瞿麦
DISU-083,4-甲氧基苯乙酸,(4-Methoxyphenyl)acetic acid,104-01-8,166.176,C9H10O3,,酚酸,COC1=CC=C(CC(O)=O)C=C1,"InChI=1S/C9H10O3/c1-12-8-4-2-7(3-5-8)6-9(10)11/h2-5H,6H2,1H3,(H,10,11)",NRPFNQUDKRYCNX-UHFFFAOYSA-N,瞿麦
DISU-084,,Patriscabratine,476645-37-1,444.531,C27H28N2O4,,苯丙素类,O=C(N[C@@H](CC1=CC=CC=C1)C(OC[C@H](CC2=CC=CC=C2)NC(C)=O)=O)C3=CC=CC=C3,"InChI=1S/C27H28N2O4/c1-20(30)28-24(17-21-11-5-2-6-12-21)19-33-27(32)25(18-22-13-7-3-8-14-22)29-26(31)23-15-9-4-10-16-23/h2-16,24-25H,17-19H2,1H3,(H,28,30)(H,29,31)/t24-,25-/m0/s1",UBQCFEASTTXIKB-DQEYMECFSA-N,瞿麦
DISU-085,2-[(2-羟基苯甲酰基)氨基]-4-甲氧基苯甲酸,2-[(2-Hydroxybenzoyl)amino]-4-methoxybenzoic acid,93289-90-8,287.271,C15H13NO5,,酚酸,O=C(C1=CC=CC=C1O)NC2=CC(OC)=CC=C2C(O)=O,"InChI=1S/C15H13NO5/c1-21-9-6-7-10(15(19)20)12(8-9)16-14(18)11-4-2-3-5-13(11)17/h2-8,17H,1H3,(H,16,18)(H,19,20)",CMFFISYKULRPFB-UHFFFAOYSA-N,瞿麦
DISU-086,"2-[(2,4-二羟基苯甲酰基)胺基]-4-甲氧基-苯甲酸","2‑[(2,4‑Dihydroxybenzoyl) amino]‑4‑methoxy‑benzoic acid",115610-39-4,303.27,C15H13NO6,,酚酸,O=C(C1=C(O)C=C(O)C=C1)NC2=CC(OC)=CC=C2C(O)=O,"InChI=1S/C15H13NO6/c1-22-9-3-5-10(15(20)21)12(7-9)16-14(19)11-4-2-8(17)6-13(11)18/h2-7,17-18H,1H3,(H,16,19)(H,20,21)",GLXWWDVTVBGZGZ-UHFFFAOYSA-N,瞿麦
