编号,英文名称,化合物名称,CAS号,分子式,分子量,2D图,结构,smiles,inchi,inchikey,药材名称
LEJA-026,trans-Ferulic acid,反式阿魏酸,537-98-4,C10H10O4,193.05,,苯丙素类,OC1=CC=C(/C=C/C(O)=O)C=C1OC,"InChI=1S/C10H10O4/c1-14-9-6-7(2-4-8(9)11)3-5-10(12)13/h2-6,11H,1H3,(H,12,13)/b5-3+",KSEBMYQBYZTDHS-HWKANZROSA-N,益母草
LEJA-027,"2,6-dimethoxy-4-hydroxyphenol-1-O-β-D- glucopyranoside","4-羟基-2,6-二甲氧基苯基-β-D-吡喃葡萄糖苷",/,C14H20O9,331.1042,,糖苷类,OC1=CC(OC)=C(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C(OC)=C1,"InChI=1S/C14H20O9/c1-20-7-3-6(16)4-8(21-2)13(7)23-14-12(19)11(18)10(17)9(5-15)22-14/h3-4,9-12,14-19H,5H2,1-2H3/t9-,10-,11+,12-,14+/m1/s1",NOQYJICHFNSIFZ-DIACKHNESA-N,益母草
LEJA-028,Phenethyl-β-D-glucopyranoside,,18997-54-1,C14H20O6,329.121,,糖苷类,O[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]1OCCC2=CC=CC=C2,"InChI=1S/C14H20O6/c15-8-10-11(16)12(17)13(18)14(20-10)19-7-6-9-4-2-1-3-5-9/h1-5,10-18H,6-8H2/t10-,11-,12+,13-,14-/m1/s1",MLRIJUWUQTVDQE-RKQHYHRCSA-N,益母草
LEJA-029,Ajugoside,筋骨草苷,52916-96-8,C17H26O10,435.1509,,单萜,O[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)OC1.O=C(C)OC2(C)C[C@@H](O)C3C2[C@H](OC)OC=C3,"InChI=1S/C12H18O5.C6H12O5/c1-7(13)17-12(2)6-9(14)8-4-5-16-11(15-3)10(8)12;7-1-4-6(10)5(9)3(8)2-11-4/h4-5,8-11,14H,6H2,1-3H3;3-10H,1-2H2/t8?,9-,10?,11-,12?;3-,4+,5+,6+/m10/s1",NCGSEMYJAKLEGH-RPNKFMPHSA-N,益母草
LEJA-030,"(3S,6E)-8-Hydroxylinalool",,/,C16H28O7,367.153,,其他,O[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]1O[C@@](C=C)(C)CC/C=C(CO)\C,"InChI=1S/C5H10O4.C4H8.CH4O/c6-3-1-9-2-4(7)5(3)8;1-3-4-2;1-2/h3-8H,1-2H2;3H,1,4H2,2H3;2H,1H3/t3-,4+,5+;;",GBTMQAHNTSEFMK-AUJXNPFMSA-N,益母草
LEJA-031,Blumenol A, 吐叶醇,23526-45-6,C13H20O3,259.1095,,单萜,O=C1CC(C)(C)[C@](/C=C/[C@H](O)C)(O)C(C)=C1,"InChI=1S/C13H20O3/c1-9-7-11(15)8-12(3,4)13(9,16)6-5-10(2)14/h5-7,10,14,16H,8H2,1-4H3/b6-5+/t10-,13-/m1/s1",KPQMCAKZRXOZLB-KOIHBYQTSA-N,益母草
LEJA-032,(E)-4-Hydroxy-dodec-2-enedioic acid,,/,C12H20O5,243.1302,,脂肪酸,OC(/C=C/C(O)CCCCCCCC(O)=O)=O,"InChI=1S/C12H20O5/c13-10(8-9-12(16)17)6-4-2-1-3-5-7-11(14)15/h8-10,13H,1-7H2,(H,14,15)(H,16,17)/b9-8+",UHLUIRZFRDVZGV-CMDGGOBGSA-N,益母草
LEJA-033,Leonurine,益母草碱,24697-74-3,C14H21N3O5,310.1401,,生物碱,CC(C1=CC(OC)=C(O)C(OC)=C1)=O.NC(NCCCC[O])=N,"InChI=1S/C10H12O4.C5H12N3O/c1-6(11)7-4-8(13-2)10(12)9(5-7)14-3;6-5(7)8-3-1-2-4-9/h4-5,12H,1-3H3;1-4H2,(H4,6,7,8)",UOJKUERCWHEHKC-UHFFFAOYSA-N,益母草
LEJA-034,Stachydrine,水苏碱,471-87-4,C7H13NO2,178.0627,,生物碱,C[N+]1(C)CCC[C@H]1C([O-])=O,"InChI=1S/C7H13NO2/c1-8(2)5-3-4-6(8)7(9)10/h6H,3-5H2,1-2H3/t6-/m0/s1",CMUNUTVVOOHQPW-LURJTMIESA-N,益母草
LEJA-035,Hypoxanthine-9-β-D-ribofuranoside,次黄苷,58-63-9,C10H12N4O5,267.0743,,生物碱,O=C1C2=C(N([C@H]3[C@H](O)[C@H](O)[C@@H](CO)O3)C=N2)NC=N1,"InChI=1S/C10H12N4O5/c15-1-4-6(16)7(17)10(19-4)14-3-13-5-8(14)11-2-12-9(5)18/h2-4,6-7,10,15-17H,1H2,(H,11,12,18)/t4-,6-,7-,10-/m1/s1",UGQMRVRMYYASKQ-KQYNXXCUSA-N,益母草
