编号,英文名称,化合物名称,CAS号,分子式,分子量,2D图,结构,smiles,inchi,inchikey,药材名称
LEJA-060,,"2,6-dimethoxybenzoquinone",530-55-2,168.15,C8H8O4,,蒽醌,O=C(C(OC)=C1)C(OC)=CC1=O,"InChI=1S/C8H8O4/c1-11-6-3-5(9)4-7(12-2)8(6)10/h3-4H,1-2H3",OLBNOBQOQZRLMP-UHFFFAOYSA-N,益母草
LEJA-061,Chlorogenic acid,绿原酸,327-97-9,354.309,C16H18O9,,苯丙素类,O=C(O)[C@]1(O)C[C@H](OC(/C=C/C2=CC=C(O)C(O)=C2)=O)[C@@H](O)[C@@H](O)C1,"InChI=1S/C16H18O9/c17-9-3-1-8(5-10(9)18)2-4-13(20)25-12-7-16(24,15(22)23)6-11(19)14(12)21/h1-5,11-12,14,17-19,21,24H,6-7H2,(H,22,23)/b4-2+/t11-,12-,14-,16+/m0/s1",CWVRJTMFETXNAD-KJOPMHRFSA-N,益母草
LEJA-062,,3/4-feruloyl-4/3-syringic glucaric acid,,567.5895,C25H26O15,,酚酸,OC1=C(OC)C=C(C([O])=O)C=C1OC.OC([C@@H](O)[C@@H](C)[C@H](OC(C)(/C=C/C2=CC(OC)=C(O)C=C2)=O)[C@@H](O)C(O)=O)=O,"InChI=1S/C18H23O10.C9H9O5/c1-9(13(20)16(22)23)15(14(21)17(24)25)28-18(2,26)7-6-10-4-5-11(19)12(8-10)27-3;1-13-6-3-5(9(11)12)4-7(14-2)8(6)10/h4-9,13-15,19-21H,1-3H3,(H,22,23)(H,24,25);3-4,10H,1-2H3/b7-6+;/t9-,13+,14-,15+;/m1./s1",KOWBXMLPRAVYIY-ABJRRAJDSA-N,益母草
LEJA-063,,2/5-feruloyl-4/3-syringic glucaric acid,/,589.1272,C25H26O15,,酚酸,OC1=C(OC)C=C(C([O])=O)C=C1OC.OC([C@@H](OC(/C=C/C2=CC=C(O)C(OC)=C2)=O)[C@@H](C)[C@H](O)[C@@H](O)C(O)=O)=O,"InChI=1S/C17H20O10.C9H9O5/c1-8(13(20)14(21)16(22)23)15(17(24)25)27-12(19)6-4-9-3-5-10(18)11(7-9)26-2;1-13-6-3-5(9(11)12)4-7(14-2)8(6)10/h3-8,13-15,18,20-21H,1-2H3,(H,22,23)(H,24,25);3-4,10H,1-2H3/b6-4+;/t8-,13-,14+,15-;/m0./s1",VRRCNFJFUJMLCU-RYFCQPOCSA-N,益母草
LEJA-064,,2/5-syringic-4/3-feruloyl glucaric acid,/,589.1164,C25H26O15,,酚酸,O[C@@H](C(OC(/C=C/C1=CC=C(O)C(OC)=C1)=O)=O)[C@@H]([O])[C@H](O)[C@H](OC(C2=CC(OC)=C(O)C(OC)=C2)=O)C(O)=O,"InChI=1S/C25H25O15/c1-36-14-8-11(4-6-13(14)26)5-7-17(27)39-25(35)21(31)19(29)20(30)22(23(32)33)40-24(34)12-9-15(37-2)18(28)16(10-12)38-3/h4-10,19-22,26,28,30-31H,1-3H3,(H,32,33)/b7-5+/t19-,20-,21+,22-/m0/s1",KXEKKGSKLZZCBV-ONPGBMBLSA-N,益母草
LEJA-065,Benzoic acid,苯甲酸,65-85-0,122.12,C7H6O2,,其他,O=C(C1=CC=CC=C1)O,"InChI=1S/C7H6O2/c8-7(9)6-4-2-1-3-5-6/h1-5H,(H,8,9)",WPYMKLBDIGXBTP-UHFFFAOYSA-N,益母草
LEJA-066,Glyceollin,大豆素,57103-57-8,338.35,C20H18O5,,黄酮类,OC(C=C1)=CC=C1C2=COC3=CC(O)=CC=C3C2=O,"InChI=1S/C15H10O4/c16-10-3-1-9(2-4-10)13-8-19-14-7-11(17)5-6-12(14)15(13)18/h1-8,16-17H",ZQSIJRDFPHDXIC-UHFFFAOYSA-N,益母草
LEJA-067,Genkwanin,芫花素,437-64-9,284.26,C16H12O5,,黄酮类,O=C1C2=C(O)C=C(OC)C=C2OC(C3=CC=C(O)C=C3)=C1,"InChI=1S/C16H12O5/c1-20-11-6-12(18)16-13(19)8-14(21-15(16)7-11)9-2-4-10(17)5-3-9/h2-8,17-18H,1H3",JPMYFOBNRRGFNO-UHFFFAOYSA-N,益母草
LEJA-068,Wogonin,汉黄芩素,632-85-9,284.26,C16H12O5,,黄酮类,O=C1C2=C(C(OC)=C(O)C=C2O)OC(C3=CC=CC=C3)=C1,"InChI=1S/C16H12O5/c1-20-15-12(19)7-10(17)14-11(18)8-13(21-16(14)15)9-5-3-2-4-6-9/h2-8,17,19H,1H3",XLTFNNCXVBYBSX-UHFFFAOYSA-N,益母草
LEJA-069,Heteronoside,,852638-61-0,790.68,C36H38O20,,黄酮类,OC1=CC=C(C)C=C1O.O[C@@H]2[C@@H](O)[C@@H](O)[C@@H](CO[C@@H]3O[C@@H](C)[C@H](O)[C@@H](OC(C)=O)[C@H]3O)O[C@H]2OCC4=COC5=CC(O)=CC(O)=C5C4=O.OC6=C(OC)C=CC=C6OC,"InChI=1S/C24H30O15.C8H10O3.C7H8O2/c1-8-16(28)22(38-9(2)25)21(33)24(37-8)36-7-14-18(30)19(31)20(32)23(39-14)35-6-10-5-34-13-4-11(26)3-12(27)15(13)17(10)29;1-10-6-4-3-5-7(11-2)8(6)9;1-5-2-3-6(8)7(9)4-5/h3-5,8,14,16,18-24,26-28,30-33H,6-7H2,1-2H3;3-5,9H,1-2H3;2-4,8-9H,1H3/t8-,14+,16-,18-,19-,20+,21+,22+,23+,24+;;/m0../s1",MLRJDLBAFJCULC-WPYWEHEXSA-N,益母草
LEJA-070,Stigmasterol,豆甾醇,83-48-7,412.69,C29H48O,,甾体,O[C@H](C1)CC[C@@]2(C)C1=CC[C@]3([H])[C@]2([H])CC[C@@]4(C)[C@]3(CC[C@]4([H])[C@H](C)/C=C/[C@@H](CC)C(C)C)[H],"InChI=1S/C29H48O/c1-7-21(19(2)3)9-8-20(4)25-12-13-26-24-11-10-22-18-23(30)14-16-28(22,5)27(24)15-17-29(25,26)6/h8-10,19-21,23-27,30H,7,11-18H2,1-6H3/b9-8+/t20-,21-,23+,24+,25-,26+,27+,28+,29-/m1/s1",HCXVJBMSMIARIN-PHZDYDNGSA-N,益母草
