                                                                        山香圆叶化学成分分析,,,,,,,,,,,
编号,化合物名称,英文名称,分子式,分子量,CAS,2D图,化合物种类,smiles,inchi,inchikey,药材名称
SXYY-011,对羟基肉桂酸,4-Hydroxycinnamic acid,C9H8O3,164.0473,501-98-4,,苯丙酸类[1],OC(/C=C/C1=CC=C(C=C1)O)=O,"InChI=1S/C9H8O3/c10-8-4-1-7(2-5-8)3-6-9(11)12/h1-6,10H,(H,11,12)/b6-3+",NGSWKAQJJWESNS-ZZXKWVIFSA-N,山香圆叶
SXYY-0012,没食子酸,Gallic acid,C7H6O5,170.0215,149-91-7,,酚酸类[1],OC1=C(O)C(O)=CC(C(O)=O)=C1,"InChI=1S/C7H6O5/c8-4-1-3(7(11)12)2-5(9)6(4)10/h1-2,8-10H,(H,11,12)",LNTHITQWFMADLM-UHFFFAOYSA-N,山香圆叶
SXYY-0013,/,argutoside F,C34H42O19,754.232,/,,黄酮类[2],O[C@H]1[C@H](O)[C@@H](CO[C@H]2[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O2)O[C@@H](OC3=C(O)C(O)=C(C(C=C(C4=CC=C(OC)C=C4)O5)=O)C5=C3)[C@@H]1O[C@@H]6O[C@@H](C)[C@H](O)[C@@H](O)[C@H]6O,"InChI=1S/C34H42O19/c1-11-21(36)26(41)29(44)32(48-11)47-10-19-24(39)28(43)31(53-33-30(45)27(42)22(37)12(2)49-33)34(52-19)51-18-9-17-20(25(40)23(18)38)15(35)8-16(50-17)13-4-6-14(46-3)7-5-13/h4-9,11-12,19,21-22,24,26-34,36-45H,10H2,1-3H3/t11-,12-,19+,21-,22-,24+,26+,27+,28-,29+,30+,31+,32+,33-,34+/m0/s1",DDOFBMAEECWHDG-WMLGVDSZSA-N,山香圆叶
SXYY-0014,木犀草素-7-O-[-L-吡喃鼠李糖基-(1→6)-L-吡喃鼠李糖基-(1→2)]-D-吡喃葡萄糖苷,/,C33H40O19,740.2164,/,,黄酮类[2],O[C@H]1[C@H](O)[C@@H](CO[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)O[C@@H](OC3=CC(O)=C(C(C=C(C4=CC(O)=C(O)C=C4)O5)=O)C5=C3)[C@@H]1O[C@@H]6O[C@@H](C)[C@H](O)[C@@H](O)[C@H]6O,"InChI=1S/C33H40O19/c1-10-22(38)25(41)28(44)31(47-10)46-9-20-24(40)27(43)30(52-32-29(45)26(42)23(39)11(2)48-32)33(51-20)49-13-6-16(36)21-17(37)8-18(50-19(21)7-13)12-3-4-14(34)15(35)5-12/h3-8,10-11,20,22-36,38-45H,9H2,1-2H3/t10-,11-,20+,22-,23-,24+,25+,26+,27-,28+,29+,30+,31+,32-,33+/m0/s1",HLCGEUJYXPYCDZ-OECSVPKKSA-N,山香圆叶
SXYY-0015,女贞苷,ligustroflavone,C33H40O18,724.2215,260413-62-5,,黄酮类[2],O=C1C2=C(O)C=C(O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO[C@H]4[C@@H]([C@@H]([C@H]([C@@H](O4)C)O)O)O)O)O)O[C@H]5[C@@H]([C@@H]([C@H]([C@@H](O5)C)O)O)O)C=C2OC(C6=CC=C(C=C6)O)=C1,"InChI=1S/C33H40O18/c1-11-22(37)25(40)28(43)31(46-11)45-10-20-24(39)27(42)30(51-32-29(44)26(41)23(38)12(2)47-32)33(50-20)48-15-7-16(35)21-17(36)9-18(49-19(21)8-15)13-3-5-14(34)6-4-13/h3-9,11-12,20,22-35,37-44H,10H2,1-2H3/t11-,12-,20+,22-,23-,24+,25+,26+,27-,28+,29+,30+,31+,32-,33+/m0/s1",NULBHTHMVOCGOE-ZBCCAYPVSA-N,山香圆叶
SXYY-0016,芹菜素,Apigenin,C15H10O5,270.0528,520-36-5,,黄酮类[2],OC1=CC=C(C2=CC(C3=C(O)C=C(O)C=C3O2)=O)C=C1,"InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-7,16-18H",KZNIFHPLKGYRTM-UHFFFAOYSA-N,山香圆叶
SXYY-0017,槲皮素,Quercetin,C15H10O7,302.0427,117-39-5,,黄酮类[2],OC1=CC(O)=C(C(C(O)=C2C3=CC(O)=C(O)C=C3)=O)C(O2)=C1,"InChI=1S/C15H10O7/c16-7-4-10(19)12-11(5-7)22-15(14(21)13(12)20)6-1-2-8(17)9(18)3-6/h1-5,16-19,21H",REFJWTPEDVJJIY-UHFFFAOYSA-N,山香圆叶
SXYY-0018,槲皮素-3-O-α-L-吡喃鼠李糖基-(1→6)-β-D-吡喃葡萄糖苷,/,C27H30O16,610.1534,/,,黄酮类[2],O=C1C2=C(O)C=C(O)C=C2OC(C3=CC=C(O)C(O)=C3)=C1O[C@@H]4O[C@H](O[C@H]5O[C@@H](CC)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O,"InChI=1S/C27H30O16/c1-2-13-16(32)18(34)20(36)25(40-13)42-27-22(38)19(35)21(37)26(43-27)41-24-17(33)15-12(31)6-9(28)7-14(15)39-23(24)8-3-4-10(29)11(30)5-8/h3-7,13,16,18-22,25-32,34-38H,2H2,1H3/t13-,16-,18+,19+,20+,21+,22-,25+,26+,27-/m0/s1",AXKJFAIGRUIVID-GXFYXUBOSA-N,山香圆叶
SXYY-0019,野漆树苷,Rholfolinr,C27H30O14,578.1636,17306-46-6,,黄酮类[2],O=C1C2=C(O)C=C(O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O[C@H]4[C@@H]([C@@H]([C@H]([C@@H](O4)C)O)O)O)C=C2OC(C5=CC=C(C=C5)O)=C1,"InChI=1S/C27H30O14/c1-10-20(32)22(34)24(36)26(37-10)41-25-23(35)21(33)18(9-28)40-27(25)38-13-6-14(30)19-15(31)8-16(39-17(19)7-13)11-2-4-12(29)5-3-11/h2-8,10,18,20-30,32-36H,9H2,1H3/t10-,18+,20-,21+,22+,23-,24+,25+,26-,27+/m0/s1",RPMNUQRUHXIGHK-PYXJVEIZSA-N,山香圆叶
SXYY-0020,木犀草素-7-O-α-L-吡喃鼠李糖基- (1→2)-β-D-吡喃葡萄糖苷,/,C27H30O15,594.1585,25694-72-8,,黄酮类[2],OC[C@H]1O[C@@H](OC2=CC(O)=C(C(C=C(C3=CC(O)=C(O)C=C3)O4)=O)C4=C2)[C@H](O[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@@H]1O,"InChI=1S/C27H30O15/c1-9-20(33)22(35)24(37)26(38-9)42-25-23(36)21(34)18(8-28)41-27(25)39-11-5-14(31)19-15(32)7-16(40-17(19)6-11)10-2-3-12(29)13(30)4-10/h2-7,9,18,20-31,33-37H,8H2,1H3/t9-,18+,20-,21+,22+,23-,24+,25+,26-,27+/m0/s1",SHPPXMGVUDNKLV-KMFFXDMSSA-N,山香圆叶
