序号,类别,成分编号,中文名,英文名,CAS号,分子式MF,分子量MW,结构,参考文献,smiles,inchi,inchikey,药材名称
54,黄酮及其苷类,SZY-054,矢车菊素,cyanidin,"	528-58-5",C15H11ClO6,"	322.7",,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",OC(C=C1)=C(O)C=C1C2=[O+]C3=CC(O)=CC(O)=C3C=C2O.[Cl-],"InChI=1S/C15H10O6.ClH/c16-8-4-11(18)9-6-13(20)15(21-14(9)5-8)7-1-2-10(17)12(19)3-7;/h1-6H,(H4-,16,17,18,19,20);1H",COAWNPJQKJEHPG-UHFFFAOYSA-N,山楂叶
55,黄酮及其苷类,SZY-055,金鸡纳素 Ia,"	Cinchonain 1a",85081-24-9,C24H20O9,452.41,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",OC1C(C2=CC=C(O)C(O)=C2)OC3=C(C(O)=CC(O4)=C3C(C5=CC(O)=C(O)C=C5)CC4=O)C1,"InChI=1S/C24H20O9/c25-14-3-1-10(5-17(14)28)12-8-21(31)32-20-9-16(27)13-7-19(30)23(33-24(13)22(12)20)11-2-4-15(26)18(29)6-11/h1-6,9,12,19,23,25-30H,7-8H2",LKCOZWLUAKSRQM-UHFFFAOYSA-N,山楂叶
56,黄酮及其苷类,SZY-056,金鸡纳素 Ib,cinchonain Ib,"	85022-69-1",C24H20O9,452.41,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",O[C@@H]1CC(C(O)=CC2=C3CCC(O2)=O)=C3O[C@@H]1C4=CC(O)=C(O)C=C4.CC5=CC=C(O)C(O)=C5,"InChI=1S/C18H16O7.C7H8O2/c19-11-3-1-8(5-13(11)21)17-14(22)6-10-12(20)7-15-9(18(10)25-17)2-4-16(23)24-15;1-5-2-3-6(8)7(9)4-5/h1,3,5,7,14,17,19-22H,2,4,6H2;2-4,8-9H,1H3/t14-,17-;/m1./s1",BFXHRFJVCSVCOB-SATBOSKTSA-N,山楂叶
57,黄酮及其苷类,SZY-057,异鼠李素-3-O-新橙皮苷,Isorhamnetin 3-O-neohesperidoside,55033-90-4,C28H32O16,624.544,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",O=C1C2=C(O)C=C(O)C=C2OC(C3=CC=C(O)C(OC)=C3)=C1O[C@H]4[C@H](O[C@]5([H])O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@@H](CO)O4,"InChI=1S/C28H32O16/c1-9-18(33)21(36)23(38)27(40-9)44-26-22(37)19(34)16(8-29)42-28(26)43-25-20(35)17-13(32)6-11(30)7-15(17)41-24(25)10-3-4-12(31)14(5-10)39-2/h3-7,9,16,18-19,21-23,26-34,36-38H,8H2,1-2H3/t9-,16+,18-,19+,21+,22-,23+,26+,27-,28-/m0/s1",QHLKSZBFIJJREC-SPSUIZEHSA-N,山楂叶
58,黄酮及其苷类,SZY-058,淫羊藿苷,icariin,489-32-7,C33H40O15,676.662,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",O=C1C2=C(O)C=C(O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C(C/C=C/C)=C2OC(C4=CC=C(OC)C=C4)=C1O[C@H]5O[C@H](C)[C@@H](O)[C@H](O)[C@@H]5O,"InChI=1S/C32H38O15/c1-4-5-6-16-18(44-32-27(41)25(39)22(36)19(12-33)45-32)11-17(34)20-23(37)30(47-31-26(40)24(38)21(35)13(2)43-31)28(46-29(16)20)14-7-9-15(42-3)10-8-14/h4-5,7-11,13,19,21-22,24-27,31-36,38-41H,6,12H2,1-3H3/b5-4+/t13-,19-,21-,22-,24+,25+,26+,27-,31-,32+/m1/s1",VAEAGYPFHVQMQG-PMECVNNFSA-N,山楂叶
59,黄酮及其苷类,SZY-059,花青素,Cyanidin Chloride,528-58-5,C15H11ClO6,322.697,,"[2]王双艳.山楂叶的化学成分研究[D].天津中医药大学,2020.",OC(C=C1)=C(O)C=C1C2=[O+]C3=CC(O)=CC(O)=C3C=C2O.[Cl-],"InChI=1S/C15H10O6.ClH/c16-8-4-11(18)9-6-13(20)15(21-14(9)5-8)7-1-2-10(17)12(19)3-7;/h1-6H,(H4-,16,17,18,19,20);1H",COAWNPJQKJEHPG-UHFFFAOYSA-N,山楂叶
60,黄酮及其苷类,SZY-060,原花青素,procyanidin ,4852-22-6,C30H26O13,594.52,,"[2]王双艳.山楂叶的化学成分研究[D].天津中医药大学,2020.",OC1=CC2=C(C(O)=C1)C(O)C(O)C(OC3C(C4=CC=C(O)C(O)=C4)OC5=C(C(O)=CC(O)=C5)C3)(C6=CC=C(O)C(O)=C6)O2,"InChI=1S/C30H26O13/c31-14-7-19(35)16-11-25(28(41-23(16)9-14)12-1-3-17(33)20(36)5-12)43-30(13-2-4-18(34)21(37)6-13)29(40)27(39)26-22(38)8-15(32)10-24(26)42-30/h1-10,25,27-29,31-40H,11H2",HGVVOUNEGQIPMS-UHFFFAOYSA-N,山楂叶
61,黄酮及其苷类,SZY-061,原花青素A2,proanthocyanidin A2,41743-41-3,C30H24O12,576.5,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",OC1=CC(O)=C([C@H]2[C@@H](O)[C@](C3=CC(O)=C(O)C=C3)(OC4=C2C(O[C@H](C5=CC(O)=C(O)C=C5)[C@H](O)C6)=C6C(O)=C4)O7)C7=C1,"InChI=1S/C30H24O12/c31-13-7-20(37)24-22(8-13)41-30(12-2-4-16(33)19(36)6-12)29(39)26(24)25-23(42-30)10-17(34)14-9-21(38)27(40-28(14)25)11-1-3-15(32)18(35)5-11/h1-8,10,21,26-27,29,31-39H,9H2/t21-,26-,27-,29-,30+/m1/s1",NSEWTSAADLNHNH-LSBOWGMISA-N,山楂叶
62,黄酮及其苷类,SZY-062,原花青素B2,procyanidin B2,29106-49-8,C30H26O12,578.52,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",OC1=CC2=C([C@H](C3=C(O)C=C(O)C4=C3O[C@H](C5=CC=C(O)C(O)=C5)[C@H](O)C4)[C@@H](O)[C@@H](C6=CC(O)=C(O)C=C6)O2)C(O)=C1,"InChI=1S/C30H26O12/c31-13-7-20(37)24-23(8-13)41-29(12-2-4-16(33)19(36)6-12)27(40)26(24)25-21(38)10-17(34)14-9-22(39)28(42-30(14)25)11-1-3-15(32)18(35)5-11/h1-8,10,22,26-29,31-40H,9H2/t22-,26-,27-,28-,29-/m1/s1",XFZJEEAOWLFHDH-NFJBMHMQSA-N,山楂叶
63,黄酮及其苷类,SZY-063,原花青素B4,procyanidin B4,29106-51-2,C30H26O12,578.52,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",OC1=CC2=C([C@H](C3=C(O)C=C(O)C4=C3O[C@H](C5=CC=C(O)C(O)=C5)[C@H](O)C4)[C@@H](O)[C@@H](C6=CC(O)=C(O)C=C6)O2)C(O)=C1,"InChI=1S/C30H26O12/c31-13-7-20(37)24-23(8-13)41-29(12-2-4-16(33)19(36)6-12)27(40)26(24)25-21(38)10-17(34)14-9-22(39)28(42-30(14)25)11-1-3-15(32)18(35)5-11/h1-8,10,22,26-29,31-40H,9H2/t22-,26-,27-,28-,29-/m1/s1",XFZJEEAOWLFHDH-NFJBMHMQSA-N,山楂叶
64,黄酮及其苷类,SZY-064,原花青素B5,procyanidin B5,12798-57-1,C30H26O12,578.52,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",O[C@H]1[C@@H](C2=CC=C(O)C(O)=C2)OC3=CC(O)=CC(O)=C3[C@@H]1C4=C(O)C=C5C(C[C@@H](O)[C@@H](C6=CC=C(O)C(O)=C6)O5)=C4O,"InChI=1S/C30H26O12/c31-13-7-19(36)24-23(8-13)42-30(12-2-4-16(33)18(35)6-12)28(40)26(24)25-20(37)10-22-14(27(25)39)9-21(38)29(41-22)11-1-3-15(32)17(34)5-11/h1-8,10,21,26,28-40H,9H2/t21-,26-,28-,29-,30-/m1/s1",GMISZFQPFDAPGI-CVJZBMGUSA-N,山楂叶
65,黄酮及其苷类,SZY-065,原花青素C1,procyanidin C1,37064-30-5,C45H38O18,866.772,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",O[C@H]1[C@@H](C2=CC=C(O)C(O)=C2)OC3=C([C@@H]4[C@@H](O)[C@@H](C5=CC=C(O)C(O)=C5)OC6=C([C@@H]7[C@@H](O)[C@@H](C8=CC=C(O)C(O)=C8)OC9=CC(O)=CC(O)=C97)C(O)=CC(O)=C64)C(O)=CC(O)=C3C1,"InChI=1S/C45H38O18/c46-18-10-27(54)33-32(11-18)61-42(16-2-5-21(48)25(52)8-16)39(59)37(33)35-29(56)14-30(57)36-38(40(60)43(63-45(35)36)17-3-6-22(49)26(53)9-17)34-28(55)13-23(50)19-12-31(58)41(62-44(19)34)15-1-4-20(47)24(51)7-15/h1-11,13-14,31,37-43,46-60H,12H2/t31-,37-,38+,39-,40-,41-,42-,43-/m1/s1",MOJZMWJRUKIQGL-XILRTYJMSA-N,山楂叶
66,黄酮及其苷类,SZY-066,夏佛塔苷,schaftosise,51938-32-0,C26H28O14,564.499,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",O=C1C=C(C2=CC=C(O)C=C2)OC3=C1C(O)=C([C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C(O)=C3[C@@H]5OC[C@H](O)[C@H](O)[C@H]5O,"InChI=1S/C26H28O14/c27-6-13-18(32)21(35)23(37)26(40-13)15-19(33)14-10(29)5-12(8-1-3-9(28)4-2-8)39-24(14)16(20(15)34)25-22(36)17(31)11(30)7-38-25/h1-5,11,13,17-18,21-23,25-28,30-37H,6-7H2/t11-,13+,17-,18+,21-,22+,23+,25-,26-/m0/s1",MMDUKUSNQNWVET-VYUBKLCTSA-N,山楂叶
