序号,类别,成分编号,中文名,英文名,CAS号,分子式MF,分子量MW,结构,参考文献,smiles,inchi,inchikey,药材名称
80,有机酸类,SZY-080,苹果酸,(±)-Malic Acid,6915-15-7,C4H6O5,134.087,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",OC(CC(O)C(O)=O)=O,"InChI=1S/C4H6O5/c5-2(4(8)9)1-3(6)7/h2,5H,1H2,(H,6,7)(H,8,9)",BJEPYKJPYRNKOW-UHFFFAOYSA-N,山楂叶
81,有机酸类,SZY-081,2-异丙基苹果酸,2-HYDROXY-2-ISOPROPYLSUCCINIC ACID,3237-44-3,C7H12O5,176.167,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",OC(C(C)C)(C(O)=O)CC(O)=O,"InChI=1S/C7H12O5/c1-4(2)7(12,6(10)11)3-5(8)9/h4,12H,3H2,1-2H3,(H,8,9)(H,10,11)",BITYXLXUCSKTJS-UHFFFAOYSA-N,山楂叶
82,有机酸类,SZY-082,苯甲酰甲酸,Phenylglyoxylic acid,611-73-4,C8H6O3,150.131,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",OC(C(C1=CC=CC=C1)=O)=O,"InChI=1S/C8H6O3/c9-7(8(10)11)6-4-2-1-3-5-6/h1-5H,(H,10,11)",FAQJJMHZNSSFSM-UHFFFAOYSA-N,山楂叶
83,有机酸类,SZY-083,丙酮酸,Pyruvic acid,127-17-3,C3H4O3,88.062,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",CC(C(O)=O)=O,"InChI=1S/C3H4O3/c1-2(4)3(5)6/h1H3,(H,5,6)",LCTONWCANYUPML-UHFFFAOYSA-N,山楂叶
84,有机酸类,SZY-084,丁香酸,Syringic acid,530-57-4,C9H10O5,198.173,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",COC(C=C1C(O)=O)=C(C(OC)=C1)O,"InChI=1S/C9H10O5/c1-13-6-3-5(9(11)12)4-7(14-2)8(6)10/h3-4,10H,1-2H3,(H,11,12)",JMSVCTWVEWCHDZ-UHFFFAOYSA-N,山楂叶
85,有机酸类,SZY-085,对羟基肉桂酸,p-Hydroxy-cinnamic acid,7400-08-0,C9H8O3,164.158,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",O=C(O)/C=C/C1=CC=C(O)C=C1,"InChI=1S/C9H8O3/c10-8-4-1-7(2-5-8)3-6-9(11)12/h1-6,10H,(H,11,12)/b6-3+",NGSWKAQJJWESNS-ZZXKWVIFSA-N,山楂叶
86,有机酸类,SZY-086,反式-2-十二碳烯二酸,traumatic acid,6402-36-4,C12H20O4,228.285,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",O=C(O)/C=C/CCCCCCCCC(O)=O,"InChI=1S/C12H20O4/c13-11(14)9-7-5-3-1-2-4-6-8-10-12(15)16/h7,9H,1-6,8,10H2,(H,13,14)(H,15,16)/b9-7+",MAZWDMBCPDUFDJ-VQHVLOKHSA-N,山楂叶
87,有机酸类,SZY-087,富马酸,fumaric acid,110-17-8,C4H4O4,116.072,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",O=C(/C=C/C(O)=O)O,"InChI=1S/C4H4O4/c5-3(6)1-2-4(7)8/h1-2H,(H,5,6)(H,7,8)/b2-1+",VZCYOOQTPOCHFL-OWOJBTEDSA-N,山楂叶
88,有机酸类,SZY-088,咖啡酸,Caffeic acid,501-16-6,C9H8O4,180.157,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",O=C(O)/C=C/C1=CC(O)=C(O)C=C1,"InChI=1S/C9H8O4/c10-7-3-1-6(5-8(7)11)2-4-9(12)13/h1-5,10-11H,(H,12,13)/b4-2+",QAIPRVGONGVQAS-DUXPYHPUSA-N,山楂叶
89,有机酸类,SZY-089,琥珀酸,Succinic acid,110-15-6,C4H6O4,118.088,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",OC(CCC(O)=O)=O,"InChI=1S/C4H6O4/c5-3(6)1-2-4(7)8/h1-2H2,(H,5,6)(H,7,8)",KDYFGRWQOYBRFD-UHFFFAOYSA-N,山楂叶
90,有机酸类,SZY-090,茴香酸,Anisic acid,100-09-4,C8H8O3,152.14,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",O=C(O)C1=CC=C(OC)C=C1,"InChI=1S/C8H8O3/c1-11-7-4-2-6(3-5-7)8(9)10/h2-5H,1H3,(H,9,10)",ZEYHEAKUIGZSGI-UHFFFAOYSA-N,山楂叶
91,有机酸类,SZY-091,酒石酸,Tartaric acid,87-69-4,C4H6O6,150.087,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",OC([C@H](O)[C@@H](O)C(O)=O)=O,"InChI=1S/C4H6O6/c5-1(3(7)8)2(6)4(9)10/h1-2,5-6H,(H,7,8)(H,9,10)/t1-,2-/m1/s1",FEWJPZIEWOKRBE-JCYAYHJZSA-N,山楂叶
92,有机酸类,SZY-092,抗坏血酸,Ascorbic acid,50-81-7,C6H8O6,176.124,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",O=C1C(O)=C(O)[C@@H]([C@@H](O)CO)O1,"InChI=1S/C6H8O6/c7-1-2(8)5-3(9)4(10)6(11)12-5/h2,5,7-10H,1H2/t2-,5+/m0/s1",CIWBSHSKHKDKBQ-JLAZNSOCSA-N,山楂叶
93,有机酸类,SZY-093,奎尼酸,"Hexahydro-1,3,4,5-tetrahydroxybenzoic acid",562-73-2,C7H12O6,192.167,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",O=C(C1(O)CC(O)C(O)C(O)C1)O,"InChI=1S/C7H12O6/c8-3-1-7(13,6(11)12)2-4(9)5(3)10/h3-5,8-10,13H,1-2H2,(H,11,12)",AAWZDTNXLSGCEK-UHFFFAOYSA-N,山楂叶
94,有机酸类,SZY-094,邻苯二甲酸,Phthalic acid,88-99-3,C8H6O4,166.131,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",OC(C1=CC=CC=C1C(O)=O)=O,"InChI=1S/C8H6O4/c9-7(10)5-3-1-2-4-6(5)8(11)12/h1-4H,(H,9,10)(H,11,12)",XNGIFLGASWRNHJ-UHFFFAOYSA-N,山楂叶
95,有机酸类,SZY-095,龙胆酸,Gentisic acid,490-79-9,C7H6O4,154.12,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",OC(C1=CC(O)=CC=C1O)=O,"InChI=1S/C7H6O4/c8-4-1-2-6(9)5(3-4)7(10)11/h1-3,8-9H,(H,10,11)",WXTMDXOMEHJXQO-UHFFFAOYSA-N,山楂叶
96,有机酸类,SZY-096,莽草酸,Shikimic acid,138-59-0,C7H10O5,174.151,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",O[C@@H]1CC(C(O)=O)=C[C@@H](O)[C@H]1O,"InChI=1S/C7H10O5/c8-4-1-3(7(11)12)2-5(9)6(4)10/h1,4-6,8-10H,2H2,(H,11,12)/t4-,5-,6-/m1/s1",JXOHGGNKMLTUBP-HSUXUTPPSA-N,山楂叶
97,有机酸类,SZY-097,没食子酸,Gallic acid,149-91-7,C7H6O5,170.12,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",O=C(C1=CC(O)=C(O)C(O)=C1)O,"InChI=1S/C7H6O5/c8-4-1-3(7(11)12)2-5(9)6(4)10/h1-2,8-10H,(H,11,12)",LNTHITQWFMADLM-UHFFFAOYSA-N,山楂叶
98,有机酸类,SZY-098,柠檬酸,Citric acid,77-92-9,C6H8O7,192.124,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",OC(CC(CC(O)=O)(O)C(O)=O)=O,"InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)",KRKNYBCHXYNGOX-UHFFFAOYSA-N,山楂叶
99,有机酸类,SZY-099,柠檬酸甲酯,Trimethyl citrate,1587-20-8,C9H14O7,234.203,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",O=C(OC)CC(CC(OC)=O)(O)C(OC)=O,"InChI=1S/C9H14O7/c1-14-6(10)4-9(13,8(12)16-3)5-7(11)15-2/h13H,4-5H2,1-3H3",HDDLVZWGOPWKFW-UHFFFAOYSA-N,山楂叶
100,有机酸类,SZY-100,柠苹酸,(R)-(-)-citramalic acid,6236/10/8,C5H8O5,148.114,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",C[C@](CC(O)=O)(O)C(O)=O,"InChI=1S/C5H8O5/c1-5(10,4(8)9)2-3(6)7/h10H,2H2,1H3,(H,6,7)(H,8,9)/t5-/m1/s1",XFTRTWQBIOMVPK-RXMQYKEDSA-N,山楂叶
101,有机酸类,SZY-101,壬二酸,Azelaic acid,123-99-9,C9H16O4,188.221,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",O=C(O)CCCCCCCC(O)=O,"InChI=1S/C9H16O4/c10-8(11)6-4-2-1-3-5-7-9(12)13/h1-7H2,(H,10,11)(H,12,13)",BDJRBEYXGGNYIS-UHFFFAOYSA-N,山楂叶
102,有机酸类,SZY-102,香草酸,Vanillic acid,121-34-6,C8H8O4,168.147,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",OC1=CC=C(C(O)=O)C=C1OC,"InChI=1S/C8H8O4/c1-12-7-4-5(8(10)11)2-3-6(7)9/h2-4,9H,1H3,(H,10,11)",WKOLLVMJNQIZCI-UHFFFAOYSA-N,山楂叶
103,有机酸类,SZY-103,亚麻酸,Linolenic acid,463-40-1,C18H30O2,278.43,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",O=C(O)CCCCCCC/C=C\C/C=C\C/C=C\CC,"InChI=1S/C18H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h3-4,6-7,9-10H,2,5,8,11-17H2,1H3,(H,19,20)/b4-3-,7-6-,10-9-",DTOSIQBPPRVQHS-PDBXOOCHSA-N,山楂叶
104,有机酸类,SZY-104,亚油酸,Linoleic acid,60-33-3,C18H32O2,280.445,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",CCCCC/C=C\C/C=C\CCCCCCCC(O)=O,"InChI=1S/C18H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10H,2-5,8,11-17H2,1H3,(H,19,20)/b7-6-,10-9-",OYHQOLUKZRVURQ-HZJYTTRNSA-N,山楂叶
105,有机酸类,SZY-105,硬脂酸,stearic acid,1957/11/4,C18H36O2,284.477,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",OC(CCCCCCCCCCCCCCCCC)=O,"InChI=1S/C18H36O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h2-17H2,1H3,(H,19,20)",QIQXTHQIDYTFRH-UHFFFAOYSA-N,山楂叶
106,有机酸类,SZY-106,油酸,oleic acid,112-80-1,C18H34O2,282.461,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",OC(CCCCCCC/C=C\CCCCCCCC)=O,"InChI=1S/C18H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h9-10H,2-8,11-17H2,1H3,(H,19,20)/b10-9-",ZQPPMHVWECSIRJ-KTKRTIGZSA-N,山楂叶
107,有机酸类,SZY-107,原儿茶酸,protocatechuic acid,99-50-3,C7H6O4,154.12,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",OC1=CC=C(C(O)=O)C=C1O,"InChI=1S/C7H6O4/c8-5-2-1-4(7(10)11)3-6(5)9/h1-3,8-9H,(H,10,11)",YQUVCSBJEUQKSH-UHFFFAOYSA-N,山楂叶
108,有机酸类,SZY-108,棕榈酸,Palmitic acid,1957/10/3,C16H32O2,256.424,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",OC(CCCCCCCCCCCCCCC)=O,"InChI=1S/C16H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h2-15H2,1H3,(H,17,18)",IPCSVZSSVZVIGE-UHFFFAOYSA-N,山楂叶
109,有机酸类,SZY-109,羟基酪醇,"2-(3,4-Dihydroxyphenyl)ethanol",10597-60-1,C8H10O3,154.163,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",OC1=CC=C(CCO)C=C1O,"InChI=1S/C8H10O3/c9-4-3-6-1-2-7(10)8(11)5-6/h1-2,5,9-11H,3-4H2",JUUBCHWRXWPFFH-UHFFFAOYSA-N,山楂叶
110,有机酸类,SZY-110,丁草酚,Eugenol,97-53-0,C10H12O2,164.2,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",OC1=CC=C(CC=C)C=C1OC,"InChI=1S/C10H12O2/c1-3-4-8-5-6-9(11)10(7-8)12-2/h3,5-7,11H,1,4H2,2H3",RRAFCDWBNXTKKO-UHFFFAOYSA-N,山楂叶
111,三萜类,SZY-111,"2α,3β,19α-三羟基熊果酸","2α,3β,19α-Trihydroxyursolic acid",13850-16-3,C30H48O5,488.6991,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",C[C@@H]1CC[C@]2(C(O)=O)CC[C@@]3(C([C@H]2[C@@]1(O)C)=CC[C@@H]4[C@]5(C[C@H]([C@H](C(C)(C5CC[C@@]34C)C)O)O)C)C,"InChI=1S/C30H48O5/c1-17-10-13-30(24(33)34)15-14-27(5)18(22(30)29(17,7)35)8-9-21-26(4)16-19(31)23(32)25(2,3)20(26)11-12-28(21,27)6/h8,17,19-23,31-32,35H,9-16H2,1-7H3,(H,33,34)/t17-,19-,20?,21-,22+,23-,26+,27-,28-,29-,30+/m1/s1",OXVUXGFZHDKYLS-SPQMEPECSA-N,山楂叶
112,三萜类,SZY-112,积雪草酸,Asiatic acid,464-92-6,C30H48O5,488.699,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",C[C@@]1(CO)C[C@H](O)C[C@@]2(C)[C@@]1(O)CC[C@]3(C)[C@]2([H])CC=C4[C@@]3(C)CC[C@]5(C(O)=O)[C@@]4([H])[C@@H](C)[C@H](C)CC5,"InChI=1S/C30H48O5/c1-18-9-10-29(24(33)34)13-11-26(4)21(23(29)19(18)2)7-8-22-27(26,5)12-14-30(35)25(3,17-31)15-20(32)16-28(22,30)6/h7,18-20,22-23,31-32,35H,8-17H2,1-6H3,(H,33,34)/t18-,19+,20+,22+,23+,25+,26-,27-,28-,29+,30-/m1/s1",XGFDWZLOGKFUGO-NLPSASFTSA-N,山楂叶
113,三萜类,SZY-113,科罗索酸,Corosolic acid,4547-24-4,"C30H48O4	",472.7,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",C[C@@]12C(CC[C@]3(C)C2CC=C4[C@@]3(C)CC[C@]5(C(O)=O)[C@@]4([H])[C@@H](C)[C@H](C)CC5)C(C)(C)[C@@H](O)[C@H](O)C1,"InChI=1S/C30H48O4/c1-17-10-13-30(25(33)34)15-14-28(6)19(23(30)18(17)2)8-9-22-27(5)16-20(31)24(32)26(3,4)21(27)11-12-29(22,28)7/h8,17-18,20-24,31-32H,9-16H2,1-7H3,(H,33,34)/t17-,18+,20-,21?,22?,23+,24+,27+,28-,29-,30+/m1/s1",HFGSQOYIOKBQOW-WZSFHCERSA-N,山楂叶
114,三萜类,SZY-114,坡模酸,Pomolic acid,13849-91-7,C30H48O4,472.7,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",CC(C)(C1CC[C@@]([C@@]2(CC[C@]3(CC[C@H]([C@]([C@]3(C2=C4)[H])(O)C)C)C(O)=O)C)5C)C(CC[C@]1(C)[C@@]5([H])C4=O)=O,"InChI=1S/C30H44O5/c1-17-8-13-30(24(33)34)15-14-27(5)18(22(30)29(17,7)35)16-19(31)23-26(4)11-10-21(32)25(2,3)20(26)9-12-28(23,27)6/h16-17,20,22-23,35H,8-15H2,1-7H3,(H,33,34)/t17-,20?,22-,23-,26+,27-,28-,29-,30+/m1/s1",HXCBGVHGWXQGBN-DOBCHXPASA-N,山楂叶
115,三萜类,SZY-115,齐墩果酸,Oleanic acid,508-02-1,C30H48O3,456.7,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",[H][C@@]12[C@@](CCC(C)(C)C2)(C(O)=O)CC[C@@]3(C)[C@]4(C)CC[C@@]5([H])C(C)(C)[C@@H](O)CC[C@]5(C)[C@@]4([H])CC=C31,"InChI=1S/C30H48O3/c1-25(2)14-16-30(24(32)33)17-15-28(6)19(20(30)18-25)8-9-22-27(5)12-11-23(31)26(3,4)21(27)10-13-29(22,28)7/h8,20-23,31H,9-18H2,1-7H3,(H,32,33)/t20-,21-,22+,23-,27-,28+,29+,30-/m0/s1",MIJYXULNPSFWEK-GTOFXWBISA-N,山楂叶
116,三萜类,SZY-116,蔷薇酸,Euscaphic acid,53155-25-2,C30H48O5,488.699,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",C[C@@H]1CC[C@]2(C(O)=O)CC[C@@]3(C([C@H]2[C@@]1(O)C)=CC[C@@H]4[C@]5(C[C@H]([C@H](C(C)(C5CC[C@@]34C)C)O)O)C)C,"InChI=1S/C30H48O5/c1-17-10-13-30(24(33)34)15-14-27(5)18(22(30)29(17,7)35)8-9-21-26(4)16-19(31)23(32)25(2,3)20(26)11-12-28(21,27)6/h8,17,19-23,31-32,35H,9-16H2,1-7H3,(H,33,34)/t17-,19-,20?,21-,22+,23-,26+,27-,28-,29-,30+/m1/s1",OXVUXGFZHDKYLS-SPQMEPECSA-N,山楂叶
117,三萜类,SZY-117,山楂酸,Crategolic acid,4373-41-5,C30H48O4,472.7,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",C[C@@]12C(CC[C@]3(C)C2CC=C4[C@@]3(C)CC[C@]5(C(O)=O)[C@@]4([H])CC(C)(C)CC5)C(C)(C)[C@@H](O)[C@H](O)C1,"InChI=1S/C30H48O4/c1-25(2)12-14-30(24(33)34)15-13-28(6)18(19(30)16-25)8-9-22-27(5)17-20(31)23(32)26(3,4)21(27)10-11-29(22,28)7/h8,19-23,31-32H,9-17H2,1-7H3,(H,33,34)/t19-,20+,21?,22?,23-,27-,28+,29+,30-/m0/s1",MDZKJHQSJHYOHJ-ONCWAYKKSA-N,山楂叶
118,三萜类,SZY-118,委陵菜酸,Tormentic acid,13850-16-3,C30H48O5,488.699,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",C[C@@H]1CC[C@]2(C(O)=O)CC[C@@]3(C([C@H]2[C@@]1(O)C)=CC[C@@H]4[C@]5(C[C@H]([C@H](C(C)(C5CC[C@@]34C)C)O)O)C)C,"InChI=1S/C30H48O5/c1-17-10-13-30(24(33)34)15-14-27(5)18(22(30)29(17,7)35)8-9-21-26(4)16-19(31)23(32)25(2,3)20(26)11-12-28(21,27)6/h8,17,19-23,31-32,35H,9-16H2,1-7H3,(H,33,34)/t17-,19-,20?,21-,22+,23-,26+,27-,28-,29-,30+/m1/s1",OXVUXGFZHDKYLS-SPQMEPECSA-N,山楂叶
119,三萜类,SZY-119,熊果醇,Uvaol,545-46-0,C30H50O2,442.717,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",C[C@@]1(CC[C@@](CO)(CC[C@H]2C)[C@@]3([H])[C@H]2C)C3=CC[C@@]4([H])[C@]1(CC[C@]5([H])[C@@]4(CC[C@H](O)C5(C)C)C)C,"InChI=1S/C30H50O2/c1-19-10-15-30(18-31)17-16-28(6)21(25(30)20(19)2)8-9-23-27(5)13-12-24(32)26(3,4)22(27)11-14-29(23,28)7/h8,19-20,22-25,31-32H,9-18H2,1-7H3/t19-,20+,22+,23-,24+,25+,27+,28-,29-,30-/m1/s1",XUARCIYIVXVTAE-ZAPOICBTSA-N,山楂叶
120,三萜类,SZY-120,熊果酸,Ursolic Acid,77-52-1,C30H48O3,456.7,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",O=C([C@](CC1)(CC[C@@H](C)[C@@H]2C)[C@]2([H])C3=CC[C@@]4([H])[C@](CC[C@]5([H])[C@@]4(CC[C@H](O)C5(C)C)C)(C)[C@@]31C)O,"InChI=1S/C30H48O3/c1-18-10-15-30(25(32)33)17-16-28(6)20(24(30)19(18)2)8-9-22-27(5)13-12-23(31)26(3,4)21(27)11-14-29(22,28)7/h8,18-19,21-24,31H,9-17H2,1-7H3,(H,32,33)/t18-,19+,21+,22-,23+,24+,27+,28-,29-,30+/m1/s1",WCGUUGGRBIKTOS-GPOJBZKASA-N,山楂叶
121,三萜类,SZY-121,环阿尔廷醇,cycloartenol,469-38-5,C30H50O,426.717,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",C[C@H](CC/C=C(C)/C)[C@@]1([H])CC[C@@]2(C)[C@]3([H])CC[C@@]4([H])C(C)(C)[C@@H](O)CC[C@]4(C5)[C@]35CC[C@@]21C,"InChI=1S/C30H50O/c1-20(2)9-8-10-21(3)22-13-15-28(7)24-12-11-23-26(4,5)25(31)14-16-29(23)19-30(24,29)18-17-27(22,28)6/h9,21-25,31H,8,10-19H2,1-7H3/t21-,22-,23+,24+,25+,27-,28+,29-,30+/m1/s1",ONQRKEUAIJMULO-YBXTVTTCSA-N,山楂叶
122,三萜类,SZY-122,齿孔醇,24-methylene-24-dihydrolanosterol,6890-88-6,C31H52O,440.74,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",CC(C(CC[C@H]([C@H]1CC[C@]2(C3=C([C@]4(CC[C@@H](C(C)(C4CC3)C)O)C)CC[C@]12C)C)C)=C)C,"InChI=1S/C31H52O/c1-20(2)21(3)10-11-22(4)23-14-18-31(9)25-12-13-26-28(5,6)27(32)16-17-29(26,7)24(25)15-19-30(23,31)8/h20,22-23,26-27,32H,3,10-19H2,1-2,4-9H3/t22-,23-,26?,27+,29-,30-,31+/m1/s1",XJLZCPIILZRCPS-BGIAOWSUSA-N,山楂叶
123,单帖及倍半萜类,SZY-123,,byzantionoside B,189109-45-3,C19H32O7,372.45,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",CC([C@H](C(C)=C1)CCCO[C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O2)(C)CC1=O,"InChI=1S/C18H30O7/c1-10-7-11(20)8-18(2,3)12(10)5-4-6-24-17-16(23)15(22)14(21)13(9-19)25-17/h7,12-17,19,21-23H,4-6,8-9H2,1-3H3/t12-,13+,14+,15-,16+,17+/m0/s1",GSPHPROOVFEFKF-JXMXSTLTSA-N,山楂叶
124,单帖及倍半萜类,SZY-124,,linarionoside A,160169-57-3,C19H34O7,374.469,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",CC(C1)(C)C(CC[C@H](O)C)=C(C)C[C@@H]1O[C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O2,"InChI=1S/C19H34O7/c1-10-7-12(8-19(3,4)13(10)6-5-11(2)21)25-18-17(24)16(23)15(22)14(9-20)26-18/h11-12,14-18,20-24H,5-9H2,1-4H3/t11-,12+,14-,15-,16+,17-,18-/m1/s1",UJRMJTIXXKZFGB-JGMJVPOWSA-N,山楂叶
125,单帖及倍半萜类,SZY-125,,linarionoside B,160169-58-4,C19H34O7,374.469,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",CC1(C)C(CC[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O2)C)=C(C)CC(O)C1,"InChI=1S/C19H34O7/c1-10-7-12(21)8-19(3,4)13(10)6-5-11(2)25-18-17(24)16(23)15(22)14(9-20)26-18/h11-12,14-18,20-24H,5-9H2,1-4H3/t11-,12?,14-,15-,16+,17-,18-/m1/s1",QOLJILMTPKQQQA-OAUMBLSHSA-N,山楂叶
126,甾醇类,SZY-126,,(6S.7E.9R)-Roseoside,54835-70-0,C19H30O8,386.44,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",O=C1C=C(C)[C@@](/C=C/[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C)(O)C(C)(C)C1,"InChI=1S/C19H30O8/c1-10-7-12(21)8-18(3,4)19(10,25)6-5-11(2)26-17-16(24)15(23)14(22)13(9-20)27-17/h5-7,11,13-17,20,22-25H,8-9H2,1-4H3/b6-5+/t11-,13-,14-,15+,16-,17-,19-/m1/s1",SWYRVCGNMNAFEK-MHXFFUGFSA-N,山楂叶
127,甾醇类,SZY-127, 麦角甾苷,verbascoside,"

61276-17-3",C29H36O15,624.587,,"[1] Chemical composition, biological activities, and quality standards of hawthorn leaves used in traditional Chinese medicine: a comprehensive review.",OC1=C(O)C=C(/C=C/C(O[C@H]2[C@H](O[C@]3([H])O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)[C@@H](O)[C@H](OCCC4=CC=C(O)C(O)=C4)O[C@@H]2CO)=O)C=C1,"InChI=1S/C29H36O15/c1-13-22(36)23(37)24(38)29(41-13)44-27-25(39)28(40-9-8-15-3-6-17(32)19(34)11-15)42-20(12-30)26(27)43-21(35)7-4-14-2-5-16(31)18(33)10-14/h2-7,10-11,13,20,22-34,36-39H,8-9,12H2,1H3/b7-4+/t13-,20+,22-,23+,24+,25+,26+,27+,28+,29-/m0/s1",FBSKJMQYURKNSU-ZLSOWSIRSA-N,山楂叶
