编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,化合物种类,,,,
CX-066,咖啡酸,caffeic acid,C9H8O4,180.1590 ,331-39-5,,苯丙素,O=C(/C=C/C1=CC=C(C(O)=C1)O)O,"InChI=1S/C9H8O4/c10-7-3-1-6(5-8(7)11)2-4-9(12)13/h1-5,10-11H,(H,12,13)/b4-2+",QAIPRVGONGVQAS-DUXPYHPUSA-N,川芎
CX-067,原儿茶酸,protocatechuic acid,C7H6O4,154.1210 ,99-50-3,,酚酸,O=C(C1=CC=C(C(O)=C1)O)O,"InChI=1S/C7H6O4/c8-5-2-1-4(7(10)11)3-6(5)9/h1-3,8-9H,(H,10,11)",YQUVCSBJEUQKSH-UHFFFAOYSA-N,川芎
CX-068,香兰素,vanillin,C8H8O3,152.1490 ,121-33-5,,其他,O=CC1=CC=C(C(OC)=C1)O,"InChI=1S/C8H8O3/c1-11-8-4-6(5-9)2-3-7(8)10/h2-5,10H,1H3",MWOOGOJBHIARFG-UHFFFAOYSA-N,川芎
CX-069,没食子酸,gallic acid,C7H6O5,170.1220 ,149-91-7,,酚酸,O=C(C1=CC(O)=C(C(O)=C1)O)O,"InChI=1S/C7H6O5/c8-4-1-3(7(11)12)2-5(9)6(4)10/h1-2,8-10H,(H,11,12)",LNTHITQWFMADLM-UHFFFAOYSA-N,川芎
CX-070, 芥子酸,sinapic acid,C11H12O5,224.2120 ,530-59-6,,苯丙素,O=C(/C=C/C1=CC(OC)=C(O)C(OC)=C1)O,"InChI=1S/C11H12O5/c1-15-8-5-7(3-4-10(12)13)6-9(16-2)11(8)14/h3-6,14H,1-2H3,(H,12,13)/b4-3+",PCMORTLOPMLEFB-ONEGZZNKSA-N,川芎
CX-071,大黄酚,chrysophanol,C15H10O4,254.2410 ,481-74-3,,醌类,O=C1C2=C(C(C3=C(C=C(C)C=C13)O)=O)C(O)=CC=C2,"InChI=1S/C15H10O4/c1-7-5-9-13(11(17)6-7)15(19)12-8(14(9)18)3-2-4-10(12)16/h2-6,16-17H,1H3",LQGUBLBATBMXHT-UHFFFAOYSA-N,川芎
CX-072,绿原酸,chlorogenic acid,C16H18O9,354.3110 ,327-97-9,,酚酸,OC(C=C1/C=C/C(O[C@@H]2C[C@@](O)(C[C@H]([C@H]2O)O)C(O)=O)=O)=C(C=C1)O,"InChI=1S/C16H18O9/c17-9-3-1-8(5-10(9)18)2-4-13(20)25-12-7-16(24,15(22)23)6-11(19)14(12)21/h1-5,11-12,14,17-19,21,24H,6-7H2,(H,22,23)/b4-2+/t11-,12-,14-,16+/m1/s1",CWVRJTMFETXNAD-JUHZACGLSA-N,川芎
CX-073,丁二酸,succinic acid,C4H6O4,118.0880 ,110-15-6,,酚酸,O=C(CCC(O)=O)O,"InChI=1S/C4H6O4/c5-3(6)1-2-4(7)8/h1-2H2,(H,5,6)(H,7,8)",KDYFGRWQOYBRFD-UHFFFAOYSA-N,川芎
CX-074,棕榈酸,palmitic acid,C16H32O2,256.4300 ,57-10-3,,脂肪酸类,O=C(CCCCCCCCCCCCCCC)O,"InChI=1S/C16H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h2-15H2,1H3,(H,17,18)",IPCSVZSSVZVIGE-UHFFFAOYSA-N,川芎
CX-075,亚油酸,linoleic acid,C18H32O2,280.4520 ,60-33-3,,脂肪酸类,CCCCC/C=C\C/C=C\CCCCCCCC(O)=O,"InChI=1S/C18H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10H,2-5,8,11-17H2,1H3,(H,19,20)/b7-6-,10-9-",OYHQOLUKZRVURQ-HZJYTTRNSA-N,川芎
CX-076,油酸,oleic acid,C18H34O2,282.4680 ,112-80-1,,脂肪酸类,CCCCCCCC/C=C\CCCCCCCC(O)=O,"InChI=1S/C18H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h9-10H,2-8,11-17H2,1H3,(H,19,20)/b10-9-",ZQPPMHVWECSIRJ-KTKRTIGZSA-N,川芎
CX-077,亚叶酸,folinic acid,C20H23N7O7,473.4460 ,58-05-9,,生物碱,O=CN1C2=C(NC(N)=NC2=O)NCC1CNC3=CC=C(C=C3)C(N[C@H](C(O)=O)CCC(O)=O)=O,"InChI=1S/C20H23N7O7/c21-20-25-16-15(18(32)26-20)27(9-28)12(8-23-16)7-22-11-3-1-10(2-4-11)17(31)24-13(19(33)34)5-6-14(29)30/h1-4,9,12-13,22H,5-8H2,(H,24,31)(H,29,30)(H,33,34)(H4,21,23,25,26,32)/t12?,13-/m0/s1",VVIAGPKUTFNRDU-ABLWVSNPSA-N,川芎
CX-078,,augustic acid,C30H48O4,472.7100 ,26707-60-8,,三萜,C[C@]12[C@]3(C([C@@]4([H])[C@@](CC3)(CCC(C)(C4)C)C(O)=O)=CC[C@]1([H])[C@@]5([C@@](C(C)([C@H]([C@H](C5)O)O)C)([H])CC2)C)C,"InChI=1S/C30H48O4/c1-25(2)12-14-30(24(33)34)15-13-28(6)18(19(30)16-25)8-9-22-27(5)17-20(31)23(32)26(3,4)21(27)10-11-29(22,28)7/h8,19-23,31-32H,9-17H2,1-7H3,(H,33,34)/t19-,20-,21-,22+,23-,27-,28+,29+,30-/m0/s1",MDZKJHQSJHYOHJ-KRGADYIYSA-N,川芎
CX-079,川芎三萜,xiongterpene,C39H54O5,602.8560 ,50627-73-1,,三萜,OC([C@]12[C@]([C@H]([C@@H](CC2)C)C)([H])C3=CC[C@@]([C@@]4([C@@](C(C)([C@H](CC4)OC(/C=C/C5=CC=C(C=C5)O)=O)C)([H])CC6)C)([H])[C@]6(C)[C@@]3(CC1)C)=O,"InChI=1S/C39H54O5/c1-24-16-21-39(34(42)43)23-22-37(6)28(33(39)25(24)2)13-14-30-36(5)19-18-31(35(3,4)29(36)17-20-38(30,37)7)44-32(41)15-10-26-8-11-27(40)12-9-26/h8-13,15,24-25,29-31,33,40H,14,16-23H2,1-7H3,(H,42,43)/b15-10+/t24-,25+,29+,30-,31+,33+,36+,37-,38-,39+/m1/s1",ZOXDAGKKDOEJBW-YVZDRRNJSA-N,川芎
CX-080,,ligusticumacid A,C26H28O13,548.4970 ,2573174-07-7,,苯丙素,COC(C=C(C=C1)/C=C(C(O)=O)/OC2=C(C=C(C=C2)/C=C/C(O)=O)OC)=C1O[C@@H]3O[C@@H]([C@H]([C@@H]([C@H]3O)O)O)CO,"InChI=1S/C26H28O13/c1-35-17-9-13(5-8-21(28)29)3-6-15(17)37-19(25(33)34)11-14-4-7-16(18(10-14)36-2)38-26-24(32)23(31)22(30)20(12-27)39-26/h3-11,20,22-24,26-27,30-32H,12H2,1-2H3,(H,28,29)(H,33,34)/b8-5+,19-11+/t20-,22-,23+,24-,26-/m1/s1",SZYMRNHROANIEB-ZUVIQOANSA-N,川芎
CX-081,,ligusticumacid B,C24H26O10,474.4620 ,2573174-08-8,,苯丙素,OC(C=C1)=CC=C1/C=C/C(C=C(C=C2OC)/C=C/C(O)=O)=C2O[C@@H]3O[C@@H]([C@H]([C@@H]([C@H]3O)O)O)CO,"InChI=1S/C24H26O10/c1-32-17-11-14(5-9-19(27)28)10-15(6-2-13-3-7-16(26)8-4-13)23(17)34-24-22(31)21(30)20(29)18(12-25)33-24/h2-11,18,20-22,24-26,29-31H,12H2,1H3,(H,27,28)/b6-2+,9-5+/t18-,20-,21+,22-,24+/m1/s1",PGMFGJCKBAAOTA-NWBAGRDFSA-N,川芎
CX-082,,ligusticumacid C,C25H26O12,518.4710 ,2573174-09-9,,苯丙素,OC([C@H]1C2=CC(/C=C/C(O)=O)=CC(OC)=C2O[C@@H]1C3=CC=C(C=C3)O[C@@H]4O[C@@H]([C@H]([C@@H]([C@H]4O)O)O)CO)=O,"InChI=1S/C25H26O12/c1-34-15-9-11(2-7-17(27)28)8-14-18(24(32)33)22(37-23(14)15)12-3-5-13(6-4-12)35-25-21(31)20(30)19(29)16(10-26)36-25/h2-9,16,18-22,25-26,29-31H,10H2,1H3,(H,27,28)(H,32,33)/b7-2+/t16-,18+,19-,20+,21-,22-,25-/m1/s1",YFWUGFOBGAXOJH-PKGJQKHFSA-N,川芎
CX-083,,ligusticumaldehyde A,C24H28O11,492.4770 ,2573174-19-1,,其他,OC[C@@H]1C2=CC(C=O)=CC(OC)=C2O[C@H]1C3=CC(OC)=C(C=C3)O[C@@H]4O[C@@H]([C@H]([C@@H]([C@H]4O)O)O)CO,"InChI=1S/C24H28O11/c1-31-16-7-12(3-4-15(16)33-24-21(30)20(29)19(28)18(10-27)34-24)22-14(9-26)13-5-11(8-25)6-17(32-2)23(13)35-22/h3-8,14,18-22,24,26-30H,9-10H2,1-2H3/t14-,18-,19-,20+,21-,22+,24-/m1/s1",XVUMJBSEEPMHQR-YRIBFKNTSA-N,川芎
CX-084,,ligusticumacid D,C24H24O11,488.4450 ,2573174-20-4,,其他,OC(C=C1)=CC=C1/C=C/C(OC(C=C(C=C2)/C=C/C(O)=O)=C2O[C@@H]3O[C@@H]([C@H]([C@@H]([C@H]3O)O)O)CO)=O,"InChI=1S/C24H24O11/c25-12-18-21(30)22(31)23(32)24(35-18)34-16-8-3-14(4-9-19(27)28)11-17(16)33-20(29)10-5-13-1-6-15(26)7-2-13/h1-11,18,21-26,30-32H,12H2,(H,27,28)/b9-4+,10-5+/t18-,21-,22+,23-,24-/m1/s1",VZLZROFJUNTYNY-XXHKJZEYSA-N,川芎
CX-085,,ligusticumacid E,C25H26O12,518.4710 ,2573174-21-5,,其他,OC([C@H]1[C@H](C2=CC(OC)=C(C=C2)O[C@@H]3O[C@@H]([C@H]([C@@H]([C@H]3O)O)O)CO)OC(/C1=C/C4=CC=C(C=C4)O)=O)=O,"InChI=1S/C25H26O12/c1-34-16-9-12(4-7-15(16)35-25-21(30)20(29)19(28)17(10-26)36-25)22-18(23(31)32)14(24(33)37-22)8-11-2-5-13(27)6-3-11/h2-9,17-22,25-30H,10H2,1H3,(H,31,32)/b14-8+/t17-,18-,19-,20+,21-,22+,25-/m1/s1",CJFNIXJICGZNMT-PZWDBUPOSA-N,川芎
CX-086,,ligusticumacid F,C33H32O15,668.6640 ,2573174-22-6,,其他,OC([C@H]1[C@H](C2=CC(OC)=C(C=C2)O[C@@H]3O[C@@H]([C@H]([C@@H]([C@H]3O)O)O)COC(C4=CC(OC)=C(C=C4)O)=O)OC(/C1=C/C5=CC=C(C=C5)O)=O)=O,"InChI=1S/C33H32O15/c1-43-22-13-17(5-9-20(22)35)31(41)45-14-24-26(36)27(37)28(38)33(47-24)46-21-10-6-16(12-23(21)44-2)29-25(30(39)40)19(32(42)48-29)11-15-3-7-18(34)8-4-15/h3-13,24-29,33-38H,14H2,1-2H3,(H,39,40)/b19-11+/t24-,25-,26-,27+,28-,29+,33-/m1/s1",ZLPMSIYNPQLRLK-HWOXOQSHSA-N,川芎
CX-087,川芎哚,perlolyrine,C16H12N2O2,264.2840 ,29700-20-7,,生物碱,OCC1=CC=C(C2=NC=CC3=C2NC4=CC=CC=C34)O1,"InChI=1S/C16H12N2O2/c19-9-10-5-6-14(20-10)16-15-12(7-8-17-16)11-3-1-2-4-13(11)18-15/h1-8,18-19H,9H2",KFUCYPGCMLPUMT-UHFFFAOYSA-N,川芎
CX-088,1-乙酰基-Β-咔啉,1-acetyl-β-carboline,C13H10N2O,210.2360 ,50892-83-6,,生物碱,O=C(C)C1=NC=CC2=C1NC3=C2C=CC=C3,"InChI=1S/C13H10N2O/c1-8(16)12-13-10(6-7-14-12)9-4-2-3-5-11(9)15-13/h2-7,15H,1H3",NXZSUJKPVSDFNF-UHFFFAOYSA-N,川芎
CX-089,腺苷,adenosine,C10H13N5O4,267.2450 ,58-61-7,,其他,O[C@H]1[C@@H](O[C@@H]([C@H]1O)CO)N2C3=NC=NC(N)=C3N=C2,"InChI=1S/C10H13N5O4/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(18)6(17)4(1-16)19-10/h2-4,6-7,10,16-18H,1H2,(H2,11,12,13)/t4-,6-,7-,10-/m1/s1",OIRDTQYFTABQOQ-KQYNXXCUSA-N,川芎
CX-090,尿嘧啶,uracil,C4H4N2O2,112.0880 ,66-22-8,,其他,O=C1C=CNC(N1)=O,"InChI=1S/C4H4N2O2/c7-3-1-2-5-4(8)6-3/h1-2H,(H2,5,6,7,8)",ISAKRJDGNUQOIC-UHFFFAOYSA-N,川芎
CX-091,腺嘌呤,adenine,C5H5N5,135.1300 ,73-24-5,,其他,NC1=NC=NC2=C1NC=N2,"InChI=1S/C5H5N5/c6-4-3-5(9-1-7-3)10-2-8-4/h1-2H,(H3,6,7,8,9,10)",GFFGJBXGBJISGV-UHFFFAOYSA-N,川芎
CX-092,三甲胺,trimethylamine,C3H9N,59.1120 ,75-50-3,,其他,CN(C)C,InChI=1S/C3H9N/c1-4(2)3/h1-3H3,GETQZCLCWQTVFV-UHFFFAOYSA-N,川芎
CX-093,胆碱,choline,C5H14NO,104.1725 ,62-49-7,,其他,OCC[N+](C)(C)C,"InChI=1S/C5H14NO/c1-6(2,3)4-5-7/h7H,4-5H2,1-3H3/q+1",OEYIOHPDSNJKLS-UHFFFAOYSA-N,川芎
CX-094,,aspergiketone,C15H22O3,250.3380 ,2170261-32-0,,萜类,C/C(C)=C\[C@H]1[C@@]2(C[C@](C(CC2)=C)([H])[C@](O)(C1=O)C)O,"InChI=1S/C15H22O3/c1-9(2)7-11-13(16)14(4,17)12-8-15(11,18)6-5-10(12)3/h7,11-12,17-18H,3,5-6,8H2,1-2,4H3/t11-,12+,14+,15-/m1/s1",WDQWJAUHOXOJKS-PAPYEOQZSA-N,川芎
CX-095,芹菜素,APIGENIN, C15H10O5,270.2400 ,520-36-5,,黄酮,O=C(C1=C(O)C=C(O)C=C1O2)C=C2C3=CC=C(O)C=C3,"InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-7,16-18H",KZNIFHPLKGYRTM-UHFFFAOYSA-N,川芎
CX-096,槲皮素,quercetin,C15H10O7,302.2308 ,117-39-5,,黄酮,O=C1C(O)=C(C2=CC(O)=C(O)C=C2)OC3=C1C(O)=CC(O)=C3,"InChI=1S/C15H10O7/c16-7-4-10(19)12-11(5-7)22-15(14(21)13(12)20)6-1-2-8(17)9(18)3-6/h1-5,16-19,21H",REFJWTPEDVJJIY-UHFFFAOYSA-N,川芎
CX-097,大豆黄素,daidzein,C15H10O4,254.2410 ,486-66-8,,黄酮,O=C1C(C2=CC=C(O)C=C2)=COC3=CC(O)=CC=C13,"InChI=1S/C15H10O4/c16-10-3-1-9(2-4-10)13-8-19-14-7-11(17)5-6-12(14)15(13)18/h1-8,16-17H",ZQSIJRDFPHDXIC-UHFFFAOYSA-N,川芎
CX-098,大豆苷,daidzin,C21H20O9,416.3820 ,552-66-9,,黄酮,O=C1C2=CC=C(O[C@@H]3O[C@@H]([C@H]([C@@H]([C@H]3O)O)O)CO)C=C2OC=C1C4=CC=C(C=C4)O,"InChI=1S/C21H20O9/c22-8-16-18(25)19(26)20(27)21(30-16)29-12-5-6-13-15(7-12)28-9-14(17(13)24)10-1-3-11(23)4-2-10/h1-7,9,16,18-23,25-27H,8H2/t16-,18-,19+,20-,21-/m1/s1",KYQZWONCHDNPDP-QNDFHXLGSA-N,川芎
CX-099,紫云英苷,astragalin,C21H20O11,448.3800 ,480-10-4,,黄酮,O=C1C2=C(O)C=C(O)C=C2OC(C3=CC=C(C=C3)O)=C1O[C@@H]4O[C@@H]([C@H]([C@@H]([C@H]4O)O)O)CO,"InChI=1S/C21H20O11/c22-7-13-15(26)17(28)18(29)21(31-13)32-20-16(27)14-11(25)5-10(24)6-12(14)30-19(20)8-1-3-9(23)4-2-8/h1-6,13,15,17-18,21-26,28-29H,7H2/t13-,15-,17+,18-,21+/m1/s1",JPUKWEQWGBDDQB-QSOFNFLRSA-N,川芎
CX-100,孕烯醇酮,pregnenolone,C21H32O2,316.4850 ,145-13-1,,其他,C[C@@]12[C@]3([H])[C@](CC=C1C[C@H](CC2)O)([H])[C@@]4([H])[C@](CC3)([C@H](CC4)C(C)=O)C,"InChI=1S/C21H32O2/c1-13(22)17-6-7-18-16-5-4-14-12-15(23)8-10-20(14,2)19(16)9-11-21(17,18)3/h4,15-19,23H,5-12H2,1-3H3/t15-,16-,17+,18-,19-,20-,21+/m0/s1",ORNBQBCIOKFOEO-QGVNFLHTSA-N,川芎
CX-101,胡萝卜苷,daucosterol,C35H60O6,576.4390 ,474-58-8,,甾体,C[C@@]12[C@](CC[C@]2([H])[C@H](C)CC[C@@H](CC)C(C)C)([H])[C@@]3([H])[C@@](CC1)([H])[C@@]4(C(C[C@H](CC4)O[C@@H]5O[C@@H]([C@H]([C@@H]([C@H]5O)O)O)CO)=CC3)C,"InChI=1S/C35H60O6/c1-7-22(20(2)3)9-8-21(4)26-12-13-27-25-11-10-23-18-24(14-16-34(23,5)28(25)15-17-35(26,27)6)40-33-32(39)31(38)30(37)29(19-36)41-33/h10,20-22,24-33,36-39H,7-9,11-19H2,1-6H3/t21-,22-,24+,25+,26-,27+,28+,29-,30-,31+,32-,33-,34+,35-/m1/s1",NPJICTMALKLTFW-OFUAXYCQSA-N,川芎
CX-102,β-谷甾醇,β-sitosterol,C29H50O,414.7180 ,83-46-5,,三萜,C[C@@]12[C@](CC[C@]2([H])[C@H](C)CC[C@@H](CC)C(C)C)([H])[C@@]3([H])[C@@](CC1)([H])[C@@]4(C(C[C@H](CC4)O)=CC3)C,"InChI=1S/C29H50O/c1-7-21(19(2)3)9-8-20(4)25-12-13-26-24-11-10-22-18-23(30)14-16-28(22,5)27(24)15-17-29(25,26)6/h10,19-21,23-27,30H,7-9,11-18H2,1-6H3/t20-,21-,23+,24+,25-,26+,27+,28+,29-/m1/s1",KZJWDPNRJALLNS-VJSFXXLFSA-N,川芎
CX-103,,campest-4-en-3-one,C28H46O,398.6750 ,22260-46-4,,三萜,C[C@@]12[C@](CC[C@]2([H])[C@H](C)CC[C@@H](C)C(C)C)([H])[C@@]3([H])[C@@](CC1)([H])[C@@]4(C(CC3)=CC(CC4)=O)C,"InChI=1S/C28H46O/c1-18(2)19(3)7-8-20(4)24-11-12-25-23-10-9-21-17-22(29)13-15-27(21,5)26(23)14-16-28(24,25)6/h17-20,23-26H,7-16H2,1-6H3/t19-,20-,23+,24-,25+,26+,27+,28-/m1/s1",QQIOPZFVTIHASB-IMUDCKKOSA-N,川芎
CX-104,东莨菪内酯,scopoletin,C10H8O4,192.1700 ,92-61-5,,香豆素,O=C1OC2=C(C=C1)C=C(OC)C(O)=C2,"InChI=1S/C10H8O4/c1-13-9-4-6-2-3-10(12)14-8(6)5-7(9)11/h2-5,11H,1H3",RODXRVNMMDRFIK-UHFFFAOYSA-N,川芎
CX-105,淫羊藿次苷 F2,Icariside F2,C18H26O10,402.3960 ,115009-57-9,,其他,O[C@H]([C@H]([C@@H]1O)O)[C@H](OCC2=CC=CC=C2)O[C@@H]1CO[C@H]3[C@@H]([C@](O)(CO3)CO)O,"InChI=1S/C18H26O10/c19-8-18(24)9-27-17(15(18)23)26-7-11-12(20)13(21)14(22)16(28-11)25-6-10-4-2-1-3-5-10/h1-5,11-17,19-24H,6-9H2/t11-,12-,13+,14-,15+,16-,17-,18-/m1/s1",NJMQSVWMCODQIP-FQXXIRCGSA-N,川芎
CX-106,阿魏酸松柏酯,coniferyl ferulate,C20H20O6,356.3740 ,63644-62-2,,苯丙素,O=C(/C=C/C1=CC=C(C(OC)=C1)O)OC/C=C/C2=CC=C(C(OC)=C2)O,"InChI=1S/C20H20O6/c1-24-18-12-14(5-8-16(18)21)4-3-11-26-20(23)10-7-15-6-9-17(22)19(13-15)25-2/h3-10,12-13,21-22H,11H2,1-2H3/b4-3+,10-7+",PGLIMMMHQDNVRS-YZQQHVNFSA-N,川芎
CX-107,金色酰胺醇酯,aurantiamide acetate,C27H28N2O4,444.5310 ,56121-42-7,,其他,CC(OC[C@H](CC1=CC=CC=C1)NC([C@@H](NC(C2=CC=CC=C2)=O)CC3=CC=CC=C3)=O)=O,"InChI=1S/C27H28N2O4/c1-20(30)33-19-24(17-21-11-5-2-6-12-21)28-27(32)25(18-22-13-7-3-8-14-22)29-26(31)23-15-9-4-10-16-23/h2-16,24-25H,17-19H2,1H3,(H,28,32)(H,29,31)/t24-,25-/m0/s1",VZPAURMDJZOGHU-DQEYMECFSA-N,川芎
CX-108,过氧化麦角甾醇,ergosterol peroxide,C28H44O3,428.6570 ,2061-64-5,,甾体,C[C@@]12[C@]3([H])[C@]4(C=C[C@]1(C[C@H](CC2)O)OO4)[C@@]5([H])[C@](CC3)([C@@](CC5)([H])[C@H](C)/C=C/[C@H](C)C(C)C)C,"InChI=1S/C28H44O3/c1-18(2)19(3)7-8-20(4)22-9-10-23-25(22,5)13-12-24-26(6)14-11-21(29)17-27(26)15-16-28(23,24)31-30-27/h7-8,15-16,18-24,29H,9-14,17H2,1-6H3/b8-7+/t19-,20+,21-,22+,23+,24+,25+,26+,27+,28-/m0/s1",VXOZCESVZIRHCJ-KGHQQZOUSA-N,川芎
CX-109,二十四烷酸,lignoceric acid,C24H48O2,368.6460 ,557-59-5,,脂肪酸类,O=C(CCCCCCCCCCCCCCCCCCCCCCC)O,"InChI=1S/C24H48O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24(25)26/h2-23H2,1H3,(H,25,26)",QZZGJDVWLFXDLK-UHFFFAOYSA-N,川芎
CX-110,洋川芎内酯O,Senkyunolide O,C24H28O4,380.4840 ,142797-35-1,,萜类,CCC/C=C1[C@@]23[C@@]4([H])C5=C(CC[C@@]4([H])[C@@](CC3)([H])C=C2C(O/1)=O)/C(OC5=O)=C\CCC,"InChI=1S/C24H28O4/c1-3-5-7-18-16-10-9-15-14-11-12-24(21(15)20(16)23(26)27-18)17(13-14)22(25)28-19(24)8-6-4-2/h7-8,13-15,21H,3-6,9-12H2,1-2H3/b18-7+,19-8-/t14-,15+,21-,24+/m1/s1",UBBRXVRQZJSDAK-ZWIMZASDSA-N,川芎
CX-111,新当归内酯,angelicide,C24H28O4,380.4840 ,92935-94-9,,挥发油,CCCC1C2(C3=C(C=CCC3)C(O2)=O)C4([H])C1([H])CCC5=C4C(O/C5=C\CCC)=O,"InChI=1S/C24H28O4/c1-3-5-11-19-16-13-12-14-17(8-4-2)24(21(14)20(16)23(26)27-19)18-10-7-6-9-15(18)22(25)28-24/h6,9,11,14,17,21H,3-5,7-8,10,12-13H2,1-2H3/b19-11-",TYSOMZQRYGBSKN-ODLFYWEKSA-N,川芎
CX-112,亚油酸,"9,12-Octadecadienoic acid",C18H32O2,280.4520 ,2197-37-7,,脂肪酸类,O=C(CCCCCCC/C=C/C/C=C/CCCCC)O,"InChI=1S/C18H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10H,2-5,8,11-17H2,1H3,(H,19,20)/b7-6+,10-9+",OYHQOLUKZRVURQ-AVQMFFATSA-N,川芎
CX-113,2-羟基-5-甲基苯乙酮,2′-Hydroxy-5′-methylacetophenone,C9H10O2,150.1770 ,1450-72-2,,其他,O=C(C)C1=CC(C)=CC=C1O,"InChI=1S/C9H10O2/c1-6-3-4-9(11)8(5-6)7(2)10/h3-5,11H,1-2H3",YNPDFBFVMJNGKZ-UHFFFAOYSA-N,川芎
CX-114,左旋-β-蒎烯,(-)-β-Pinene,C10H16,136.2380 ,18172-67-3,,萜类,CC1([C@@]2([H])C[C@]1([H])CCC2=C)C,"InChI=1S/C10H16/c1-7-4-5-8-6-9(7)10(8,2)3/h8-9H,1,4-6H2,2-3H3/t8-,9-/m0/s1",WTARULDDTDQWMU-IUCAKERBSA-N,川芎
CX-115,左旋-α-蒎烯,(-)-α-Pinene,C10H16,136.2380 ,7785-26-4,,萜类,CC1([C@@]2([H])C[C@]1([H])CC=C2C)C,"InChI=1S/C10H16/c1-7-4-5-8-6-9(7)10(8,2)3/h4,8-9H,5-6H2,1-3H3/t8-,9-/m0/s1",GRWFGVWFFZKLTI-IUCAKERBSA-N,川芎
CX-116,,Campholenal,C10H16O,152.2370 ,23727-15-3,,萜类,O=CC[C@H]1C(C)(C(C)=CC1)C,"InChI=1S/C10H16O/c1-8-4-5-9(6-7-11)10(8,2)3/h4,7,9H,5-6H2,1-3H3/t9-/m0/s1",OGCGGWYLHSJRFY-VIFPVBQESA-N,川芎
CX-117,桉叶油醇,"1,8-Cineole",C10H18O,154.2530 ,470-82-6,,萜类,CC1(C)OC2(C)CCC1CC2,"InChI=1S/C10H18O/c1-9(2)8-4-6-10(3,11-9)7-5-8/h8H,4-7H2,1-3H3",WEEGYLXZBRQIMU-UHFFFAOYSA-N,川芎
CX-118,水芹醛,Phellandral,C10H16O,152.2370 ,21391-98-0,,萜类,O=CC1=CCC(C(C)C)CC1,"InChI=1S/C10H16O/c1-8(2)10-5-3-9(7-11)4-6-10/h3,7-8,10H,4-6H2,1-2H3",AEVLWICMAHGAMS-UHFFFAOYSA-N,川芎
CX-119,莰烯,(±)-Camphene,C10H16,136.2380 ,79-92-5,,萜类,C=C1C2CCC(C1(C)C)C2,"InChI=1S/C10H16/c1-7-8-4-5-9(6-8)10(7,2)3/h8-9H,1,4-6H2,2-3H3",CRPUJAZIXJMDBK-UHFFFAOYSA-N,川芎
CX-120,α-松油醇,(-)-α-Terpineol,C10H18O,154.2530 ,10482-56-1,,萜类,CC(O)([C@H]1CCC(C)=CC1)C,"InChI=1S/C10H18O/c1-8-4-6-9(7-5-8)10(2,3)11/h4,9,11H,5-7H2,1-3H3/t9-/m1/s1",WUOACPNHFRMFPN-SECBINFHSA-N,川芎
CX-121,(-)-Α-荜澄茄油烯,alpha-Cubebene,C15H24,204.3570 ,17699-14-8,,萜类,C[C@H]1[C@]23[C@@]([C@@H](CC1)C(C)C)([H])[C@@]2([H])C(C)=CC3,"InChI=1S/C15H24/c1-9(2)12-6-5-11(4)15-8-7-10(3)13(15)14(12)15/h7,9,11-14H,5-6,8H2,1-4H3/t11-,12+,13-,14-,15+/m1/s1",XUEHVOLRMXNRKQ-KHMAMNHCSA-N,川芎
CX-122,4-异丙基甲苯,p-Cymene,C10H14,134.2220 ,4939-75-7,,萜类,CC1=CC=C(C(C)C)C=C1,"InChI=1S/C10H14/c1-8(2)10-6-4-9(3)5-7-10/h4-8H,1-3H3",HFPZCAJZSCWRBC-UHFFFAOYSA-N,川芎
CX-123,壬醛,Nonanal,C9H18O,142.2420 ,124-19-6,,脂肪酸类,O=CCCCCCCCC,"InChI=1S/C9H18O/c1-2-3-4-5-6-7-8-9-10/h9H,2-8H2,1H3",GYHFUZHODSMOHU-UHFFFAOYSA-N,川芎
CX-124,,α-Thujene,C10H16,136.2380 ,1406-51-5,,萜类,CC1=CCC2(C(C)C)CC12,"InChI=1S/C10H16/c1-7(2)10-5-4-8(3)9(10)6-10/h4,7,9H,5-6H2,1-3H3",KQAZVFVOEIRWHN-UHFFFAOYSA-N,川芎
CX-125,,(-)-Bornyl acetate,C12H20O2,196.2900 ,6626-35-3,,萜类,C[C@@]12[C@@H](C[C@@](CC2)([H])C1(C)C)OC(C)=O,"InChI=1S/C12H20O2/c1-8(13)14-10-7-9-5-6-12(10,4)11(9,2)3/h9-10H,5-7H2,1-4H3/t9-,10+,12+/m0/s1",KGEKLUUHTZCSIP-HOSYDEDBSA-N,川芎
