编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,化合物种类,,,,
CX-017,,Riligustilide,C24H28O4,380.4840 ,89354-45-0,,挥发油,CCC[C@@H]1[C@@]2(C3=C(C=CCC3)C(O2)=O)[C@@]4([H])[C@]1([H])CCC5=C4C(O/C5=C\CCC)=O,"InChI=1S/C24H28O4/c1-3-5-11-19-16-13-12-14-17(8-4-2)24(21(14)20(16)23(26)27-19)18-10-7-6-9-15(18)22(25)28-24/h6,9,11,14,17,21H,3-5,7-8,10,12-13H2,1-2H3/b19-11-/t14-,17+,21+,24-/m1/s1",TYSOMZQRYGBSKN-DRQJQJQISA-N,川芎
CX-018,,E-Butylidenephthalide,C12H12O2,188.2260 ,76681-73-7,,挥发油,CCC/C=C1C2=CC=CC=C2C(O\1)=O,"InChI=1S/C12H12O2/c1-2-3-8-11-9-6-4-5-7-10(9)12(13)14-11/h4-8H,2-3H2,1H3/b11-8+",WMBOCUXXNSOQHM-DHZHZOJOSA-N,川芎
CX-019,3-正丁烯基苯酞, (Z)-Ligustilide,C12H12O2,188.2260 ,551-08-6,,挥发油,O=C1O/C(C2=C1C=CC=C2)=C\CCC,"InChI=1S/C12H12O2/c1-2-3-8-11-9-6-4-5-7-10(9)12(13)14-11/h4-8H,2-3H2,1H3/b11-8-",WMBOCUXXNSOQHM-FLIBITNWSA-N,川芎
CX-020,川芎醇,Chuanxiongol,C12H14O3,206.2410 ,87421-30-5,,挥发油,O=C1OC(CCCC)C2=C1C=CC=C2O,"InChI=1S/C12H14O3/c1-2-3-7-10-11-8(12(14)15-10)5-4-6-9(11)13/h4-6,10,13H,2-3,7H2,1H3",JQSVHBFDZXZENO-UHFFFAOYSA-N,川芎
CX-021,川芎内酯 A, Cnidilide,C12H18O2,194.2740 ,3674-03-1,,挥发油,CCCC[C@H]1[C@]2([H])[C@](C=CCC2)([H])C(O1)=O,"InChI=1S/C12H18O2/c1-2-3-8-11-9-6-4-5-7-10(9)12(13)14-11/h5,7,9-11H,2-4,6,8H2,1H3/t9-,10+,11-/m0/s1",UXDIXFDKSPCUIX-AXFHLTTASA-N,川芎
CX-022, 新蛇床内酯, neoCnidilide,C12H18O2,194.2740 ,4567-33-3,,挥发油,CCCC[C@@H]1[C@]2([H])C(C(O1)=O)=CCCC2,"InChI=1S/C12H18O2/c1-2-3-8-11-9-6-4-5-7-10(9)12(13)14-11/h7,9,11H,2-6,8H2,1H3/t9-,11+/m0/s1",UPJFTVFLSIQQAV-GXSJLCMTSA-N,川芎
CX-023,洋川芎内酯D,Senkyunolide D,C12H14O4,222.2400 ,94530-82-2,,挥发油,CCCC[C@@H]1[C@]2([H])C(C(O1)=O)=CCCC2,"InChI=1S/C12H18O2/c1-2-3-8-11-9-6-4-5-7-10(9)12(13)14-11/h7,9,11H,2-6,8H2,1H3/t9-,11+/m0/s1",UPJFTVFLSIQQAV-GXSJLCMTSA-N,川芎
CX-024,洋川芎内酯E,senkyunolide E,C12H12O3（无）,204.2250 ,94530-83-3,,挥发油,CCC(O)/C=C1C2=CC=CC=C2C(O/1)=O,"InChI=1S/C12H12O3/c1-2-8(13)7-11-9-5-3-4-6-10(9)12(14)15-11/h3-8,13H,2H2,1H3/b11-7-",RAGLCXMIVOLFJJ-XFFZJAGNSA-N,川芎
CX-025,洋川芎内酯F,Senkyunolide F,C12H14O3,206.2410 ,94530-84-4,,挥发油,CCC(O)/C=C1C2=C(C=CCC2)C(O/1)=O,"InChI=1S/C12H14O3/c1-2-8(13)7-11-9-5-3-4-6-10(9)12(14)15-11/h4,6-8,13H,2-3,5H2,1H3/b11-7-",XKAWDGBGOZLBRY-XFFZJAGNSA-N,川芎
CX-026,洋川芎内酯J,Senkyunolide J,C12H18O4,226.2720 ,94530-86-6,,挥发油,O[C@H]1C2=C(CC[C@@H]1O)[C@H](OC2=O)CCCC,"InChI=1S/C12H18O4/c1-2-3-4-9-7-5-6-8(13)11(14)10(7)12(15)16-9/h8-9,11,13-14H,2-6H2,1H3/t8-,9+,11+/m0/s1",AXRIHSJZHOTGAE-IQJOONFLSA-N,川芎
CX-027,洋川芎内酯L,Senkyunolide L,C12H15ClO3,242.6990 ,114586-51-5,,挥发油,O=C1O/C(C2=C1C(C(CC2)O)Cl)=C\CCC,"InChI=1S/C12H15ClO3/c1-2-3-4-9-7-5-6-8(14)11(13)10(7)12(15)16-9/h4,8,11,14H,2-3,5-6H2,1H3/b9-4-",QHFASJHNXWAWLY-WTKPLQERSA-N,川芎
CX-028,洋川芎内酯S,senkyunolide S,C12H16O5,240.2550 ,172723-28-3,,挥发油,CC[C@@H](O)/C=C1C2=C([C@H]([C@@H](CC2)O)O)C(O/1)=O,"InChI=1S/C12H16O5/c1-2-6(13)5-9-7-3-4-8(14)11(15)10(7)12(16)17-9/h5-6,8,11,13-15H,2-4H2,1H3/b9-5-/t6-,8-,11+/m1/s1",XJGANEFDEDYAJS-IFUCJSHLSA-N,川芎
