编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,,smiles,inchi,inchikey,药材名称
ZSG—30,二丙酮醇,4-Hydroxy-4-methyl-2-pentanone,123-42-2,116.158 ,C6H12O2,,脂肪酸,CC(CC(C)(O)C)=O,"InChI=1S/C6H12O2/c1-5(7)4-6(2,3)8/h8H,4H2,1-3H3",SWXVUIWOUIDPGS-UHFFFAOYSA-N,朱砂根
ZSG—31,3-己烯酸,3-hexenoic acid,4219-24-3,114.142 ,C6H10O2,,脂肪酸,CC/C=C/CC(O)=O,"InChI=1S/C6H10O2/c1-2-3-4-5-6(7)8/h3-4H,2,5H2,1H3,(H,7,8)/b4-3+",XXHDAWYDNSXJQM-ONEGZZNKSA-N,朱砂根
ZSG—32,乙酸,Acetic Acid,77671-22-8,60.053 ,C2H4O2,,脂肪酸,CC(O)=O,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",QTBSBXVTEAMEQO-UHFFFAOYSA-N,朱砂根
ZSG—33,"1,3-丁二醇","1,3-Butanediol",107-88-0,90.121 ,C4H10O2,,其他,CC(O)CCO,"InChI=1S/C4H10O2/c1-4(6)2-3-5/h4-6H,2-3H2,1H3",PUPZLCDOIYMWBV-UHFFFAOYSA-N,朱砂根
ZSG—34,丙酸,Propionic acid,79-09-4,74.078 ,C3H6O2,,脂肪酸,CCC(O)=O,"InChI=1S/C3H6O2/c1-2-3(4)5/h2H2,1H3,(H,4,5)",XBDQKXXYIPTUBI-UHFFFAOYSA-N,朱砂根
ZSG—35,"2,3-丁二醇","2,3-Butanediol",123513-85-9,90.121 ,C4H10O2,,其他,CC(O)C(O)C,"InChI=1S/C4H10O2/c1-3(5)4(2)6/h3-6H,1-2H3",OWBTYPJTUOEWEK-UHFFFAOYSA-N,朱砂根
ZSG—36,异龙脑,Isoborneol,124-76-5,154.249 ,C10H18O,,单萜,CC1(C)C2(C)CCC1CC2O,"InChI=1S/C10H18O/c1-9(2)7-4-5-10(9,3)8(11)6-7/h7-8,11H,4-6H2,1-3H3",DTGKSKDOIYIVQL-UHFFFAOYSA-N,朱砂根
ZSG—37,β-丁香烯,trans-Caryophyllene,87-44-5,204.351 ,C15H24,,倍半萜,C=C1[C@](CC2(C)C)([H])[C@@]2([H])CC/C(C)=C\CC1,"InChI=1S/C15H24/c1-11-6-5-7-12(2)13-10-15(3,4)14(13)9-8-11/h6,13-14H,2,5,7-10H2,1,3-4H3/b11-6-/t13-,14-/m1/s1",NPNUFJAVOOONJE-FLFDDASRSA-N,朱砂根
ZSG—38,β-没药烯,β-Bisabolene,495-61-4,204.351 ,C15H24,,倍半萜,C=C([C@@H]1CC=C(C)CC1)CC/C=C(C)\C,"InChI=1S/C15H24/c1-12(2)6-5-7-14(4)15-10-8-13(3)9-11-15/h6,8,15H,4-5,7,9-11H2,1-3H3/t15-/m1/s1",XZRVRYFILCSYSP-OAHLLOKOSA-N,朱砂根
ZSG—39,己酸,1-Hexanoic acid,142-62-1,116.158 ,C6H12O2,,脂肪酸,CCCCCC(O)=O,"InChI=1S/C6H12O2/c1-2-3-4-5-6(7)8/h2-5H2,1H3,(H,7,8)",FUZZWVXGSFPDMH-UHFFFAOYSA-N,朱砂根
