编号,化合物名称,英文名称,CAS号,分子量,分子式,2D图,结构,,,,
DG-014,"Z-3',8',3'a,7'a-四氢-6,3',7,7'a-二聚藁本内酯-8'-酮","Z-3',8',3'a,7'a-tetrahydro-6,3',7,7'a-diligustilide-8'-one",/,C24H28O5,396.4830 ,,挥发油,O=C1[C@]23C=CCC[C@]2([H])[C@](C(CCC)=O)(O1)[C@]4([H])[C@@]([H])3C(C(O/C5=C\CCC)=O)=C5CC4,"InChI=1S/C24H28O5/c1-3-5-9-16-14-11-12-15-20(19(14)21(26)28-16)23-13-7-6-10-17(23)24(15,29-22(23)27)18(25)8-4-2/h7,9,13,15,17,20H,3-6,8,10-12H2,1-2H3/b16-9-/t15-,17-,20+,23+,24+/m0/s1",IRKACHWWOSXIEC-DKQSQXLHSA-N,当归
DG-015,,"Z,Z'-3.3'a,7.7'a-diligustilide",/,C24H28O4,380.4840 ,,挥发油,O=C(O/1)[C@]23[C@@]4(/C(O5)=C/CCC)[C@@](C=CCC4)(C5=O)[C@@]2(C1=C\CCC)CCC=C3,"InChI=1S/C24H28O4/c1-3-5-11-17-21-13-7-9-15-23(21,19(25)27-17)22-14-8-10-16-24(21,22)20(26)28-18(22)12-6-4-2/h9-12,15-16H,3-8,13-14H2,1-2H3/b17-11-,18-12-/t21-,22-,23+,24+",SQLBJXWSQGXJLZ-UVPYVICISA-N,当归
DG-016,,sinaspirolide,/,C24H26O4,378.4680 ,,挥发油,CCCC1C2([C@@]3(/C(OC4=O)=C/CCC)[C@]14C=CCC3)OC(C5=CC=CC=C52)=O,"InChI=1S/C24H26O4/c1-3-5-13-19-23-15-9-8-14-22(23,21(26)27-19)18(10-4-2)24(23)17-12-7-6-11-16(17)20(25)28-24/h6-8,11-14,18H,3-5,9-10,15H2,1-2H3/b19-13-/t18?,22-,23+,24?/m1/s1",GMWSMENUALPKGU-QQWLXNQDSA-N,当归
DG-017,,ansaspirolide,/,C24H26O4,378.4680 ,,单萜,O=C(C1=CC2[C@@H](CCC)[C@](OC3=O)(C4=C3C=CC=C4)C1/5CC2)OC5=C/CCC,"InChI=1S/C24H26O4/c1-3-5-11-20-23-13-12-15(14-19(23)22(26)27-20)17(8-4-2)24(23)18-10-7-6-9-16(18)21(25)28-24/h6-7,9-11,14-15,17H,3-5,8,12-13H2,1-2H3/b20-11-/t15?,17-,23?,24+/m1/s1",KKXDPTDDMLHVAK-POLTTXONSA-N,当归
DG-018,,gelispirolide,/,C24H26O4,378.4680 ,,挥发油,O=C(OC12C(CCC)C3C2C4=C(/C(OC4=O)=C\CCC)CC3)C5=C1C=CC=C5,"InChI=1S/C24H26O4/c1-3-5-11-19-16-13-12-14-17(8-4-2)24(21(14)20(16)23(26)27-19)18-10-7-6-9-15(18)22(25)28-24/h6-7,9-11,14,17,21H,3-5,8,12-13H2,1-2H3/b19-11+",CQHLGCXOPJLDBH-YBFXNURJSA-N,当归
DG-019,,neodiligustilide,/,C24H28O4,380.4840 ,,挥发油,O=C1O/C(C2(C1(C3CCC)C=CCC2)C43OC(C5=C4CCC=C5)=O)=C\CCC,"InChI=1S/C24H28O4/c1-3-5-13-19-23-15-9-8-14-22(23,21(26)27-19)18(10-4-2)24(23)17-12-7-6-11-16(17)20(25)28-24/h6,8,11,13-14,18H,3-5,7,9-10,12,15H2,1-2H3/b19-13-",IPPGXWCWNJRRDW-UYRXBGFRSA-N,当归
DG-020,当归双藁苯内酯A,"(3'Z)-(3R,8S,3a'S,6'R)-3,3a':8,6'-biligustilide",/,C24H28O4,380.4840 ,,单萜,O=C(O/1)C2=C[C@@H](CC3)[C@@](CCC)([H])C4(C(CCC=C5)=C5C(O4)=O)[C@]23C1=C\CCC,"InChI=1S/C24H28O4/c1-3-5-11-20-23-13-12-15(14-19(23)22(26)27-20)17(8-4-2)24(23)18-10-7-6-9-16(18)21(25)28-24/h6,9,11,14-15,17H,3-5,7-8,10,12-13H2,1-2H3/b20-11-/t15-,17+,23+,24?/m1/s1",DZMFTLLDUYBHLI-KNWPLUTESA-N,当归
DG-021,"E,E'-3.3',8.8'-双藁苯内酯","E,E'-3.3',8.8'-diligustilide",/,C24H28O4,380.4840 ,,挥发油,O=C(O[C@@]12[C@@](OC3=O)(C4=C3C=CCC4)[C@](CCC)([H])C1([H])CCC)C5=C2CCC=C5,"InChI=1S/C24H28O4/c1-3-9-19-20(10-4-2)24(18-14-8-6-12-16(18)22(26)28-24)23(19)17-13-7-5-11-15(17)21(25)27-23/h5-6,11-12,19-20H,3-4,7-10,13-14H2,1-2H3/t19-,20?,23+,24+/m0/s1",LSDFCPDLBLFHAT-UYEHUZEKSA-N,当归
DG-022,当归双藁本内酯B,"E,E'-3.3',8.8'-isodiligustilide",/,C24H28O4,380.4840 ,,挥发油,CCC[C@@]1([H])[C@@]2(C3=C(C=CCC3)C(O2)=O)[C@](CCC)([H])[C@@]14C5=C(C(O4)=O)C=CCC5,"InChI=1S/C24H28O4/c1-3-9-19-23(17-13-7-5-11-15(17)21(25)27-23)20(10-4-2)24(19)18-14-8-6-12-16(18)22(26)28-24/h5-6,11-12,19-20H,3-4,7-10,13-14H2,1-2H3/t19-,20+,23-,24+",NBGKKTXKGJBVAL-GKIBHXGMSA-N,当归
DG-023,,"(3Z)-(3aR,6S,3'R,8'S)-3a.8',6.3'-diligustilide",/,C24H28O4,380.4840 ,,挥发油,O=C1C2=C([C@]3([C@@H]4C=C(C(O/C5=C\CCC)=O)[C@@]5(CC4)[C@]3([H])CCC)O1)CCC=C2,"InChI=1S/C24H28O4/c1-3-5-11-20-23-13-12-15(14-18(23)22(26)27-20)24(19(23)8-4-2)17-10-7-6-9-16(17)21(25)28-24/h6,9,11,14-15,19H,3-5,7-8,10,12-13H2,1-2H3/b20-11-/t15-,19-,23-,24-/m0/s1",WEQUVWKUIZCSNI-WVHQTLAJSA-N,当归
